predicate,argument,actual_fit,exp_fit
call,megaphone,3.4,0.9
call,telephone,6.9,1.0
call,can,1.4,0.4
call,voice,6.8,0.9
call,paper,2.5,0.1
call,note,2.7,0.1
call,computer,4.8,0.9
attract,beauty,6.8,0.9
attract,scent,5.6,0.9
attract,humour,6,0.9
attract,force,1.8,0.9
attract,intelligence,5.9,0.9
attract,money,4.8,0.9
wash,water,7,0.9
wash,soap,6.5,0.9
wash,detergent,6.3,0.9
wash,paper,1.5,0.1
wash,vinegar,2.8,0.8
wash,bleach,4.8,0.75
time,sundial,2.3,0.9
time,stopwatch,6.5,0.95
time,clock,6.6,1.0
time,hourglass,2.7,0.9
time,sun,2.4,0.8
time,watch,6.8,0.95
inflate,air,6.6,0.1
inflate,water,2.8,0.0
inflate,helium,6,0.2
inflate,smoke,1.9,0.0
inflate,pump,5.8,1.0
inflate,lungs,5.7,0.1
inflate,generator,3.5,0.1
signal,password,3.5,0.4
signal,flag,4.6,0.9
signal,light,4.7,0.9
signal,nod,5.9,0.9
signal,cough,4,0.6
signal,hand,6.5,0.9
vandalize,knife,4.3,0.9
vandalize,paint,6,0.9
vandalize,pen,5.1,0.8
vandalize,eggs,5.1,0.8
vandalize,keys,4.7,0.8
vandalize,mallet,2.9,0.9
fish,rod,6.4,0.95
fish,stick,2.8,0.5
fish,net,5.9,1.0
fish,harpoon,4.1,0.9
fish,yarn,1.7,0.1
fish,line,6.7,0.9
fish,lure,5.9,0.9
fish,bait,6.4,0.4
fish,pole,6.3,0.9
teach,textbook,6.2,0.9
teach,chalk,6.1,0.8
teach,overhead,5.8,0.9
teach,spoon,1.1,0.6
teach,cartoon,2.5,0.8
teach,graph,4.6,0.9
teach,dice,1.4,0.6
stir,spoon,6.9,1.0
stir,scissors,1.4,0.2
stir,fork,4.1,0.7
stir,straw,3.9,0.5
stir,stick,2.8,0.9
heat,furnace,6.7,0.95
heat,microwave,6.3,0.95
heat,fire,6.1,1.0
heat,oven,6.3,0.95
heat,stove,6.3,1.0
heat,blanket,5.9,0.2
gamble,dice,6.2,0.9
gamble,cards,6.6,0.9
gamble,money,6.9,0.1
gamble,binoculars,1.6,0.1
gamble,newspaper,2.8,0.1
gamble,wheel,4.2,0.9
drink,spoon,2.1,0.6
drink,straw,5,0.9
drink,licorice,2.2,0.1
drink,glass,6.8,0.9
drink,cup,6.6,0.9
drink,bottle,6.4,0.9
drink,mug,6.4,0.95
drink,hands,5.2,0.6
slap,hand,6.8,1.0
slap,towel,3,0.6
slap,glove,3.1,0.9
slap,paper,1.4,0.2
slap,stick,1.5,0.8
lock,key,6.7,1.0
lock,deadbolt,6.1,0.95
lock,glue,1.6,0.2
lock,tape,1.6,0.1
lock,rope,2.2,0.2
lock,bar,3.1,0.8
lock,padlock,5.6,1.0
lock,latch,5.3,0.2
sterilize,water,5.3,0.1
sterilize,heat,6.6,0.9
sterilize,air,2.8,0.1
sterilize,alcohol,5.4,0.9
sterilize,pressure,2.9,0.9
sterilize,chemical,5.6,0.9
sterilize,salt,2.5,0.4
sterilize,butter,1,0.0
