predicate,argument,actual_fit,exp_fit
sell,pub,6.2,0.0
sell,desert,1.1,0.0
preach,ghetto,2.5,0.0
preach,airport,2.3,0.0
preach,church,7,0.0
preach,synagogue,6.7,0.25
preach,street,3.2,0.0
preach,classroom,4.8,0.25
preach,courtroom,4.4,0.0
skate,backyard,3,0.0
skate,park,4.8,0.25
skate,pond,4.4,0.0
skate,rink,7,0.0
skate,arena,7,0.0
skate,lake,4.3,0.25
skate,schoolyard,2.3,0.0
stroll,countryside,6.4,0.0
stroll,park,6.8,0.0
stroll,forest,5.6,0.0
stroll,highway,1.3,0.0
stroll,field,4.3,0.0
stroll,riverbank,4.9,0.0
stroll,bathroom,1.1,0.0
dance,auditorium,5.3,0.0
dance,bar,5.8,0.25
dance,ballroom,7,0.5
dance,kitchen,2.6,0.0
dance,stage,5.4,0.25
dance,gymnasium,4.4,0.25
dance,shower,2.2,0.0
urinate,backyard,3.3,0.0
urinate,bathroom,7,0.0
urinate,mall,4.1,0.0
urinate,forest,4.3,0.0
urinate,field,3.5,0.0
urinate,lobby,1.4,0.0
urinate,bank,1.4,0.0
draw,classroom,6.2,0.0
draw,museum,4.1,0.0
draw,park,3.8,0.0
draw,beach,3.7,0.0
draw,studio,6.5,0.0
draw,cliff,2.6,0.0
draw,lake,2.8,0.0
