predicate,argument,actual_fit,exp_fit
beg,church,2.9,0.2
beg,casino,3.5,0.1
testify,office,2.5,0.2
testify,courtroom,7,0.9
testify,police station,5.8,0.7
testify,classroom,2.5,0.2
testify,planetarium,1.4,0.1
testify,store,1.4,0.1
testify,jail,3.3,0.2
wait,hospital,6.3,0.9
wait,restaurant,6.2,0.9
wait,office,5,0.8
wait,school,3.5,0.8
wait,lineup,7,0.7
wait,bedroom,1.6,0.8
swim,bathtub,2.3,0.3
swim,lake,6.7,0.9
swim,pool,7,0.9
swim,puddle,1.2,0.2
swim,ocean,6.6,0.9
swim,beach,6.2,0.8
swim,desert,1,0.1
swim,swamp,1.5,0.8
swim,creek,2.9,0.9
pray,temple,6.8,0.9
pray,church,7,0.9
pray,casino,4.2,0.2
pray,school,4.1,0.6
pray,cemetery,6,0.6
pray,kitchen,2.2,0.2
pray,theatre,1.5,0.2
confess,church,6.9,0.7
confess,school,4.2,0.2
confess,court,6,0.7
confess,office,3,0.2
confess,studio,1.7,0.2
confess,hearing,5.3,0.2
confess,jail,3.8,0.2
sleep,bathtub,2.2,0.2
sleep,tent,5.9,0.8
sleep,bedroom,7,0.9
sleep,hotel,6.3,0.9
sleep,chair,4.6,0.6
sleep,car,4.1,0.1
sleep,trailer,5.6,0.2
sleep,concert,1.5,0.1
wash,lake,4,0.2
wash,bathroom,7,0.8
wash,laundromat,4.9,0.9
wash,puddle,1.2,0.2
wash,pool,2.5,0.7
wash,factory,2.5,0.2
wash,hospital,5.6,0.2
run,house,2.8,0.8
run,track,6.9,0.9
run,treadmill,6.8,0.9
run,gymnasium,6.4,0.8
run,sidewalk,5.5,0.9
run,road,5.2,0.9
run,restaurant,1.3,0.8
fish,ocean,6.4,0.9
fish,lake,6.8,0.9
fish,pool,1.1,0.4
fish,puddle,1,0.2
fish,pond,5,0.9
fish,river,6.2,0.9
fish,swamp,2.5,0.7
weigh,supermarket,6.7,0.2
weigh,bathroom,6.4,0.2
weigh,gymnasium,5.7,0.1
weigh,hospital,5.5,0.1
weigh,restaurant,3.6,0.1
weigh,sauna,2.5,0.1
weigh,bar,1.6,0.1
weigh,classroom,2.6,0.1
weigh,delicatessen,6.3,0.1
rescue,lake,5.9,0.8
rescue,tree,4.8,0.1
rescue,house,4.9,0.2
rescue,park,3.9,0.7
rescue,cave,3.8,0.8
rescue,mine,4.4,0.2
rescue,ocean,4.8,0.7
rescue,battlefield,6,0.8
rescue,prison,2.8,0.8
exercise,car,1.4,0.1
exercise,gymnasium,7,0.9
exercise,house,5.1,0.2
exercise,school,4.9,0.6
exercise,track,6.9,0.8
exercise,stadium,4.4,0.7
exercise,campground,3.5,0.3
study,mall,1.6,0.2
study,library,6.9,0.9
study,bank,1.5,0.2
study,gymnasium,2.1,0.2
study,car,2.5,0.1
study,office,4.4,0.8
study,bedroom,5.8,0.8
study,dormitory,5.7,0.8
study,classroom,6.2,0.9
escape,hospital,3.4,0.8
escape,prison,4.3,0.9
escape,school,3.5,0.8
escape,resort,2.7,0.2
escape,gymnasium,2.3,0.2
escape,campground,2.5,0.8
deposit,library,4.7,0.1
deposit,bank,7,0.9
deposit,hospital,3.4,0.1
deposit,store,3.2,0.8
deposit,instabank,6.2,0.9
deposit,hotel,4.2,0.2
deposit,kitchen,2.3,0.1
mourn,party,1.6,0.1
mourn,funeral,7,0.8
mourn,wedding,2.2,0.1
mourn,bank,1.8,0.1
mourn,cemetery,6.8,0.7
mourn,temple,5.6,0.2
mourn,theatre,2,0.2
worship,theater,1.6,0.2
worship,chapel,6.7,0.9
worship,school,2.9,0.2
worship,bar,1.4,0.1
worship,temple,6.8,0.9
worship,cemetery,4.3,0.2
eat,restaurant,7,0.8
eat,kitchen,7,0.8
eat,pub,4.9,0.7
eat,delicatessen,5.3,0.1
eat,stadium,4.7,0.1
eat,lobby,2.6,0.1
eat,bedroom,3.5,0.1
shower,gymnasium,4.8,0.8
shower,bathroom,6.9,0.9
shower,pool,2.3,0.2
shower,field,1.2,0.7
shower,sauna,2.2,0.2
shower,cottage,4.3,0.8
cook,kitchen,7,0.9
cook,restaurant,6.8,0.9
cook,trailer,5,0.1
cook,mall,3.2,0.2
cook,campground,4.9,0.2
cook,cabin,5.2,0.2
cook,tent,2.2,0.1
sell,store,7,0.8
sell,street,5.4,0.7
sell,market,6.6,0.8
sell,mall,6.9,0.8
sell,arena,4.9,0.2
sell,driveway,2.5,0.1
sell,pub,6.2,0.2
sell,desert,1.1,0.2
preach,ghetto,2.5,0.8
preach,airport,2.3,0.3
preach,church,7,0.9
preach,synagogue,6.7,0.9
preach,street,3.2,0.8
preach,classroom,4.8,0.6
preach,courtroom,4.4,0.2
skate,backyard,3,0.2
skate,park,4.8,0.9
skate,pond,4.4,0.9
skate,rink,7,0.9
skate,arena,7,0.9
skate,lake,4.3,0.9
skate,schoolyard,2.3,0.8
stroll,countryside,6.4,0.9
stroll,park,6.8,0.9
stroll,forest,5.6,0.9
stroll,highway,1.3,0.3
stroll,field,4.3,0.9
stroll,riverbank,4.9,0.9
stroll,bathroom,1.1,0.2
dance,auditorium,5.3,0.8
dance,bar,5.8,0.8
dance,ballroom,7,0.9
dance,kitchen,2.6,0.8
dance,stage,5.4,0.9
dance,gymnasium,4.4,0.8
dance,shower,2.2,0.1
urinate,backyard,3.3,0.5
urinate,bathroom,7,0.9
urinate,mall,4.1,0.1
urinate,forest,4.3,0.7
urinate,field,3.5,0.7
urinate,lobby,1.4,0.1
urinate,bank,1.4,0.1
draw,classroom,6.2,0.2
draw,museum,4.1,0.2
draw,park,3.8,0.2
draw,beach,3.7,0.2
draw,studio,6.5,0.7
draw,cliff,2.6,0.2
draw,lake,2.8,0.2
