predicate,argument,actual_fit,exp_fit
cure,food,3.9,0.6
cure,sauna,2,0.3
float,boat,6.4,0.9
float,raft,6.2,0.8
float,chair,1.5,0.1
float,wood,3.5,0.1
float,canoe,5.8,0.8
float,tube,5.3,0.2
float,air,4.7,0.1
hit,fist,6.8,0.9
hit,water,1.7,0.1
hit,bat,5.9,0.9
hit,pillow,3.8,0.2
hit,stick,3.8,0.8
hit,hammer,5.2,0.9
hit,apple,1.8,0.2
hit,towel,2.2,0.2
revive,slap,4.7,0.2
revive,water,4.8,0.7
revive,scream,4,0.1
revive,silence,1.1,0.1
revive,oxygen,6,0.8
revive,respirator,5.6,0.8
watch,telescope,5.3,0.8
watch,mirror,4.8,0.1
watch,binoculars,6.1,0.9
watch,kaleidoscope,2.7,0.1
watch,glasses,6.2,0.1
watch,light,5,0.1
watch,radar,3.8,0.8
dig,shovel,6.9,0.9
dig,fork,2.5,0.2
dig,spoon,3,0.2
dig,cup,1.9,0.1
dig,hoe,4.4,0.8
dig,pickaxe,4,0.9
dig,spade,5.6,0.9
stab,scissors,4,0.8
stab,fork,4.3,0.7
stab,toothpick,3,0.6
stab,knife,6.8,0.95
stab,dagger,5.9,0.95
stab,razor,2.5,0.7
stab,hatchet,3.2,0.4
stab,nail,2.2,0.1
repair,hammer,6.7,0.7
repair,shoe,1.5,0.1
repair,string,3,0.2
repair,elastic,2.7,0.2
repair,glue,5.6,0.7
repair,saw,4.4,0.8
repair,screwdriver,6.2,0.8
repair,wrench,5.8,0.9
repair,tape,5.8,0.6
wrap,bandage,5.4,0.9
wrap,blanket,5.2,0.9
wrap,tinfoil,5.9,0.9
wrap,curtain,1.6,0.2
wrap,tape,5.6,0.7
wrap,ribbon,5.3,0.9
wrap,scissors,4.4,0.2
call,radio,2.5,0.7
call,megaphone,3.4,0.8
call,telephone,6.9,0.9
call,can,1.4,0.1
call,voice,6.8,0.8
call,paper,2.5,0.1
call,note,2.7,0.1
call,computer,4.8,0.1
attract,beauty,6.8,0.9
attract,scent,5.6,0.9
attract,humour,6,0.9
attract,force,1.8,0.8
attract,intelligence,5.9,0.8
attract,money,4.8,0.8
wash,water,7,0.8
wash,soap,6.5,0.9
wash,detergent,6.3,0.8
wash,paper,1.5,0.1
wash,vinegar,2.8,0.3
wash,bleach,4.8,0.7
time,sundial,2.3,0.8
time,stopwatch,6.5,0.8
time,clock,6.6,0.8
time,hourglass,2.7,0.7
time,sun,2.4,0.1
time,watch,6.8,0.8
inflate,air,6.6,0.8
inflate,water,2.8,0.1
inflate,helium,6,0.9
inflate,smoke,1.9,0.1
inflate,pump,5.8,0.9
inflate,lungs,5.7,0.1
inflate,generator,3.5,0.2
signal,password,3.5,0.2
signal,flag,4.6,0.9
signal,light,4.7,0.9
signal,nod,5.9,0.7
signal,cough,4,0.6
signal,hand,6.5,0.9
vandalize,knife,4.3,0.4
vandalize,paint,6,0.8
vandalize,pen,5.1,0.2
vandalize,eggs,5.1,0.7
vandalize,keys,4.7,0.7
vandalize,mallet,2.9,0.8
fish,rod,6.4,0.8
fish,stick,2.8,0.1
fish,net,5.9,0.9
fish,harpoon,4.1,0.8
fish,yarn,1.7,0.1
fish,line,6.7,0.8
fish,lure,5.9,0.9
fish,bait,6.4,0.9
fish,pole,6.3,0.9
teach,textbook,6.2,0.8
teach,chalk,6.1,0.6
teach,overhead,5.8,0.2
teach,spoon,1.1,0.1
teach,cartoon,2.5,0.2
teach,graph,4.6,0.7
teach,dice,1.4,0.1
stir,spoon,6.9,0.9
stir,scissors,1.4,0.1
stir,fork,4.1,0.6
stir,straw,3.9,0.6
stir,stick,2.8,0.8
heat,furnace,6.7,0.9
heat,microwave,6.3,0.9
heat,fire,6.1,0.9
heat,oven,6.3,0.9
heat,stove,6.3,0.9
heat,blanket,5.9,0.2
gamble,dice,6.2,0.9
gamble,cards,6.6,0.9
gamble,money,6.9,0.7
gamble,binoculars,1.6,0.1
gamble,newspaper,2.8,0.1
gamble,wheel,4.2,0.6
drink,spoon,2.1,0.2
drink,straw,5,0.8
drink,licorice,2.2,0.0
drink,glass,6.8,0.8
drink,cup,6.6,0.8
drink,bottle,6.4,0.8
drink,mug,6.4,0.8
drink,hands,5.2,0.1
slap,hand,6.8,0.9
slap,towel,3,0.2
slap,glove,3.1,0.8
slap,paper,1.4,0.1
slap,stick,1.5,0.3
lock,key,6.7,0.95
lock,deadbolt,6.1,0.9
lock,glue,1.6,0.1
lock,tape,1.6,0.1
lock,rope,2.2,0.1
lock,bar,3.1,0.7
lock,padlock,5.6,0.9
lock,latch,5.3,0.8
sterilize,water,5.3,0.1
sterilize,heat,6.6,0.9
sterilize,air,2.8,0.1
sterilize,alcohol,5.4,0.9
sterilize,pressure,2.9,0.8
sterilize,chemical,5.6,0.9
sterilize,salt,2.5,0.6
sterilize,butter,1,0.1
