predicate,argument,role_type,reasons 1,reasons 2,reasons 3
write,thesaurus,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,The argument 'thesaurus' has the property of being a tool used to generate words or phrases that are similar in meaning to a given word or phrase.,"The argument 'thesaurus' does not fit the Instrument role for the predicate 'write' because it is not a tool used to perform the action of writing. While a thesaurus can provide words or phrases that are similar in meaning to a given word or phrase, it is not a tool used to physically write or create written content."
write,stick,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,The argument 'stick' has the property of being a tool or device used to perform the action of writing.,The argument 'stick' fits the Instrument role for the predicate 'write' because it is a tool or device used to perform the action of writing.
write,pencil,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,"The argument 'pencil' has the properties of being a writing instrument, a tool used for writing, and a means of creating written language.","The argument 'pencil' fits the Instrument role for the predicate 'write' because it is a tool used for writing, and is a means of creating written language."
write,desk,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,"The argument 'desk' has the properties of being a physical object, a surface, and a container.","  The argument 'desk' does not fit the Instrument role for the predicate 'write' because a desk is not a tool or device used to perform the action of writing. A desk is a piece of furniture used for sitting or working, and it does not have the necessary properties to be an instrument for writing."
write,wire,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,The argument 'wire' has the property of being a physical object used to transmit information.,The argument 'wire' fits the Instrument role for the predicate 'write' because it is a physical object used to transmit information.
write,sword,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,The argument 'sword' has the property of being a physical object that can be used to perform the action of writing.,"  The argument 'sword' will not fit the Instrument role for the predicate 'write' because a sword is not a tool or device that can be used to perform the action of writing. The Instrument role is typically filled by objects that are used to perform a specific action, such as a pen or a pencil."
write,box,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of writing.,The argument 'box' has the properties of being a container or a receptacle used to hold or contain the written text.,"  The argument 'box' does not fit the Instrument role for the predicate 'write' because it is not a tool or device used to perform the action of writing. The Instrument role is typically associated with objects that are used to perform a specific action, such as a pen or a pencil. The argument 'box' is a container or receptacle used to hold or contain the written text, but it is not a tool used to write."
paint,brush,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,"The argument 'brush' has the properties of being a tool used to paint, and it is a relevant property for the Instrument role in the predicate 'paint'.",The argument 'brush' fits the Instrument role for the predicate 'paint' because it is a tool used to paint.
paint,roller,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,"The argument 'roller' has the properties of being a tool used to paint, and it is a means by which the action of painting is performed.",The argument 'roller' fits the Instrument role for the predicate 'paint' because it is a tool used to perform the action of painting.
paint,straw,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,The argument 'straw' has the property of being a material used for painting.,"  The argument 'straw' does not fit the Instrument role for the predicate 'paint' because it is not a tool or device used to perform the action of painting. The Instrument role is typically filled by objects that are used to perform the action of the verb, such as a brush or a paintbrush."
paint,paint,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,The argument 'paint' has the property of being the subject of the action of painting.,  The argument 'paint' fits the Instrument role for the predicate 'paint' because it is the tool or device used to perform the action of painting.
paint,can,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,The argument 'can' has the property of being a container or vessel used to hold or store the paint.,  The argument 'can' fits the Instrument role for the predicate 'paint' because it is a tool or device used to perform the action of painting. The can is used to hold the paint and to apply it to the surface being painted.
paint,sponge,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,"The argument 'sponge' has the property of being a tool used to absorb and remove substances, which is relevant to the predicate 'paint' as it is used to remove paint from a surface.",The argument 'sponge' fits the Instrument role for the predicate 'paint' because it is a tool used to remove paint from a surface.
paint,rag,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of painting.,"The argument 'rag' has the property of being a material used to clean or wipe surfaces, which is relevant to the predicate 'paint' because it is used to prepare the surface for painting.","The argument 'rag' fits the Instrument role for the predicate 'paint' because it is used to clean or wipe surfaces, which is a necessary step in the process of painting."
shoot,gun,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.",The argument 'gun' has the properties of being a physical object that is used to perform the action of shooting.,The argument 'gun' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used to perform the action of shooting.
shoot,straw,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.","The argument 'straw' has the property of being a physical object that is used to perform the action of shooting, and is therefore relevant to the Instrument role in the predicate 'shoot'.",The argument 'straw' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used to perform the action of shooting.
shoot,rifle,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.","The argument 'rifle' has the properties of being a physical object that is used to perform the action of shooting, and is therefore relevant to the Instrument role in the predicate 'shoot'.",The argument 'rifle' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used to perform the action of shooting.
shoot,cannon,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.","The argument 'cannon' has the properties of being a physical object that is used to perform the action of shooting, and is therefore relevant to the Instrument role in the predicate 'shoot'.",The argument 'cannon' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used to perform the action of shooting.
shoot,pistol,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.","The argument 'pistol' has the properties of being a physical object that is used to perform the action of shooting, and is therefore relevant to the Instrument role in the predicate 'shoot'.",The argument 'pistol' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used to perform the action of shooting.
shoot,tank,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.","The argument 'tank' has the property of being a physical object that is used to perform the action of shooting, which is relevant to the Instrument role in the predicate 'shoot'.",The argument 'tank' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used to perform the action of shooting.
shoot,arrow,Instrument,"The Instrument role should have the properties of being a physical object that is used to perform the action of shooting, such as a gun, a bow, or a crossbow.",The argument 'arrow' has the properties of being a physical object that is used as a projectile in the action of shooting.,  The argument 'arrow' fits the Instrument role for the predicate 'shoot' because it is a physical object that is used as a projectile in the action of shooting.
dust,Kleenex,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of dusting.,Kleenex is a physical object that is used to perform the action of dusting.,Kleenex fits the Instrument role for the predicate 'dust' because it is a physical object that is used to perform the action of dusting.
dust,rag,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of dusting.,The argument 'rag' has the properties of being a physical object that is used to perform the action of dusting.,The argument 'rag' fits the Instrument role for the predicate 'dust' because it is a physical object that is used to perform the action of dusting.
dust,sock,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of dusting.,The argument 'sock' has the properties of being a physical object that can be used to perform the action of dusting.,The argument 'sock' fits the Instrument role for the predicate 'dust' because it is a physical object that can be used to perform the action of dusting.
dust,cloth,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of dusting.,"The argument 'cloth' has the properties of being a physical object that can be dusted, and it is the object that is being dusted.",The argument 'cloth' fits the Instrument role for the predicate 'dust' because it is the object that is being dusted.
dust,water,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of dusting.,"The argument 'water' has the property of being a liquid, which is relevant to the predicate 'dust' because it is used to clean or remove dust from surfaces.",The argument 'water' fits the Instrument role for the predicate 'dust' because it is used to clean or remove dust from surfaces.
dust,beer,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of dusting.,The argument 'beer' does not have any relevant properties for the predicate 'dust'.,  The argument 'beer' does not fit the Instrument role for the predicate 'dust' because it is not a physical object that can be used to perform the action of dusting.
cut,knife,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,The argument 'knife' has the properties of being a tool used for cutting.,The argument 'knife' fits the Instrument role for the predicate 'cut' because it is a tool used to perform the action of cutting.
cut,paper,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,"The argument 'paper' has the properties of being a material that can be cut, and being a substance that can be used as a tool to perform the action of cutting.","The argument 'paper' fits the Instrument role for the predicate 'cut' because it is a material that can be cut, and it is a substance that can be used as a tool to perform the action of cutting."
cut,fork,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,The argument 'fork' has the property of being a tool used for cutting food.,  The argument 'fork' fits the Instrument role for the predicate 'cut' because it is a tool used to perform the action of cutting.
cut,saw,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,The argument 'saw' has the properties of being a tool used to perform the action of cutting.,The argument 'saw' fits the Instrument role for the predicate 'cut' because it is a tool used to perform the action of cutting.
cut,scissors,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,The argument 'scissors' has the properties of being a tool or device used to perform the action of cutting.,The argument 'scissors' fits the Instrument role for the predicate 'cut' because it is a tool or device used to perform the action of cutting.
cut,teeth,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,The argument 'teeth' has the property of being a tool used to perform the action of cutting.,The argument 'teeth' fits the Instrument role for the predicate 'cut' because it is a tool used to perform the action of cutting.
cut,razor,Instrument,The Instrument role should have the properties of being a tool or a device used to perform the action of cutting.,The argument 'razor' has the properties of being a sharp-edged tool used for cutting.,  The argument 'razor' fits the Instrument role for the predicate 'cut' because it is a tool used to perform the action of cutting.
eat,fork,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,The argument 'fork' has the property of being a tool used to eat food.,  The argument 'fork' fits the Instrument role for the predicate 'eat' because it is a tool used to eat food.
eat,toothpick,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,The argument 'toothpick' has the property of being a tool used to perform the action of eating.,The argument 'toothpick' fits the Instrument role for the predicate 'eat' because it is a tool used to perform the action of eating.
eat,knife,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,The argument 'knife' has the property of being a tool used to perform the action of eating.,The argument 'knife' fits the Instrument role for the predicate 'eat' because it is a tool used to perform the action of eating.
eat,pliers,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,The argument 'pliers' has the property of being a tool used to perform the action of eating.,The argument 'pliers' will not fit the Instrument role for the predicate 'eat' because it is not a tool used to perform the action of eating.
eat,spoon,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,The argument 'spoon' has the property of being a tool used to eat food.,  The argument 'spoon' fits the Instrument role for the predicate 'eat' because it is a tool used to eat food.
eat,cup,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,"The argument 'cup' has the property of being a container used to hold liquids, which is relevant to the predicate 'eat' because it is used to drink liquids.","The argument 'cup' fits the Instrument role for the predicate 'eat' because it is a tool used to drink liquids, which is a relevant property for the action of eating."
eat,napkin,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of eating.,The argument 'napkin' has the property of being a tool used to wipe the mouth or clean the hands after eating.,The argument 'napkin' fits the Instrument role for the predicate 'eat' because it is a tool used to wipe the mouth or clean the hands after eating.
draw,pen,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,The argument 'pen' has the properties of being a tool or a means used to perform the action of drawing.,The argument 'pen' fits the Instrument role for the predicate 'draw' because it is a tool or means used to perform the action of drawing.
draw,marker,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,The argument 'marker' has the property of being a tool used to perform the action of drawing.,The argument 'marker' fits the Instrument role for the predicate 'draw' because it is a tool used to perform the action of drawing.
draw,paper,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,"The argument 'paper' has the properties of being a material used for drawing, and a surface on which the drawing is made.",  The argument 'paper' fits the Instrument role for the predicate 'draw' because it is a tool used to create the drawing.
draw,stapler,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,"The argument 'stapler' has the properties of being a tool used for drawing, as it is used to hold and manipulate paper for the purpose of creating marks or images.","The argument 'stapler' fits the Instrument role for the predicate 'draw' because it is a tool used for drawing, as it is used to hold and manipulate paper for the purpose of creating marks or images."
draw,glue,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,The argument 'glue' has the property of being a material used to hold or join two or more surfaces together.,"  The argument 'glue' does not fit the Instrument role for the predicate 'draw' because it is not a tool or means used to perform the action of drawing. The Instrument role is typically used for objects that are used to perform an action, such as a pencil or a pen, but glue is used to hold or join surfaces together."
draw,crayon,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,The argument 'crayon' has the properties of being a tool or a means used to perform the action of drawing.,The argument 'crayon' fits the Instrument role for the predicate 'draw' because it is a tool or means used to perform the action of drawing.
draw,pencil,Instrument,The Instrument role should have the properties of being a tool or a means used to perform the action of drawing.,"The argument 'pencil' has the properties of being a tool used for writing, which is relevant to the predicate 'draw'.","The argument 'pencil' fits the Instrument role for the predicate 'draw' because it is a tool used for writing, which is a relevant property for the action of drawing."
hunt,rocks,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,"The argument 'rocks' has the property of being a physical object used to hunt, which is relevant to the Instrument role in the predicate 'hunt'.",The argument 'rocks' will fit the Instrument role for the predicate 'hunt' because rocks can be used as a tool to hunt animals.
hunt,rifle,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,The argument 'rifle' has the property of being a weapon used for hunting.,The argument 'rifle' fits the Instrument role for the predicate 'hunt' because it is a tool used to perform the action of hunting.
hunt,harpoon,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,"The argument 'harpoon' has the property of being a tool used for hunting, which is relevant to the Instrument role in the predicate 'hunt'.","The argument 'harpoon' fits the Instrument role for the predicate 'hunt' because it is a tool used for hunting, which is a relevant property for the Instrument role."
hunt,net,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,"The argument 'net' has the property of being a tool used to catch or trap prey, which is relevant to the semantic role of Instrument in the predicate 'hunt'.",The argument 'net' fits the Instrument role for the predicate 'hunt' because it is a tool used to catch or trap prey.
hunt,box,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,"The argument 'box' has the property of being a container or a receptacle, which is relevant to the semantic role of Instrument in the predicate 'hunt'.",The argument 'box' fits the Instrument role for the predicate 'hunt' because it is a tool or device used to perform the action of hunting.
hunt,gun,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,The argument 'gun' has the property of being a tool used for hunting.,The argument 'gun' fits the Instrument role for the predicate 'hunt' because it is a tool used to perform the action of hunting.
hunt,missile,Instrument,The Instrument role should have the properties of being a tool or device used to perform the action of hunting.,The argument 'missile' has the property of being a weapon used for hunting.,The argument 'missile' fits the Instrument role for the predicate 'hunt' because it is a tool used to perform the action of hunting.
measure,protractor,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,The argument 'protractor' has the properties of being a tool used for measuring angles.,  The argument 'protractor' fits the Instrument role for the predicate 'measure' because it is a tool used to measure angles.
measure,string,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,The argument 'string' has the property of being a sequence of characters used to represent a measurement.,"  The argument 'string' does not fit the Instrument role for the predicate 'measure' because a string is not a physical object that can be used to measure something. The Instrument role requires a physical object that can be used to perform a measurement, such as a ruler or a scale."
measure,scale,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,The argument 'scale' has the property of being a tool or device used to measure something.,The argument 'scale' fits the Instrument role for the predicate 'measure' because it is a tool or device used to measure something.
measure,ruler,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,"The argument 'ruler' has the properties of being a tool used to measure length, distance, or angle.","  The argument 'ruler' fits the Instrument role for the predicate 'measure' because it is a tool used to measure length, distance, or angle."
measure,balance,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,"The argument 'balance' has the properties of being a tool or device used to measure something, as it is the Instrument role in the predicate 'measure'.",The argument 'balance' fits the Instrument role for the predicate 'measure' because it is a tool or device used to measure something.
measure,stick,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,The argument 'stick' has the property of being a tool or device used to measure something.,The argument 'stick' fits the Instrument role for the predicate 'measure' because it is a tool or device used to measure something.
measure,pencil,Instrument,The Instrument role should have the properties of being a tool or device used to measure something.,The argument 'pencil' has the properties of being a tool used for writing or drawing.,"  The argument 'pencil' does not fit the Instrument role for the predicate 'measure' because a pencil is not typically used as a tool for measuring something. The Instrument role is typically used for objects that are used to perform an action, such as a hammer or a saw. In the case of the predicate 'measure', the Instrument role would be more appropriate for objects such as a ruler or a tape measure."
cure,medicine,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.","The argument 'medicine' has the properties of being a means by which the action of the predicate 'cure' is performed, and of being a causal agent in the process of curing.","The argument 'medicine' fits the Instrument role for the predicate 'cure' because it is a means by which the action of the predicate is performed, and it is a causal agent in the process of curing."
cure,herbs,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.","The argument 'herbs' has the property of being a material means, as it is a physical substance that can be used to treat a disease.",The argument 'herbs' fits the Instrument role for the predicate 'cure' because it is a material means that can be used to treat a disease.
cure,therapy,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.","The argument 'therapy' has the properties of being a means by which the action of the predicate 'cure' is performed, and being a causal agent in the process of healing.","The argument 'therapy' fits the Instrument role for the predicate 'cure' because it is a means by which the action of the predicate is performed, and is a causal agent in the process of healing."
cure,kiss,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.","The argument 'kiss' has the property of being a physical contact that can be used to treat a patient, making it a relevant argument for the predicate 'cure'.","The argument 'kiss' fits the Instrument role for the predicate 'cure' because it is a physical contact that can be used to treat a patient, making it a relevant argument for the predicate 'cure'."
cure,acupuncture,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.","The argument 'acupuncture' has the properties of being a means by which the action of the predicate 'cure' is performed, and it is a causal agent in the sense that it is the instrument that is used to perform the action.",The argument 'acupuncture' fits the Instrument role for the predicate 'cure' because it is the means by which the action of the predicate is performed.
cure,food,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.",The argument 'food' has the property of being a means by which the action of the predicate 'cure' is performed.,The argument 'food' fits the Instrument role for the predicate 'cure' because it is a means by which the action of the predicate is performed.
cure,sauna,Instrument,"The Instrument role should have the properties of being a causal agent, having the ability to cause the action of the predicate, and being the means by which the action is performed.",The argument 'sauna' has the property of being a means by which the action of the predicate 'cure' is performed.,The argument 'sauna' fits the Instrument role for the predicate 'cure' because it is a means by which the action of the predicate is performed.
float,boat,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,The argument 'boat' has the properties of being a physical object that is used to perform the action of floating.,The argument 'boat' fits the Instrument role for the predicate 'float' because it is a physical object that is used to perform the action of floating.
float,raft,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,The argument 'raft' has the properties of being a physical object that is used to perform the action of floating.,  The argument 'raft' fits the Instrument role for the predicate 'float' because it is a physical object that is used to perform the action of floating.
float,chair,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,The argument 'chair' has the properties of being a physical object that can be used to float.,  The argument 'chair' will fit the Instrument role for the predicate 'float' because it is a physical object that can be used to perform the action of floating.
float,wood,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,The argument 'wood' has the properties of being a physical object that can be used to perform the action of floating.,The argument 'wood' fits the Instrument role for the predicate 'float' because it is a physical object that can be used to perform the action of floating.
float,canoe,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,The argument 'canoe' has the properties of being a physical object that is used to perform the action of floating.,  The argument 'canoe' fits the Instrument role for the predicate 'float' because it is a physical object that is used to perform the action of floating.
float,tube,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,The argument 'tube' has the properties of being a physical object that can be used to perform the action of floating.,  The argument 'tube' fits the Instrument role for the predicate 'float' because it is a physical object that can be used to perform the action of floating.
float,air,Instrument,The Instrument role should have the properties of being a physical object that is used to perform the action of floating.,"The argument 'air' has the properties of being a substance that is capable of supporting the weight of an object without sinking, and it is a medium that is capable of supporting the weight of an object without sinking.",The argument 'air' fits the Instrument role for the predicate 'float' because it is a medium that is capable of supporting the weight of an object without sinking.
hit,fist,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'fist' has the properties of being a physical object that is used to cause the action of hitting.,The argument 'fist' fits the Instrument role for the predicate 'hit' because it is a physical object that is used to cause the action of hitting.
hit,water,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'water' has the properties of being a liquid and having the ability to flow.,"  The argument 'water' does not fit the Instrument role for the predicate 'hit' because it is not a physical object that can be used to cause the action of hitting. The Instrument role requires a physical object that can be used to perform the action, and water is not a suitable candidate for this role."
hit,bat,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'bat' has the properties of being a physical object that is used to cause the action of hitting.,The argument 'bat' fits the Instrument role for the predicate 'hit' because it is a physical object that is used to cause the action of hitting.
hit,pillow,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'pillow' has the properties of being a physical object that can be used as an instrument to hit something else.,The argument 'pillow' fits the Instrument role for the predicate 'hit' because it is a physical object that can be used to hit something else.
hit,stick,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'stick' has the properties of being a physical object that is used to cause the action of hitting.,The argument 'stick' fits the Instrument role for the predicate 'hit' because it is a physical object that is used to cause the action of hitting.
hit,hammer,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'hammer' has the properties of being a physical object that is used to cause the action of hitting.,The argument 'hammer' fits the Instrument role for the predicate 'hit' because it is a physical object that is used to cause the action of hitting.
hit,apple,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,The argument 'apple' has the properties of being a physical object that can be hit.,"  The argument 'apple' will not fit the Instrument role for the predicate 'hit' because the Instrument role requires a physical object that is used to cause the action of hitting, and an apple is not a physical object that can be used to hit something."
hit,towel,Instrument,The Instrument role should have the properties of being a physical object that is used to cause the action of hitting.,"The argument 'towel' has the properties of being a physical object that can be used to absorb or wipe away something, and it can also be used to hit or strike something.",The argument 'towel' fits the Instrument role for the predicate 'hit' because it is a physical object that can be used to hit or strike something.
revive,slap,Instrument,"The Instrument role should have the properties of being able to cause the revival of the subject, and being able to be used to revive the subject.",The argument 'slap' has the property of being able to cause the revival of the subject.,The argument 'slap' fits the Instrument role for the predicate 'revive' because it is a means by which the subject can be revived.
revive,water,Instrument,"The Instrument role should have the properties of being able to cause the revival of the subject, and being able to be used to revive the subject.","The argument 'water' has the property of being a liquid, which is relevant to the predicate 'revive' because it can be used to revive a person who is unconscious or in a state of drowning.",The argument 'water' fits the Instrument role for the predicate 'revive' because it is a liquid that can be used to revive a person who is unconscious or in a state of drowning.
revive,scream,Instrument,"The Instrument role should have the properties of being able to cause the revival of the subject, and being able to be used to revive the subject.",The argument 'scream' has the property of being able to cause the revival of the subject.,The argument 'scream' will not fit the Instrument role for the predicate 'revive' because it is not a physical object that can be used to revive the subject.
revive,silence,Instrument,"The Instrument role should have the properties of being able to cause the revival of the subject, and being able to be used to revive the subject.",The argument 'silence' has the property of being able to cause the revival of the subject.,The argument 'silence' fits the Instrument role for the predicate 'revive' because it is the means by which the subject is revived.
revive,oxygen,Instrument,"The Instrument role should have the properties of being able to cause the revival of the subject, and being able to be used to revive the subject.",The argument 'oxygen' has the property of being able to cause the revival of the subject.,The argument 'oxygen' fits the Instrument role for the predicate 'revive' because it is the means by which the subject is revived.
revive,respirator,Instrument,"The Instrument role should have the properties of being able to cause the revival of the subject, and being able to be used to revive the subject.","The argument 'respirator' has the property of being able to provide oxygen to the subject, which is necessary for revival.","The argument 'respirator' fits the Instrument role for the predicate 'revive' because it is a device that provides oxygen to the subject, which is necessary for revival."
