predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
gamble,racetrack,I gambled on the racetrack and lost my shirt.,0.5,The racetrack was the location where I gambled and won big.,0.8,I gambled on the racetrack and won a small fortune.,0.8,The racetrack was the location where I gambled and lost everything.,0.8,I gambled on the racetrack and won a small amount of money.,0.75,6.8,0.73
gamble,casino,I gambled at the casino last night.,0.8,The casino gambled on the outcome of the game.,0.5,"The casino gambled on the outcome of the game, but it lost.",0.8,"The casino gambled on the outcome of the game, but it won.",0.8,"The casino gambled on the outcome of the game, and it was a close call.",0.8,7,0.74
gamble,hotel,I gambled at the hotel last night.,0.8,,0.5,The hotel was the location of the gamble.,0.8,The gamble was held at the hotel.,0.8,The hotel was the site of the gamble.,0.8,3.5,0.74
gamble,party,,0.5,,0.5,,0.5,,0.5,,0.5,3.5,0.5
gamble,mall,I gambled at the mall last weekend.,0.8,The mall was a great place to gamble.,0.8,,0.5,,0.5,,0.5,2,0.62
gamble,airport,I gambled at the airport.,0.75,The airport was a popular gamble spot.,0.8,The airport was a great place to gamble.,0.5,I gambled at the airport and won big.,0.5,The airport was a great place to gamble and I won big.,0.5,1.8,0.61
gamble,arena,The gambler gambled in the arena.,0.8,,0.5,,0.5,,0.5,,0.5,3.8,0.56
drive,highway,I drove down the highway to get to the city.,0.8,The driver drove the car down the highway.,0.8,The car was driven down the highway by the driver.,0.8,The highway was driven down by the car.,0.8,The driver drove the car down the highway to get to the city.,0.75,7,0.79
drive,racetrack,The car drove down the racetrack.,0.8,,0.5,The car drove around the racetrack.,0.8,,0.5,The car drove on the racetrack for hours.,0.8,6.2,0.68
drive,rink,I drove to the rink to play hockey.,0.8,"The rink was located in a remote area, so I had to drive there.",0.5,"The rink was a popular destination for hockey fans, so I had to drive there to see the game.",0.8,I drove to the rink to pick up my hockey gear.,0.8,"The rink was located in a different city, so I had to drive there to play.",0.5,2.8,0.68
drive,sidewalk,The driver drove the car onto the sidewalk.,0.5,The sidewalk was the location where the driver parked the car.,0.5,The driver drove the car onto the sidewalk and parked it there.,0.5,The sidewalk was the location where the driver parked the car after driving it there.,0.5,"The driver drove the car onto the sidewalk and parked it there, making sure to avoid any obstacles.",0.75,2.1,0.55
drive,ditch,The car drove down the ditch.,0.8,The car drove into the ditch.,0.8,The car drove out of the ditch.,0.8,The car drove over the ditch.,0.8,The car drove through the ditch.,0.8,1.7,0.8
drive,field,The driver drove the car through the field.,0.8,The car was driven through the field by the driver.,0.8,The field was driven through by the car and the driver.,0.5,The driver drove the car through the field and the car was driven through the field by the driver.,0.8,The field was driven through by the car and the driver and the driver drove the car through the field.,0.75,3.7,0.73
hunt,forest,The hunter hunted in the forest.,1.0,,0.8,The hunter was hunting in the forest.,1.0,The forest was the hunter's hunting location.,0.8,The hunter was hunting in the forest for game.,0.8,6.9,0.88
hunt,lake,The hunter hunted in the lake.,0.8,The hunter hunted near the lake.,0.8,,0.8,The hunter hunted around the lake.,0.8,The hunter hunted on the lake.,1.0,4.3,0.84
hunt,backyard,The hunter hunted in the backyard.,1.0,The hunter hunted in the backyard for hours.,0.8,The hunter hunted in the backyard with a dog.,0.8,The hunter hunted in the backyard with a rifle.,0.8,The hunter hunted in the backyard with a bow and arrow.,0.8,2.2,0.84
hunt,ocean,,0.5,,0.5,,0.5,,0.5,,0.5,3.2,0.5
hunt,swamp,The hunter hunted in the swamp.,1.0,The swamp was the hunter's hunting ground.,0.8,The hunter was hunting in the swamp.,0.8,The swamp was the place where the hunter hunted.,1.0,The hunter hunted in the swamp for food.,0.8,3.5,0.88
hunt,meadow,I hunt in the meadow.,1.0,The hunter hunts in the meadow.,1.0,The meadow is where I hunt.,1.0,The meadow is where the hunter hunts.,1.0,I hunt in the meadow with my dog.,0.8,4.1,0.96
hunt,garden,The hunter hunted in the garden.,0.8,The hunter hunted in the garden for hours.,0.8,The hunter hunted in the garden with a dog.,0.8,The hunter hunted in the garden with a rifle.,0.8,The hunter hunted in the garden with a bow and arrow.,0.8,2,0.8
browse,store,I browsed through the store to find the perfect gift for my friend.,0.8,"The store was crowded, so I had to browse around to find what I was looking for.",0.8,I browsed through the store's selection of books to find something interesting to read.,0.8,I browsed through the store's selection of electronics to find the best deal on a new TV.,0.75,I browsed through the store's selection of clothing to find something that fit me well.,0.8,6.9,0.79
browse,classroom,I browsed through the classroom to find a book on the shelf.,0.8,The students browsed through the classroom to find a quiet spot to study.,0.8,The teacher browsed through the classroom to find a new lesson plan.,0.8,The librarian browsed through the classroom to find a book on a particular topic.,0.75,The students browsed through the classroom to find a new book to read.,0.8,2.5,0.79
browse,library,I browsed the library for a new book to read.,1.0,The children browsed the library for books on dinosaurs.,0.8,The librarian browsed the library for a rare book.,1.0,The library browsed the shelves for a new book to add to its collection.,0.5,The library browsed the internet for new books to add to its collection.,0.5,6.2,0.76
browse,gallery,I browsed through the gallery to find a new piece to add to my collection.,0.8,The gallery was a great place to browse for art.,1.0,I browsed through the gallery to see the latest exhibit.,0.8,The gallery was a great place to browse for new and exciting art.,1.0,I browsed through the gallery to find a piece that would fit perfectly in my living room.,0.8,6.8,0.88
browse,museum,I browsed the museum to learn more about the art on display.,0.8,The museum's collection is a great place to browse for art lovers.,0.8,I browsed the museum's exhibits to find a specific piece of art.,0.8,The museum's browsing room is a great place to relax and enjoy the art.,0.8,I browsed the museum's website to learn more about the exhibits and events.,0.8,6.6,0.8
browse,bar,I browsed the bar for a while.,0.8,"The bar was crowded, so I had to browse around to find a seat.",0.75,"I browsed the bar for a drink, but I couldn't find anything I liked.",0.8,"I browsed the bar for a snack, but I was too full to eat anything.",0.8,"I browsed the bar for a good time, but it was too loud and crowded.",0.8,3.2,0.79
bury,sandbox,Bury the sandbox in the backyard.,0.8,Bury the sandbox in the garden.,0.8,Bury the sandbox in the park.,0.8,Bury the sandbox in the forest.,0.8,Bury the sandbox in the mountains.,0.5,6.3,0.74
bury,concrete,The construction workers buried the concrete foundation deep in the ground.,0.8,The archaeologists carefully dug up the buried artifacts.,0.0,The construction crew buried the concrete blocks in place.,0.5,The excavation team uncovered the buried treasure.,0.0,The construction workers buried the concrete slab in the ground.,0.5,2.9,0.36
bury,ground,,0.8,The treasure was buried in the ground.,1.0,The ground was buried by the treasure.,0.8,The treasure was buried under the ground.,0.8,The ground was buried with the treasure.,0.8,6.1,0.84
bury,cemetery,The body was buried in the cemetery.,1.0,The cemetery was the location where the body was buried.,1.0,The cemetery was the place where the body was buried.,1.0,The body was buried in the cemetery at the specified location.,1.0,The cemetery was the location where the body was buried at the specified time.,1.0,7,1.0
bury,dump,Bury the dump in the backyard.,0.8,Bury the dump in the garden.,0.8,Bury the dump in the field.,0.8,Bury the dump in the forest.,0.8,Bury the dump in the park.,0.5,4.8,0.74
bury,subway,The subway was buried under the snow.,0.8,The subway station was buried underground.,0.8,The subway line was buried beneath the city.,0.8,The subway tunnel was buried beneath the river.,0.5,The subway platform was buried beneath the tracks.,0.5,1.4,0.68
mingle,party,The partygoers mingled in the crowded room.,0.5,The guests mingled with the hosts at the reception.,0.5,,0.8,,0.8,,0.8,6.9,0.68
mingle,mall,The people mingled in the mall.,0.8,The mall was filled with people mingling.,0.8,The mall was the place where people mingled.,0.8,People mingled in the mall all day.,1.0,The mall was the scene of much mingling.,0.8,4.3,0.84
mingle,office,The employees mingled in the office.,1.0,The office was filled with the sound of mingling.,0.8,The office was the site of much mingling.,0.8,The office was the place where people mingled.,0.8,The office was the location where people mingled.,1.0,4,0.88
mingle,bar,The partygoers mingled in the bar.,0.8,The bar was the place where the partygoers mingled.,0.8,The partygoers mingled in the bar until the early hours of the morning.,0.8,The bar was the place where the partygoers mingled until the early hours of the morning.,0.8,The partygoers mingled in the bar until they were too drunk to stand.,0.8,6.7,0.8
mingle,graduation,,0.5,,0.5,,0.5,,0.5,,0.5,6.2,0.5
mingle,wedding,The guests mingled at the wedding reception.,0.8,,0.5,The wedding guests mingled in the reception hall.,0.5,The wedding party mingled with the guests in the reception area.,0.5,The wedding reception mingled with the outdoor wedding party.,0.8,6.4,0.62
marry,house,,0.0,,0.0,,0.0,,0.0,,0.0,4.4,0.0
marry,church,I married my wife in the church.,0.8,The couple got married in the church.,0.8,The bride and groom exchanged vows in the church.,0.8,The wedding ceremony took place in the church.,1.0,The church was the location of the wedding.,1.0,7,0.88
marry,island,The couple married on the island.,0.5,,0.5,,0.5,,0.5,,0.5,3.7,0.5
marry,backyard,The couple married in the backyard.,0.8,The bride and groom exchanged vows in the backyard.,0.8,,0.5,,0.5,The backyard was the perfect setting for their wedding.,0.8,4.8,0.68
marry,prison,Marrying a prisoner in prison is a controversial topic.,0.5,,0.0,,0.0,,0.0,,0.0,1.4,0.1
marry,brewery,The bride and groom married at the brewery.,0.5,The couple got married at the brewery.,0.5,,0.0,The brewery was the site of the wedding.,0.8,The brewery was the venue for the wedding.,0.8,1,0.52
applaud,classroom,The students applauded the teacher's presentation in the classroom.,0.8,,0.5,,0.5,,0.5,The students applauded the teacher's lesson in the classroom.,0.8,4.3,0.62
applaud,concert,,0.5,,0.5,,0.5,,0.5,,0.5,6.9,0.5
applaud,restaurant,The audience applauded the restaurant for its delicious food.,0.5,,0.5,The chef applauded the restaurant for its cozy atmosphere.,0.8,,0.5,The waiter applauded the restaurant for its prompt service.,0.5,2,0.56
applaud,playground,The children applauded the playground for its cleanliness.,0.8,The parents applauded the playground for its safety features.,0.8,,0.5,The community applauded the playground for its inclusive nature.,0.8,The city applauded the playground for its commitment to sustainability.,0.8,2,0.74
applaud,theater,,0.5,The theater's applause was loud and enthusiastic.,0.8,The theater's applause was a sign of appreciation for the actors' efforts.,0.8,The theater's applause was a way to show support for the play.,0.8,The theater's applause was a way to express gratitude for the entertainment.,0.8,6.9,0.74
applaud,arena,,0.5,,0.5,,0.5,,0.5,,0.5,6.3,0.5
applaud,stadium,,0.5,,0.5,,0.5,The crowd applauded the orchestra as they played their best in the stadium.,0.75,,0.5,6.7,0.55
applaud,convention,The audience applauded the convention's closing speech.,0.5,,0.5,,0.5,,0.5,,0.5,5.5,0.5
beg,school,I beg my school to give me a break from my homework.,0.5,I beg my school to let me take a nap during class.,0.5,I beg my school to give me a chance to participate in the debate.,0.8,I beg my school to let me use the school's resources to complete my project.,0.5,I beg my school to give me a chance to showcase my talent in the school play.,0.75,3.8,0.61
beg,street,The homeless man begged on the street.,0.8,The beggar stood on the street corner.,0.5,,0.5,The beggar begged on the street.,0.8,The beggar begged on the street for hours.,0.8,5.6,0.68
beg,prison,,0.5,,0.5,,0.5,,0.5,,0.5,4.6,0.5
beg,court,The court begged the judge to grant them a delay.,0.5,The judge begged the court to reconsider their decision.,0.8,,0.5,,0.5,,0.5,5.3,0.56
beg,sidewalk,The man begged on the sidewalk.,0.8,The woman begged on the sidewalk.,0.8,The child begged on the sidewalk.,0.8,The dog begged on the sidewalk.,0.8,The cat begged on the sidewalk.,0.8,4.4,0.8
beg,church,The beggar begged at the church door.,0.5,,0.5,The beggar begged the church for help.,0.5,,0.5,The beggar begged the church to forgive him.,0.5,2.9,0.5
beg,casino,I beg to be excused from the casino.,0.5,I beg to be allowed to play at the casino.,0.5,I beg to be given a chance to play at the casino.,0.5,I beg to be permitted to play at the casino.,0.5,I beg to be allowed to gamble at the casino.,0.75,3.5,0.55
testify,office,The witness testified in the office.,0.8,The witness testified in the office about the crime.,0.8,The witness testified in the office about the evidence.,0.8,The witness testified in the office about the suspect.,0.8,The witness testified in the office about the motive.,0.8,2.5,0.8
testify,courtroom,The witness testified in the courtroom.,1.0,The defendant testified in the courtroom.,1.0,The judge testified in the courtroom.,1.0,The prosecutor testified in the courtroom.,1.0,The defense attorney testified in the courtroom.,1.0,7,1.0
testify,police station,The witness testified at the police station.,1.0,,0.8,The witness testified in the police station.,1.0,,0.8,The witness testified in the police station to the police officer.,0.8,5.8,0.88
testify,classroom,The teacher testified in the classroom about the student's behavior.,0.8,,0.5,,0.5,,0.5,,0.5,2.5,0.56
testify,planetarium,,0.5,,0.5,,0.5,,0.5,The location of the meteor shower testified to the planetarium.,0.8,1.4,0.56
testify,store,The store testified that it was the location where the theft occurred.,1.0,The store testified that it was the location where the theft was committed.,1.0,The store testified that it was the location where the theft was discovered.,1.0,The store testified that it was the location where the theft was reported.,1.0,The store testified that it was the location where the theft was suspected.,1.0,1.4,1.0
testify,jail,The witness testified that he was in jail at the time of the crime.,0.8,The suspect testified that he was not in jail at the time of the crime.,0.8,The prosecution testified that the defendant was in jail at the time of the crime.,0.8,The defense testified that the defendant was not in jail at the time of the crime.,0.8,The judge testified that the defendant was in jail at the time of the crime.,0.8,3.3,0.8
wait,hospital,The patient waited in the hospital for the doctor to arrive.,0.8,The doctor waited in the hospital for the patient to arrive.,0.8,The nurse waited in the hospital for the doctor to arrive.,0.8,The patient waited in the hospital for the nurse to arrive.,0.8,The doctor waited in the hospital for the nurse to arrive.,0.8,6.3,0.8
wait,restaurant,I'm waiting for my food at the restaurant.,0.8,The restaurant is waiting for me to arrive.,0.5,,0.5,,0.5,The bus is waiting for the restaurant to open.,0.8,6.2,0.62
wait,office,The office is waiting for the client to arrive.,0.8,The client is waiting for the office to arrive.,0.8,The office is waiting for the client to arrive at the meeting.,0.5,The client is waiting for the office to arrive at the meeting.,0.5,The office is waiting for the client to arrive at the meeting on time.,0.5,5,0.62
wait,school,,0.5,The bus waited for the school.,0.8,The school waited for the bus to arrive.,0.5,The bus waited for the school to arrive.,0.5,The school waited for the bus to leave.,0.5,3.5,0.56
wait,lineup,The lineup waited in the parking lot.,0.8,The lineup waited outside the entrance.,0.8,The lineup waited in the lobby.,0.5,The lineup waited in the hallway.,0.5,The lineup waited in the conference room.,0.5,7,0.62
wait,bedroom,I waited in the bedroom for my wife to come home.,0.8,The wait in the bedroom was unbearable.,0.8,The wait in the bedroom was long.,0.8,The wait in the bedroom was tense.,0.8,The wait in the bedroom was excruciating.,0.8,1.6,0.8
swim,bathtub,The bathtub was filled with water and I swam in it.,0.5,"I swam in the bathtub for a long time, enjoying the warm water.",0.5,The bathtub was my favorite place to swim when I was a child.,0.5,"I swam in the bathtub with my siblings, playing games and splashing water.",0.75,The bathtub was a great place to swim after a long day at work.,0.5,2.3,0.55
swim,lake,The lake was so deep that I couldn't swim in it.,0.8,The lake was so wide that I couldn't swim across it.,0.8,The lake was so cold that I couldn't swim in it.,0.8,The lake was so murky that I couldn't see the bottom.,0.8,The lake was so full of fish that I couldn't swim in it.,1.0,6.7,0.84
swim,pool,The pool was a great place to swim.,1.0,The pool was a popular spot for swimming.,1.0,The pool was a great place to cool off.,0.8,,0.8,The pool was a great place to have a swim.,0.8,7,0.88
swim,puddle,,0.5,,0.5,,0.5,,0.5,,0.5,1.2,0.5
swim,ocean,,0.8,,0.8,,0.8,,0.8,,0.8,6.6,0.8
swim,beach,The beach was a great place to swim.,0.8,,0.8,,0.8,,0.8,,0.8,6.2,0.8
swim,desert,,0.5,,0.5,,0.5,,0.5,,0.5,1,0.5
swim,swamp,The swamp was a great place to swim.,0.8,The swamp was a popular spot for swimming.,0.8,The swamp was a great place to cool off.,0.5,,0.5,,0.5,1.5,0.62
swim,creek,,0.5,,0.5,,0.5,,0.5,,0.5,2.9,0.5
pray,temple,I prayed at the temple.,1.0,The temple was the location where I prayed.,1.0,I prayed in the temple.,1.0,The temple was the place where I prayed.,1.0,I prayed in the temple's courtyard.,0.8,6.8,0.96
pray,church,I prayed at the church.,1.0,The church was the location where I prayed.,1.0,I prayed in the church.,1.0,The church was the place where I prayed.,1.0,I prayed in the church's sanctuary.,0.8,7,0.96
pray,casino,I prayed at the casino.,0.5,The casino was the location where I prayed.,0.5,I prayed in the casino.,0.5,The casino was the place where I prayed.,0.5,I prayed at the casino's entrance.,0.5,4.2,0.5
pray,school,I prayed at school.,0.8,I prayed in the school.,0.8,I prayed at the school.,0.8,I prayed in the school's courtyard.,0.5,I prayed in the school's chapel.,0.5,4.1,0.68
pray,cemetery,I prayed at the cemetery.,0.8,The cemetery was the place where I prayed.,0.8,I prayed at the cemetery for my loved ones.,0.8,I prayed at the cemetery for peace and solace.,0.8,I prayed at the cemetery for guidance and wisdom.,0.8,6,0.8
pray,kitchen,I pray in the kitchen.,0.8,I pray in the kitchen for guidance.,0.75,I pray in the kitchen for strength.,0.5,I pray in the kitchen for wisdom.,0.5,I pray in the kitchen for peace.,0.75,2.2,0.66
pray,theatre,I prayed at the theatre.,0.5,,0.5,,0.5,,0.5,,0.5,1.5,0.5
confess,church,The priest confessed to the church about his sins.,0.8,The bishop confessed to the church about the scandal.,0.8,The pastor confessed to the church about his doubts.,0.8,The deacon confessed to the church about his mistakes.,0.8,The layperson confessed to the church about their struggles.,0.5,6.9,0.74
confess,school,I confessed to my school that I cheated on the test.,0.5,The school confessed to the police that they had a leak in the roof.,0.5,The school confessed to the students that they had to close the school for a day.,0.5,The school confessed to the principal that they had a problem with the budget.,0.5,The school confessed to the teacher that they had a problem with the curriculum.,0.5,4.2,0.5
confess,court,The defendant confessed to the crime in court.,0.8,,0.5,The witness confessed to the crime in the courtroom.,0.8,,0.5,,0.5,6,0.62
confess,office,The suspect confessed to the crime in the office.,0.8,"The suspect confessed to the crime in the office, revealing the details of the plot.",0.5,"The suspect confessed to the crime in the office, providing a detailed account of the events.",0.5,"The suspect confessed to the crime in the office, admitting to the involvement of others.",0.5,"The suspect confessed to the crime in the office, revealing the motive behind the crime.",0.5,3,0.56
confess,studio,,0.5,,0.5,,0.5,,0.5,,0.5,1.7,0.5
confess,hearing,,0.5,He confessed to hearing the noise from the living room.,0.5,He confessed to hearing the noise from the living room window.,0.5,,0.5,"He confessed to hearing the noise from the living room window while he was in the kitchen, but he didn't know what it was.",0.5,5.3,0.5
confess,jail,"I confessed to the police that I had stolen the money from the bank, and they took me to jail.",0.5,The suspect confessed to the crime and was sent to jail.,0.8,The defendant confessed to the judge and was sentenced to jail.,0.5,The criminal confessed to the crime and was sent to jail.,0.8,The suspect confessed to the police and was taken to jail.,0.8,3.8,0.68
sleep,bathtub,I slept in the bathtub last night.,0.8,The bathtub was my sleeping place.,0.5,I slept in the bathtub for hours.,0.8,The bathtub was my cozy sleeping spot.,0.5,I slept in the bathtub until I was exhausted.,0.8,2.2,0.68
sleep,tent,,0.5,,0.5,,0.5,,0.5,,0.5,5.9,0.5
sleep,bedroom,I slept in my bedroom last night.,1.0,,0.8,The dog slept in the bedroom with me.,0.8,The baby slept in the bedroom with her stuffed animal.,0.8,The sleeping cat was in the bedroom.,0.5,7,0.78
sleep,hotel,I slept at the hotel last night.,0.8,The hotel was my sleeping place.,0.5,,0.5,The hotel was my sleeping location.,0.8,,0.5,6.3,0.62
sleep,chair,I sleep on the chair.,0.8,,0.5,,0.5,,0.5,,0.5,4.6,0.56
sleep,car,,0.0,,0.0,,0.0,,0.0,,0.0,4.1,0.0
sleep,trailer,The trailer slept in the backyard.,0.5,The trailer slept in the garage.,0.5,,0.5,,0.5,,0.5,5.6,0.5
sleep,concert,,0.0,The concert was so loud that I couldn't sleep.,0.5,I slept through the entire concert.,0.5,I slept through the entire concert and woke up feeling refreshed.,0.5,I slept through the entire concert and woke up feeling exhausted.,0.5,1.5,0.4
wash,lake,,0.5,,0.5,,0.5,,0.5,,0.5,4,0.5
wash,bathroom,Wash the bathroom.,1.0,Wash the bathroom floor.,0.8,Wash the bathroom sink.,0.8,Wash the bathroom toilet.,0.8,Wash the bathroom mirror.,0.5,7,0.78
wash,laundromat,I went to the laundromat to wash my clothes.,0.5,,0.5,I washed my clothes at the laundromat.,0.8,,0.5,I washed my clothes at the laundromat.,0.8,4.9,0.62
wash,puddle,The puddle washed away.,0.8,The puddle washed off the ground.,0.5,The puddle washed the dirt away.,0.5,The puddle washed the mud off.,0.5,The puddle washed the water away.,0.5,1.2,0.56
wash,pool,Wash the pool,1.0,Wash the pool with soap,0.8,Wash the pool with water,0.8,Wash the pool with a hose,1.0,Wash the pool with a sponge,0.8,2.5,0.88
wash,factory,,0.5,The clothes washed in the factory.,0.8,,0.5,,0.5,,0.5,2.5,0.56
wash,hospital,,0.5,,0.5,,0.5,,0.5,,0.5,5.6,0.5
run,house,The dog ran around the house.,0.8,The cat ran through the house.,0.8,The rabbit ran in the house.,0.8,The horse ran over the house.,0.5,,0.5,2.8,0.68
run,track,The runner ran on the track.,1.0,,0.5,The runner ran on the track.,1.0,,0.5,The runner ran on the track.,1.0,6.9,0.8
run,treadmill,I ran on the treadmill for 30 minutes.,1.0,The treadmill ran under my feet as I jogged.,0.5,The treadmill was my location as I ran.,0.5,I ran on the treadmill to get in shape.,0.8,The treadmill was my destination as I ran.,0.5,6.8,0.66
run,gymnasium,I ran to the gymnasium to exercise.,0.8,The gymnasium was my destination when I ran.,0.5,I ran to the gymnasium to play basketball.,0.8,The gymnasium was my starting point when I ran.,0.8,I ran to the gymnasium to get a drink of water.,0.5,6.4,0.68
run,sidewalk,The runner ran on the sidewalk.,0.8,The sidewalk was the location where the runner ran.,0.8,The runner ran on the sidewalk at night.,0.8,The sidewalk was the location where the runner ran at night.,0.8,The runner ran on the sidewalk in the rain.,0.8,5.5,0.8
run,road,The dog ran down the road.,0.8,The runner ran down the road.,0.8,The car ran down the road.,0.8,The horse ran down the road.,0.8,The person ran down the road.,0.8,5.2,0.8
run,restaurant,I ran to the restaurant to grab a bite to eat.,0.75,The restaurant was a great place to run errands.,0.5,I ran to the restaurant to pick up my order.,0.75,The restaurant was a popular spot to run into friends.,0.75,I ran to the restaurant to grab a drink before the show.,0.5,1.3,0.65
fish,ocean,The fish swam in the ocean.,1.0,The ocean was home to many fish.,0.8,The fish were found in the ocean.,1.0,The ocean was a habitat for fish.,0.8,The fish were abundant in the ocean.,1.0,6.4,0.92
fish,lake,The fish swam in the lake.,1.0,The lake was home to many fish.,0.8,The fish were caught in the lake.,1.0,The lake was a popular spot for fishing.,1.0,The lake was a haven for fish.,1.0,6.8,0.96
fish,pool,The fish swam in the pool.,1.0,The pool was filled with fish.,0.8,The fish were swimming in the pool.,0.8,The pool was a habitat for fish.,0.8,The fish were living in the pool.,1.0,1.1,0.88
fish,puddle,The fish swam in the puddle.,0.8,The puddle was home to many fish.,0.8,The fish were attracted to the puddle.,0.8,The puddle was a haven for fish.,0.8,The fish were found in the puddle.,0.8,1,0.8
