predicate,argument,role_type,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
advise,designer-gardener,ARG1,The designer-gardener advised the client to use a specific plant for the garden.,The designer-gardener advised the client to avoid using a particular plant in the garden.,The designer-gardener advised the client to use a specific type of soil for the garden.,The designer-gardener advised the client to use a specific type of irrigation system for the garden.,The designer-gardener advised the client to use a specific type of pest control for the garden.
advise,doctor,ARG0,The doctor advised me to take more vitamins.,The doctor advised me to see a specialist.,The doctor advised me to take a break from work.,The doctor advised me to eat more fruits and vegetables.,The doctor advised me to exercise regularly.
advise,doctor,ARG1,The doctor advised me to take more vitamins.,The doctor advised me to see a specialist.,The doctor advised me to take a break from work.,The doctor advised me to eat more fruits and vegetables.,The doctor advised me to exercise more regularly.
advise,expert,ARG0,The expert advised the student to take a break.,The expert advised the company to invest in new technology.,The expert advised the politician to be more transparent.,The expert advised the doctor to take a break.,The expert advised the teacher to use more creative teaching methods.
advise,expert,ARG1,The expert advised the student to take a break from the exam.,The doctor advised the patient to avoid smoking.,The teacher advised the student to study for the exam.,The manager advised the employee to take a vacation.,The lawyer advised the client to settle the case out of court.
advise,hospital,ARG0,I advise the hospital to invest in new equipment.,The hospital advised me to seek medical attention.,The hospital advised me to take a break from work.,The hospital advised me to take a break from work and seek medical attention.,"The hospital advised me to take a break from work and seek medical attention, but I decided to ignore their advice."
advise,hospital,ARG1,The hospital advised the patient to take a break from work for a few days.,The hospital advised the doctor to take a break from work for a few days.,The hospital advised the nurse to take a break from work for a few days.,The hospital advised the patient to take a break from work for a few days.,The hospital advised the doctor to take a break from work for a few days.
advise,investor,ARG0,The investor should advise the company to diversify its investments.,The investor advised the company to invest in renewable energy.,The investor advised the company to focus on sustainable practices.,The investor advised the company to diversify its investments to reduce risk.,The investor advised the company to invest in a new market to expand its reach.
advise,investor,ARG1,The investor should advise the company to diversify its investments.,The investor advised the company to invest in renewable energy.,The investor advised the company to focus on sustainable practices.,The investor advised the company to diversify its investments to reduce risk.,The investor advised the company to invest in a new market to expand its reach.
advise,official,ARG0,The official advised the company to take a different approach to the project.,The official advised the company to seek legal counsel before proceeding with the project.,The official advised the company to consider the potential consequences of their actions before making a decision.,The official advised the company to consult with other experts before making a decision.,The official advised the company to take a step back and re-evaluate their goals before proceeding with the project.
advise,official,ARG1,The official advised the company to take a different approach to the project.,The official advised the company to seek legal counsel before proceeding with the project.,The official advised the company to consider the potential consequences of their actions before making a decision.,The official advised the company to consult with other experts before making a decision.,The official advised the company to take a step back and re-evaluate their goals before proceeding with the project.
advise,planner,ARG0,The planner advised me to take a break from work to relax and recharge.,The planner advised me to prioritize my tasks and focus on the most important ones first.,The planner advised me to set realistic goals and deadlines for myself to avoid feeling overwhelmed.,The planner advised me to take a step back and assess my progress regularly to make sure I'm on track.,The planner advised me to seek help from a professional if I'm feeling overwhelmed or struggling to manage my tasks.
advise,planner,ARG1,The planner advised the client to take a more realistic approach to the project timeline.,The planner advised the team to prioritize the most critical tasks first.,The planner advised the client to consider alternative solutions to the problem.,The planner advised the team to take a break and recharge their energy levels.,The planner advised the client to seek additional resources to complete the project.
ask,charity,ARG0,What charity do you recommend?,Can you recommend a charity?,Which charity do you support?,What charity do you donate to?,Can you donate to a charity?
ask,charity,ARG2,What charity do you recommend?,Can you recommend a charity?,Which charity do you support?,What charity do you donate to?,Can you donate to a charity?
ask,congress,ARG0,Congress asked for my opinion on the budget bill.,The congress asked me to speak at the conference.,The congress asked me to help with the research project.,The congress asked me to join the committee.,The congress asked me to help with the fundraising campaign.
ask,congress,ARG2,Congress asked the president to provide a report on the current state of the economy.,The president asked Congress to pass a bill to increase funding for education.,The CEO asked the board of directors to approve the company's new marketing strategy.,The teacher asked the students to write a short essay on the topic of climate change.,The doctor asked the patient to bring in their medical records for review.
ask,court,ARG0,The court asked the lawyer to provide a written response to the plaintiff's motion.,The court asked the judge to review the case and make a decision.,The court asked the jury to deliberate and reach a verdict.,The court asked the witness to testify in court.,The court asked the defendant to plead guilty or not guilty to the charges.
ask,court,ARG2,The court asked the lawyer to provide a written response to the plaintiff's request.,The court asked the judge to rule on the defendant's motion for summary judgment.,The court asked the jury to deliberate on the verdict.,The court asked the witness to testify in court.,The court asked the defendant to provide evidence to support their case.
ask,department,ARG0,What department do you work in?,Which department do you work in?,What department are you in?,Which department are you in?,What department do you belong to?
ask,department,ARG2,What department do you need to ask about?,Which department do you need to ask about?,What department do you need to inquire about?,Which department do you need to inquire about?,What department do you need to seek information about?
ask,doctor,ARG0,Ask the doctor if they can help me with my headache.,Ask the doctor if they can prescribe me some painkillers.,Ask the doctor if they can perform a check-up on me.,Ask the doctor if they can diagnose my condition.,Ask the doctor if they can provide me with a treatment plan.
ask,doctor,ARG2,Ask the doctor if they can help me with my headache.,Ask the doctor if they can prescribe me some painkillers.,Ask the doctor if they can perform a check-up on me.,Ask the doctor if they can diagnose my condition.,Ask the doctor if they can provide me with a treatment plan.
ask,firm,ARG0,What is the name of the firm that you are asking about?,What is the name of the firm that you are inquiring about?,What is the name of the firm that you are requesting information about?,What is the name of the firm that you are seeking information about?,What is the name of the firm that you are interested in learning more about?
ask,firm,ARG2,The firm asked the customer for their feedback.,The customer asked the firm for a refund.,The firm asked the customer to provide their contact information.,The customer asked the firm to provide a discount.,The firm asked the customer to sign a contract.
ask,official,ARG0,The official asked the employee to leave the meeting.,The official asked the manager to provide the report.,The official asked the customer to sign the contract.,The official asked the employee to return the documents.,The official asked the manager to schedule the meeting.
ask,official,ARG2,The official asked the employee to leave the meeting.,The official asked the employee to provide the documents.,The official asked the employee to sign the contract.,The official asked the employee to explain the decision.,The official asked the employee to provide the necessary information.
ask,police,ARG0,The police asked me to come to the station.,The police asked me to provide my identification.,The police asked me to wait in the lobby.,The police asked me to follow them to the interview room.,The police asked me to sign the statement.
ask,police,ARG2,The police asked the suspect to explain himself.,The police asked the witness to provide a statement.,The police asked the victim to describe the attacker.,The police asked the suspect to provide a DNA sample.,The police asked the witness to identify the suspect.
ask,prosecutor,ARG0,The prosecutor asked the witness to provide evidence.,The prosecutor asked the judge for a ruling.,The prosecutor asked the jury to consider the evidence.,The prosecutor asked the defendant to plead guilty.,The prosecutor asked the court to dismiss the case.
ask,prosecutor,ARG2,The prosecutor asked the witness to provide evidence.,The prosecutor asked the judge for a ruling.,The prosecutor asked the jury to consider the evidence.,The prosecutor asked the defendant to explain their actions.,The prosecutor asked the witness to testify in court.
ask,state,ARG0,What is the state of the issue?,What is the current state of the project?,What is the status of the proposal?,What is the state of the negotiations?,What is the current state of the situation?
ask,state,ARG2,What is the state of the issue?,What is the current state of the matter?,What is the status of the problem?,What is the state of the debate?,What is the current state of the situation?
ask,union,ARG0,What is the union of these two sets?,Can you tell me the union of these two sets?,What is the union of these two sets?,Can you tell me the union of these two sets?,What is the union of these two sets?
ask,union,ARG2,What is the union's reply to the question?,What is the union's response to the query?,What is the union's answer to the inquiry?,What is the union's response to the request?,What is the union's reply to the demand?
caution,bank,ARG0,Caution the bank to be cautious with their finances.,Caution the bank to be careful with their investments.,Caution the bank to be mindful of their risks.,Caution the bank to be vigilant in their financial dealings.,Caution the bank to be prudent in their financial decisions.
caution,bank,ARG2,Caution the bank to be cautious with their finances.,Caution the bank to be careful with their investments.,Caution the bank to be mindful of their risks.,Caution the bank to be vigilant in their financial dealings.,Caution the bank to be prudent in their financial decisions.
caution,developer,ARG0,The developer must exercise caution when working with the new software.,The developer must be cautious when using the software to avoid any potential errors.,The developer must be careful when testing the software to ensure it meets the required specifications.,The developer must be mindful of the potential risks associated with the software to avoid any unintended consequences.,The developer must be vigilant when reviewing the software's code to ensure it is secure and free of errors.
caution,developer,ARG2,The developer must exercise caution when working with the new software.,The developer must be cautious when using the software to avoid any potential errors.,The developer must be careful when testing the software to ensure it meets the required specifications.,The developer must be mindful of the potential risks associated with the software to avoid any unintended consequences.,The developer must be vigilant when reviewing the software's code to ensure it is secure and free of errors.
caution,friend,ARG0,Caution your friend about the dangerous situation.,Caution your friend to be careful.,Caution your friend to avoid the danger.,Caution your friend to stay away from the dangerous area.,Caution your friend to take necessary precautions.
caution,friend,ARG2,Caution your friend about the dangerous situation.,Caution your friend to be careful.,Caution your friend to avoid the danger.,Caution your friend to stay away from the dangerous area.,Caution your friend to take necessary precautions.
caution,judges,ARG0,The judge warned the defendant to be cautious in their testimony.,The judge advised the witness to exercise caution when answering questions.,The judge cautioned the jury to consider the evidence carefully before reaching a verdict.,The judge warned the lawyers to be cautious in their arguments.,The judge advised the witnesses to be cautious in their testimony to avoid perjury.
caution,judges,ARG2,The judge warned the defendant to be cautious in their testimony.,The judge advised the witness to be cautious in their statement.,The judge cautioned the jury to be cautious in their deliberations.,The judge warned the lawyers to be cautious in their arguments.,The judge advised the witnesses to be cautious in their testimony.
caution,lady,ARG0,Caution the lady to be careful.,Caution the lady to be cautious.,Caution the lady to be vigilant.,Caution the lady to be mindful.,Caution the lady to be aware.
caution,lady,ARG2,The lady was cautioned to be careful.,The lady was cautioned to be cautious.,The lady was cautioned to be careful with the children.,The lady was cautioned to be careful with the dog.,The lady was cautioned to be careful when crossing the street.
caution,leader,ARG0,The leader cautioned the team to be careful.,The leader warned the team about the danger.,The leader advised the team to be cautious.,The leader counseled the team to be careful.,The leader urged the team to be cautious.
caution,leader,ARG2,The leader cautioned the team to be careful.,The leader warned the team about the dangers of the mission.,The leader advised the team to be cautious.,The leader counseled the team to be careful.,The leader urged the team to be cautious.
caution,police,ARG0,The police cautioned the driver to be careful on the road.,The police cautioned the passengers to stay seated during the takeoff.,The police cautioned the passengers to keep their seatbelts fastened at all times.,The police cautioned the passengers to follow all instructions of the flight attendants.,The police cautioned the passengers to be aware of their surroundings and report any suspicious behavior to the authorities.
caution,police,ARG2,The police cautioned the driver to be cautious on the road.,The police cautioned the passengers to stay seated during the takeoff.,The police cautioned the passengers to keep their seatbelts fastened at all times.,The police cautioned the passengers to follow all instructions of the flight attendants.,The police cautioned the passengers to be aware of their surroundings and report any suspicious behavior to the authorities.
caution,professional,ARG0,Caution professional drivers to be cautious on the road.,Caution professional athletes to take necessary precautions during competition.,Caution professional musicians to be mindful of their health and well-being.,Caution professional actors to be aware of their surroundings and avoid dangerous situations.,Caution professional writers to be careful with their words and avoid spreading misinformation.
caution,professional,ARG2,Caution professional drivers to be cautious on the road.,Caution professional athletes to take necessary precautions during competition.,Caution professional musicians to be mindful of their health and well-being.,Caution professional actors to be aware of their surroundings and avoid dangerous situations.,Caution professional writers to be careful with their words and avoid spreading misinformation.
caution,rain,ARG0,Caution rain in the area,Caution rain in the forecast,Caution rain in the near future,Caution rain in the coming days,Caution rain in the upcoming week
caution,rain,ARG2,Caution rain in the forecast,Caution rain in the area,Caution rain in the vicinity,Caution rain in the area ahead,Caution rain in the vicinity ahead
caution,trader,ARG0,Caution the trader to be cautious in their investment decisions.,Caution the trader to be aware of potential risks and to take necessary precautions.,Caution the trader to be mindful of the potential consequences of their actions.,Caution the trader to be vigilant and to keep a close eye on their investments.,Caution the trader to be cautious in their financial dealings and to avoid making rash decisions.
caution,trader,ARG2,Caution the trader to be cautious in their investment decisions.,Caution the trader to be aware of potential risks and to take necessary precautions.,Caution the trader to be mindful of the potential consequences of their actions.,Caution the trader to be vigilant and to keep a close eye on their investments.,Caution the trader to be cautious in their decision-making and to seek advice from a financial advisor if necessary.
caution,user,ARG0,Caution the user to be careful when using the product.,Caution the user to follow the instructions carefully.,Caution the user to avoid using the product in extreme temperatures.,Caution the user to not use the product in wet conditions.,Caution the user to not use the product in areas with high humidity.
caution,user,ARG2,Caution the user to be careful when using the product.,Caution the user to follow the instructions carefully.,Caution the user to avoid using the product in extreme temperatures.,Caution the user to not use the product in wet conditions.,Caution the user to not use the product in areas with high humidity.
caution,woman,ARG0,Caution the woman to be careful.,Caution the woman to be cautious.,Caution the woman to be vigilant.,Caution the woman to be mindful.,Caution the woman to be aware.
caution,woman,ARG2,The woman was cautioned for her reckless driving.,The woman was cautioned by the police for her speeding.,The woman was cautioned by her doctor for her high blood pressure.,The woman was cautioned by her employer for her poor work performance.,The woman was cautioned by her family for her reckless behavior.
confuse,baby,ARG0,The baby confused the cat and the dog.,The baby confused the cat with the dog.,The baby confused the cat and the dog with each other.,The baby confused the cat and the dog with the toy.,The baby confused the cat and the dog with the ball.
confuse,baby,ARG1,The baby confused the cat and the dog.,The baby confused the toy with the ball.,The baby confused the book with the movie.,The baby confused the bed with the chair.,The baby confused the car with the bus.
confuse,boatman,ARG0,The boatman confuses the passengers.,The boatman confuses the crew.,The boatman confuses the captain.,The boatman confuses the passengers and the crew.,The boatman confuses the captain and the passengers.
confuse,boatman,ARG1,The boatman confuses the tourists by pointing to the wrong direction.,The boatman confuses the tourists by speaking in a foreign language.,The boatman confuses the tourists by wearing a disguise.,The boatman confuses the tourists by pretending to be a different person.,The boatman confuses the tourists by using a fake accent.
confuse,comment,ARG0,The comment confused me.,The comment confused him.,The comment confused her.,The comment confused them.,The comment confused us.
confuse,comment,ARG1,The comment confused me.,The comment confused him.,The comment confused her.,The comment confused them.,The comment confused us.
confuse,community,ARG0,The community was confused by the new policy.,The community was confused by the lack of communication.,The community was confused by the conflicting information.,The community was confused by the conflicting opinions.,The community was confused by the lack of transparency.
confuse,community,ARG1,The community was confused by the new policy.,The community was confused by the lack of communication.,The community was confused by the conflicting information.,The community was confused by the conflicting opinions.,The community was confused by the lack of transparency.
confuse,computer,ARG0,The computer confused me.,The computer confused the other person.,The computer confused the program.,The computer confused the data.,The computer confused the instructions.
confuse,computer,ARG1,The computer confused me by displaying a blue screen.,The computer confused me by producing a strange error message.,The computer confused me by not responding to my commands.,The computer confused me by displaying a message that I didn't understand.,The computer confused me by producing a beep sound that I didn't recognize.
confuse,condition,ARG0,The condition of the patient confused the doctor.,The condition of the patient confused the diagnosis.,The condition of the patient confused the treatment plan.,The condition of the patient confused the prognosis.,The condition of the patient confused the recovery process.
confuse,condition,ARG1,The condition of the patient confused the doctor.,The condition of the patient confused the diagnosis.,The condition of the patient confused the treatment plan.,The condition of the patient confused the prognosis.,The condition of the patient confused the recovery process.
confuse,equipment,ARG0,The new equipment confuses the team.,The confusing equipment caused the team to lose their way.,The team was confused by the equipment.,The equipment confused the team's strategy.,The team's confusion was caused by the equipment.
confuse,equipment,ARG1,The new equipment confuses the team.,The confusing equipment caused the team to lose their way.,The team was confused by the equipment.,The equipment confused the team's strategy.,The team's confusion was caused by the equipment.
confuse,insistence,ARG0,The insistence of the teacher confused the students.,The insistence of the politician confused the public.,The insistence of the artist confused the critics.,The insistence of the scientist confused the skeptics.,The insistence of the activist confused the authorities.
confuse,insistence,ARG1,The insistence of the teacher confused the students.,The insistence of the politician confused the public.,The insistence of the artist confused the critics.,The insistence of the scientist confused the skeptics.,The insistence of the activist confused the authorities.
confuse,sense,ARG0,The sense of the situation confused me.,The confusion of the situation made me feel disoriented.,The sense of the situation was unclear to me.,The confusion of the situation was overwhelming.,The sense of the situation was difficult to understand.
confuse,sense,ARG1,The sense of the situation confused me.,The confusion of the situation made me feel lost.,The sense of the situation was confusing to me.,The confusion of the situation was a challenge to understand.,The sense of the situation was difficult to grasp.
confuse,shareholder,ARG0,The shareholder's confusion over the company's financial statements led to a decline in the stock price.,The shareholder's confusion over the company's business strategy caused a rift in the boardroom.,The shareholder's confusion over the company's tax policies resulted in a legal dispute.,The shareholder's confusion over the company's environmental policies led to a public backlash.,The shareholder's confusion over the company's product quality caused a recall of the product.
confuse,shareholder,ARG1,The shareholder's confusion over the company's financial statements led to a decline in the stock price.,The shareholder's confusion over the company's business strategy caused a rift in the boardroom.,The shareholder's confusion over the company's tax policies resulted in a legal dispute.,The shareholder's confusion over the company's environmental policies led to a public backlash.,The shareholder's confusion over the company's product quality caused a recall of the product.
confuse,situation,ARG0,The situation confused me.,The confusion in the situation was palpable.,The situation was so confusing that I couldn't make sense of it.,The confusion in the situation was overwhelming.,The situation was a complete mystery to me.
confuse,situation,ARG1,The situation confused me.,The confusion in the situation was palpable.,The situation was so confusing that I couldn't make sense of it.,The confusion in the situation was overwhelming.,The situation was a complete mystery to me.
confuse,statement,ARG0,The statement confused me.,The statement confused her.,The statement confused him.,The statement confused them.,The statement confused us.
confuse,statement,ARG1,The statement confused me.,The statement confused her.,The statement confused him.,The statement confused them.,The statement confused us.
eat,apple,ARG0,I ate an apple.,She ate an apple.,He ate an apple.,They ate an apple.,We ate an apple.
eat,apple,ARG1,I ate an apple.,She ate an apple.,He ate an apple.,They ate an apple.,We ate an apple.
eat,cost,ARG0,The cost of eating out is high.,The cost of eating at home is low.,The cost of eating at a restaurant is moderate.,The cost of eating at a fast food restaurant is cheap.,The cost of eating at a fine dining restaurant is expensive.
eat,cost,ARG1,The cost of eating out is high.,The cost of eating at home is low.,The cost of eating at a restaurant is moderate.,The cost of eating at a fast food restaurant is cheap.,The cost of eating at a fine dining restaurant is expensive.
eat,debt,ARG0,I ate the debt.,The debt ate me.,The debt ate the cake.,The cake ate the debt.,The debt ate the debt.
eat,debt,ARG1,I ate the debt that was owed to me.,The debt that I owed was eaten by the creditor.,The debt that I owed was eaten by the bank.,The debt that I owed was eaten by the government.,The debt that I owed was eaten by the tax collector.
eat,egg,ARG0,I ate an egg for breakfast.,She ate an egg for lunch.,He ate an egg for dinner.,We ate eggs for breakfast.,They ate eggs for lunch.
eat,egg,ARG1,I ate an egg for breakfast.,She ate an egg for lunch.,He ate an egg for dinner.,We ate eggs for breakfast.,They ate eggs for lunch.
eat,group,ARG0,The group of people ate the pizza.,The group of students ate the cake.,The group of friends ate the sandwiches.,The group of colleagues ate the salad.,The group of family members ate the soup.
eat,group,ARG1,The group of people ate the pizza.,The group of students ate the sandwiches.,The group of friends ate the cake.,The group of colleagues ate the salad.,The group of tourists ate the sushi.
eat,husband,ARG0,The husband ate the cake.,The cake was eaten by the husband.,The husband ate the cake with his wife.,The husband ate the cake with his children.,The husband ate the cake with his friends.
eat,husband,ARG1,The husband ate the cake.,The cake was eaten by the husband.,The husband ate the cake with his wife.,The husband ate the cake with his children.,The husband ate the cake with his friends.
eat,local,ARG0,I ate a sandwich for lunch.,The local restaurant served a delicious meal.,The waiter brought us a plate of food.,The chef prepared a tasty dish.,The local bakery sold a fresh loaf of bread.
eat,local,ARG1,I ate a sandwich for lunch.,The local restaurant served a delicious meal.,The waiter brought us a plate of food.,The chef prepared a tasty dish.,The local bakery made fresh bread.
eat,lunch,ARG0,I ate lunch yesterday.,She ate a sandwich for lunch.,They ate a salad for lunch.,He ate a pizza for lunch.,We ate a casserole for lunch.
eat,lunch,ARG1,I ate lunch yesterday.,She ate a sandwich for lunch.,He ate a salad for lunch.,They ate a pizza for lunch.,We ate a casserole for lunch.
eat,meal,ARG0,I ate a delicious meal at the restaurant.,"The meal was delicious, and I ate it all.",I ate a big meal for breakfast.,I am going to eat a healthy meal for lunch.,I ate a meal with my family last night.
eat,meal,ARG1,I ate a delicious meal at the restaurant.,The chef prepared a tasty meal for us to eat.,The waiter brought us a fresh meal to eat.,I ate a hearty breakfast to fuel my body for the day.,The chef cooked a meal for the entire family to enjoy.
eat,people,ARG0,People eat food.,People eat apples.,People eat pizza.,People eat sushi.,People eat ice cream.
eat,people,ARG1,People eat food.,People eat apples.,People eat pizza.,People eat sushi.,People eat ice cream.
eat,pizza,ARG0,I ate a pizza for lunch.,The pizza was eaten by me.,The pizza was eaten by my friends and I.,I ate a pizza with my family.,I ate a pizza with my partner.
eat,pizza,ARG1,I ate a pizza for lunch.,The pizza was eaten by me.,I ate a pizza with my friends.,My friends and I ate a pizza together.,I ate a pizza with a side of salad.
eat,villager,ARG0,The villager ate the apple.,The villager ate the bread.,The villager ate the cake.,The villager ate the pizza.,The villager ate the sandwich.
eat,villager,ARG1,The villager ate the apple.,The villager ate the bread.,The villager ate the cake.,The villager ate the pizza.,The villager ate the sandwich.
eliminate,act,ARG0,The new policy will eliminate the need for manual data entry.,The new software will eliminate the need for manual data processing.,The new system will eliminate the need for manual data analysis.,The new process will eliminate the need for manual data review.,The new approach will eliminate the need for manual data validation.
eliminate,act,ARG1,The new policy will eliminate the need for manual data entry.,The new software will eliminate the need for manual data processing.,The new algorithm will eliminate the need for manual data analysis.,The new system will eliminate the need for manual data storage.,The new approach will eliminate the need for manual data retrieval.
eliminate,barrier,ARG0,Eliminating the barrier will make it easier for people to access the area.,The barrier was eliminated to allow for better traffic flow.,The barrier was eliminated to prevent accidents.,The barrier was eliminated to make the area more accessible for people with disabilities.,The barrier was eliminated to improve the aesthetic appeal of the area.
eliminate,barrier,ARG1,Eliminating the barrier will make it easier for people to access the area.,The barrier was eliminated to improve the flow of traffic.,The barrier was eliminated to prevent the spread of disease.,The barrier was eliminated to allow for the construction of a new building.,The barrier was eliminated to make it easier for people to reach the beach.
eliminate,club,ARG0,The club eliminated the competition in the first round.,The competition was eliminated by the club in the first round.,The club's elimination of the competition in the first round was decisive.,"The competition was eliminated by the club in the first round, and it was a close match.",The club's elimination of the competition in the first round was a well-deserved victory.
eliminate,club,ARG1,The club eliminated the competition in the first round.,The competition was eliminated by the club in the first round.,The club's elimination of the competition in the first round was decisive.,"The competition was eliminated by the club in the first round, and it was a close match.",The club's elimination of the competition in the first round was a well-deserved victory.
eliminate,intruder,ARG0,Eliminate the intruder from the room.,Eliminate the intruder from the building.,Eliminate the intruder from the city.,Eliminate the intruder from the country.,Eliminate the intruder from the world.
eliminate,intruder,ARG1,The police officer eliminated the intruder from the scene.,The security guard eliminated the suspicious person from the building.,The scientist eliminated the harmful bacteria from the sample.,The chef eliminated the excess fat from the steak.,The surgeon eliminated the cancerous cells from the patient's body.
eliminate,job,ARG0,Eliminate the job of a manager,Eliminate the job of a worker,Eliminate the job of a teacher,Eliminate the job of a doctor,Eliminate the job of a lawyer
eliminate,job,ARG1,Eliminate the job of a manager to reduce the workload.,Eliminate the job of a salesperson to reduce the pressure.,Eliminate the job of a customer service representative to reduce the workload.,Eliminate the job of a data entry clerk to reduce the workload.,Eliminate the job of a receptionist to reduce the workload.
eliminate,law,ARG0,The new government has eliminated the law that allowed corporations to bribe politicians.,The company has eliminated the law that required them to provide health insurance to their employees.,The new policy has eliminated the law that prohibited the use of facial recognition technology in public places.,The government has eliminated the law that made it illegal to sell drugs in the city.,The company has eliminated the law that required them to provide a minimum wage to their employees.
eliminate,law,ARG1,The new policy will eliminate the need for lawyers in many cases.,The new technology will eliminate the need for manual labor in manufacturing.,The new regulations will eliminate the risk of accidents in the workplace.,The new policy will eliminate the need for expensive medical treatments.,The new system will eliminate the need for paperwork in government bureaucracy.
eliminate,need,ARG0,Eliminate the need for a new employee by outsourcing the task to a freelancer.,Eliminate the need for a new office by working remotely.,Eliminate the need for a new computer by using a cloud-based service.,Eliminate the need for a new software by using an open-source alternative.,Eliminate the need for a new hardware by using a virtual machine.
eliminate,need,ARG1,Eliminate the need for a new employee by outsourcing the task to a freelancer.,Eliminate the need for a new office by working remotely.,Eliminate the need for a new computer by using a cloud-based service.,Eliminate the need for a new software by using an open-source alternative.,Eliminate the need for a new hardware by using a virtual machine.
eliminate,policy,ARG0,The government has eliminated the policy of subsidizing gasoline prices.,The company has eliminated the policy of providing free healthcare to its employees.,The government has eliminated the policy of providing free education to all citizens.,The company has eliminated the policy of providing free housing to its employees.,The government has eliminated the policy of providing free transportation to all citizens.
eliminate,policy,ARG1,The government has eliminated the policy of subsidizing gasoline prices.,The company has eliminated the policy of providing free healthcare to its employees.,The government has eliminated the policy of providing free education to all citizens.,The company has eliminated the policy of providing free housing to its employees.,The government has eliminated the policy of providing free transportation to all citizens.
eliminate,provision,ARG0,Eliminate the provision for the new employee.,Eliminate the provision for the old employee.,Eliminate the provision for the new contract.,Eliminate the provision for the old contract.,Eliminate the provision for the new policy.
eliminate,provision,ARG1,Eliminate the provision for the new employee.,Eliminate the provision for the old employee.,Eliminate the provision for the new contract.,Eliminate the provision for the old contract.,Eliminate the provision for the new policy.
eliminate,therapy,ARG0,Eliminate therapy to cure the disease.,Eliminate the therapy to prevent the disease from spreading.,Eliminate the therapy to stop the disease from causing harm.,Eliminate the therapy to prevent the disease from getting worse.,Eliminate the therapy to stop the disease from getting better.
eliminate,therapy,ARG1,Eliminate the therapy to cure the disease.,Eliminate the therapy to prevent the disease from spreading.,Eliminate the therapy to stop the disease from causing harm.,Eliminate the therapy to end the suffering of the patient.,Eliminate the therapy to save the patient's life.
embarrass,board,ARG0,The board was embarrassed by the presentation.,The presentation embarrassed the board.,The board was embarrassed by the speaker's mistakes.,The speaker's mistakes embarrassed the board.,The board was embarrassed by the lack of preparation.
embarrass,board,ARG1,The board was embarrassed by the presentation.,The presentation embarrassed the board.,The board was embarrassed by the speaker's mistakes.,The speaker's mistakes embarrassed the board.,The board was embarrassed by the lack of preparation.
embarrass,book-keeping,ARG0,The book-keeping department was embarrassed by the audit results.,The auditors were embarrassed by the book-keeping errors they found.,The company's financial statements were embarrassed by the accounting irregularities.,The accounting department was embarrassed by the audit findings.,The audit team was embarrassed by the book-keeping mistakes they discovered.
embarrass,book-keeping,ARG1,The book-keeping department was embarrassed by the audit results.,The company's financial statements were embarrassed by the audit findings.,The accounting department was embarrassed by the errors in the financial reports.,The auditors were embarrassed by the lack of documentation in the financial records.,The company's financial statements were embarrassed by the inconsistencies in the accounting practices.
