predicate,argument,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
eat,toothpick,I used a toothpick to eat my soup.,The waiter used a toothpick to pick up the crumbs on the table.,The chef used a toothpick to pickle the vegetables.,The dentist used a toothpick to remove the plaque from my teeth.,The toothpick was used to pick the lock on the safe.
eat,knife,I used a knife to eat the pizza.,The knife was used to eat the pizza.,The pizza was eaten with a knife.,The knife was used to cut the pizza.,The pizza was cut with a knife.
eat,pliers,The pliers ate the sandwich.,The sandwich was eaten by the pliers.,The pliers ate the pizza.,The pizza was eaten by the pliers.,The pliers ate the cake.
eat,spoon,I eat the spoon with my hands.,The spoon eats the soup.,The spoon is eaten by the soup.,The spoon eats the soup with my hands.,I eat the soup with the spoon.
eat,cup,I ate the cup with a spoon.,The cup was eaten with a spoon.,The spoon ate the cup.,The cup was eaten with a fork.,The fork ate the cup.
eat,napkin,I used a napkin to eat my soup.,The waiter used a napkin to wipe the table.,The chef used a napkin to clean the cutting board.,The waiter used a napkin to dry the glasses.,The chef used a napkin to wipe the spills.
draw,pen,I drew a picture with my pen.,The artist drew a portrait with a pen.,The pen was used to draw a map.,The pen was used to draw a picture.,The pen was used to draw a line.
draw,marker,The marker drew a line on the paper.,The marker was used to draw a line on the paper.,The line was drawn with the marker.,The marker was used to draw a line.,The line was drawn with the marker on the paper.
draw,paper,I drew a picture on the paper with a pencil.,The artist drew a portrait of the subject on the canvas.,The artist used a brush to draw a landscape on the canvas.,The artist painted a still life on the canvas with a variety of colors.,The artist drew a detailed map of the city on the paper.
draw,stapler,I drew a picture with a stapler.,The stapler drew a picture.,The stapler helped me draw a picture.,I used a stapler to draw a picture.,The stapler was used to draw a picture.
draw,glue,I drew a picture with glue.,The artist drew the portrait with glue.,The child drew a picture of a cat with glue.,The artist drew a landscape with glue.,The artist drew a still life with glue.
draw,crayon,I drew a picture with a crayon.,The crayon was used to draw the picture.,The crayon was the instrument used to draw the picture.,The crayon was the tool used to create the picture.,The crayon was the implement used to produce the picture.
draw,pencil,I drew a picture with a pencil.,The pencil drew a line on the paper.,The pencil was used to draw a picture.,The pencil was used to draw a line on the paper.,The pencil was used to draw a shape on the paper.
hunt,rocks,The hunter used the rocks to hunt the prey.,The rocks helped the hunter to hunt the prey.,The prey was hunted by the hunter using the rocks.,The rocks assisted the hunter in hunting the prey.,The hunter used the rocks to track the prey.
hunt,rifle,The hunter used a rifle to hunt the deer.,The hunter used a rifle to hunt the rabbit.,The hunter used a rifle to hunt the squirrel.,The hunter used a rifle to hunt the bird.,The hunter used a rifle to hunt the fish.
hunt,harpoon,The harpoon hunted the whale.,The whale hunted the harpoon.,The harpoon hunted the seal.,The seal hunted the harpoon.,The harpoon hunted the fish.
hunt,net,The hunter used a net to hunt the fish.,The fisherman used a net to hunt the fish.,The angler used a net to hunt the fish.,The fish hunter used a net to hunt the fish.,The fisherman used a net to catch the fish.
hunt,box,The hunter used a box to hunt the prey.,The box was used by the hunter to hunt the prey.,The prey was hunted by the hunter using a box.,The hunter hunted the prey using a box.,The box was used to hunt the prey by the hunter.
hunt,gun,The hunter used a gun to hunt the deer.,The hunter used a gun to hunt the rabbit.,The hunter used a gun to hunt the fox.,The hunter used a gun to hunt the bear.,The hunter used a gun to hunt the wild boar.
hunt,missile,The hunter used a missile to hunt the deer.,The missile was used by the hunter to hunt the deer.,The deer was hunted by the hunter using a missile.,The hunter hunted the deer using a missile.,The missile was used to hunt the deer by the hunter.
measure,protractor,The protractor measures the angle of the triangle.,The protractor measures the length of the line.,The protractor measures the area of the rectangle.,The protractor measures the volume of the cube.,The protractor measures the height of the building.
measure,string,The string was measured with a ruler.,The string was measured with a tape measure.,The string was measured with a measuring tape.,The string was measured with a measuring rod.,The string was measured with a measuring stick.
measure,scale,The scale measures the weight of the object.,The scale measures the length of the object.,The scale measures the height of the object.,The scale measures the volume of the object.,The scale measures the temperature of the object.
measure,ruler,The ruler was used to measure the length of the table.,The ruler was used to measure the width of the room.,The ruler was used to measure the height of the bookshelf.,The ruler was used to measure the distance between the two points.,The ruler was used to measure the angle between the two lines.
measure,balance,The balance of the scale measures the weight of the objects.,The balance of the scale measures the distance between the two objects.,The balance of the scale measures the angle between the two objects.,The balance of the scale measures the tilt of the objects.,The balance of the scale measures the inclination of the objects.
measure,stick,The stick measures the length of the book.,The book measures the length of the stick.,The stick measures the width of the book.,The book measures the width of the stick.,The stick measures the thickness of the book.
measure,pencil,The pencil measures the paper.,The paper measures the pencil.,The pencil measures the distance.,The distance measures the pencil.,The pencil measures the time.
cure,medicine,The medicine cured the disease.,The medicine was used to cure the disease.,The medicine was used to treat the disease.,The medicine was used to heal the disease.,The medicine was used to alleviate the symptoms of the disease.
cure,herbs,The herbs cured the wound.,The herbs were used to cure the wound.,The herbs were used to treat the wound.,The herbs were used to heal the wound.,The herbs were used to alleviate the pain.
cure,therapy,The therapy cured the patient.,The patient was cured by the therapy.,The therapy was the instrument that cured the patient.,The patient was cured by the therapy as an instrument.,The therapy was the instrument that cured the patient as a result.
cure,kiss,The kiss cured the sickness.,The kiss helped the patient recover.,The kiss was the instrument of the cure.,The kiss was the means by which the patient was cured.,The kiss was the factor that led to the patient's recovery.
cure,acupuncture,Acupuncture cured the patient's headache.,The patient was cured by acupuncture.,Acupuncture was the instrument that cured the patient.,Acupuncture was the means by which the patient was cured.,Acupuncture was the instrument that was used to cure the patient.
cure,food,The cure for hunger is food.,The cure for thirst is water.,The cure for fatigue is rest.,The cure for illness is medicine.,The cure for boredom is entertainment.
cure,sauna,The sauna cured my sore muscles.,The sauna helped me to cure my cold.,The sauna was the instrument that cured my illness.,The sauna was the means by which I cured my ailment.,The sauna was the instrument that helped me to recover from my injury.
float,boat,The boat floated on the water.,The boat floated down the river.,The boat floated across the lake.,The boat floated over the ocean.,The boat floated through the air.
float,raft,The raft floated on the water.,The raft floated down the river.,The raft floated across the lake.,The raft floated over the ocean.,The raft floated through the air.
float,chair,The chair floated on the water.,The chair floated in the air.,The chair floated on the ground.,The chair floated in the sky.,The chair floated in the ocean.
float,wood,The wood float in the water.,The wood float on the surface of the water.,The wood float in the air.,The wood float on the ground.,The wood float in the sky.
float,canoe,The canoe floated on the water.,The canoe floated down the river.,The canoe floated on the lake.,The canoe floated on the ocean.,The canoe floated on the pond.
float,tube,The tube floated in the water.,The tube floated on the surface of the water.,The tube floated in the air.,The tube floated on the ground.,The tube floated in the sky.
float,air,The air floated around the balloon.,The balloon floated in the air.,The air floated over the water.,The water floated under the air.,The air floated around the tree.
hit,fist,The ball was hit with a fist.,The fist hit the ball.,The ball was hit with a fist and it went flying.,The fist hit the ball and it went flying.,The ball was hit with a fist and it went flying through the air.
hit,water,The ball hit the water with a splash.,The water hit the ball with a splash.,The ball hit the water with a splat.,The water hit the ball with a splat.,The ball hit the water with a plop.
hit,bat,The ball was hit by the bat.,The bat hit the ball.,The ball was hit with the bat.,The bat hit the ball with a swing.,The ball was hit by the bat with a powerful swing.
hit,pillow,I hit the pillow with my fist.,The pillow was hit by the ball.,The pillow was hit with a hammer.,I hit the pillow with a hammer.,The pillow was hit by a hammer.
hit,stick,The ball hit the wall with the stick.,The stick hit the ball with a lot of force.,The stick hit the ball with a lot of speed.,The ball hit the stick with a lot of force.,The stick hit the ball with a lot of speed.
hit,hammer,The hammer hit the nail.,The hammer hit the wall.,The hammer hit the ball.,The hammer hit the target.,The hammer hit the enemy.
hit,apple,The ball hit the apple with a loud thud.,The apple was hit by the ball with a satisfying crunch.,"The apple was hit with a hammer, causing it to break apart.","The apple was hit with a stick, causing it to fall to the ground.","The apple was hit with a rock, causing it to bounce off."
hit,towel,The ball hit the towel with a loud thud.,The towel hit the ball with a soft smack.,The towel hit the wall with a dull thud.,The ball hit the towel with a sharp crack.,The towel hit the ground with a soft thud.
revive,slap,The slap revived the patient.,The patient was revived by the slap.,The slap was the instrument that revived the patient.,The patient was revived by the slap as an instrument.,The slap was used as an instrument to revive the patient.
revive,water,The water revived the patient.,The patient was revived by the water.,The water helped to revive the patient.,The patient was revived by the water's effects.,The water's effects revived the patient.
revive,scream,The scream revived the patient.,The scream revived the patient's spirits.,The scream revived the patient's interest in life.,The scream revived the patient's sense of purpose.,The scream revived the patient's hope for the future.
revive,silence,The silence revived the audience's attention.,The revival of the silence was a welcome change.,The silence was revived by the sudden noise.,The silence was revived by the music.,The silence was revived by the applause.
revive,oxygen,The doctor revived the patient with oxygen.,The patient was revived with oxygen by the doctor.,The oxygen revived the patient.,The patient was revived with oxygen.,The oxygen was used to revive the patient.
revive,respirator,The respirator revived the patient.,The patient was revived by the respirator.,The respirator helped revive the patient.,The patient was revived by the respirator's assistance.,The respirator's revival of the patient was crucial.
watch,telescope,I watched the stars through the telescope.,The telescope helped me watch the stars.,The telescope made it easy to watch the stars.,The telescope was used to watch the stars.,The telescope was the instrument used to watch the stars.
watch,mirror,I watched the movie through the mirror.,The mirror reflected the movie on the wall.,The mirror was used to watch the movie.,The mirror was the instrument used to watch the movie.,The mirror was the tool used to watch the movie.
watch,binoculars,I watched the game with my binoculars.,The binoculars helped me watch the game.,I used my binoculars to watch the game.,The binoculars were used to watch the game.,I watched the game with binoculars.
watch,kaleidoscope,Watch the kaleidoscope carefully to see the colors change.,Watch the kaleidoscope to see the colors change.,Watch the kaleidoscope to see the colors.,Watch the kaleidoscope to see the colors.,Watch the kaleidoscope to see the colors.
watch,glasses,I watched the movie through my glasses.,She watched the game with her glasses on.,He watched the sunset through his glasses.,They watched the concert with their glasses on.,We watched the movie through our glasses.
watch,light,I watched the light flicker on the wall.,The light was watched by the cat.,The light was watched by the dog.,The light was watched by the bird.,The light was watched by the fish.
watch,radar,The radar watches the sky for any signs of danger.,The radar watches the plane as it flies through the air.,The radar watches the weather radar as it scans the sky.,The radar watches the traffic as it drives down the road.,The radar watches the news as it reports on the latest events.
dig,shovel,The dog dug a hole with a shovel.,The shovel dug a hole in the ground.,The hole was dug by a shovel.,The shovel was used to dig a hole.,A shovel was used to dig a hole.
dig,fork,The dog used a fork to dig a hole.,The cat used a fork to dig up a bone.,The child used a fork to dig a tunnel.,The farmer used a fork to dig a hole for a well.,The gardener used a fork to dig up weeds.
dig,spoon,I dig with a spoon.,The spoon digs the dirt.,The spoon is used to dig.,The spoon is a tool for digging.,The spoon is used to excavate.
dig,cup,I dig with my cup.,The dog digs with his paw.,The cat digs with her claws.,The baby digs with her hands.,The construction worker digs with his shovel.
dig,hoe,The farmer used a hoe to dig the soil.,The gardener used a hoe to dig up the weeds.,The construction worker used a hoe to dig the foundation.,The archaeologist used a hoe to dig up the artifacts.,The farmer used a hoe to dig a hole for the new well.
dig,pickaxe,The miner used a pickaxe to dig the coal.,The construction worker used a pickaxe to dig the foundation.,The archaeologist used a pickaxe to dig up the artifacts.,The farmer used a pickaxe to dig the soil.,The gardener used a pickaxe to dig the hole for the planting.
dig,spade,The spade dug a hole.,The spade dug a trench.,The spade dug a pit.,The spade dug a well.,The spade dug a tunnel.
stab,scissors,"The scissors stabbed the paper, causing it to tear.","The scissors stabbed the paper, making it rip.","The scissors stabbed the paper, causing it to tear apart.","The scissors stabbed the paper, making it rip apart.","The scissors stabbed the paper, causing it to tear and rip."
stab,fork,"The chef stabbed the chicken with a fork, but it didn't die.","The criminal stabbed the victim with a knife, but they survived.","The doctor stabbed the patient with a needle, but they didn't feel a thing.","The chef stabbed the chicken with a fork, but it didn't bleed.","The criminal stabbed the victim with a knife, but they didn't cry out."
stab,toothpick,"The toothpick stabbed the cake, causing it to crumble.","The toothpick stabbed the cake, making it fall apart.","The toothpick stabbed the cake, causing it to become soggy.","The toothpick stabbed the cake, making it taste terrible.","The toothpick stabbed the cake, causing it to become unappetizing."
stab,knife,The knife stabbed the man in the chest.,The man stabbed the knife into the table.,The knife stabbed the woman in the back.,The woman stabbed the knife at the man.,The man stabbed the knife into the ground.
stab,dagger,"The assassin stabbed the target with a dagger, using it as an instrument of death.",The dagger was used as an instrument of death by the assassin to stab the target.,"The target was stabbed with a dagger by the assassin, who used it as an instrument of death.",The assassin used a dagger as an instrument of death to stab the target.,"The dagger was used as an instrument of death by the assassin to stab the target, who was the target of the attack."
stab,razor,The razor stabbed the man.,The man stabbed the razor.,The razor stabbed itself.,The razor stabbed the razor.,The razor stabbed the razor with the razor.
stab,hatchet,"The hatchet stabbed the tree, causing it to fall.","The hatchet stabbed the man, causing him to bleed.","The hatchet stabbed the woman, causing her to scream.","The hatchet stabbed the child, causing him to cry.","The hatchet stabbed the animal, causing it to die."
stab,nail,The nail stabbed the wall with a loud noise.,The nail stabbed the paper with a sharp point.,The nail stabbed the wound with a deep pain.,The nail stabbed the heart with a heavy blow.,The nail stabbed the soul with a sharp regret.
repair,hammer,The mechanic used a hammer to repair the car's engine.,The car's engine was repaired with a hammer by the mechanic.,The mechanic used a hammer to fix the car's engine.,The car's engine was fixed with a hammer by the mechanic.,The mechanic used a hammer to repair the car's engine problem.
repair,shoe,I will repair the shoe with a hammer.,The mechanic repaired the shoe with a wrench.,The shoe was repaired with a screwdriver.,The repairman fixed the shoe with a drill.,The shoe was repaired with a pliers.
repair,string,The mechanic repaired the string on my bike using a needle and thread.,The carpenter repaired the string on the guitar using a hammer and nails.,The electrician repaired the string on the violin using a soldering iron and wire.,The plumber repaired the string on the piano using a wrench and pipe fittings.,The locksmith repaired the string on the safe using a key and a screwdriver.
repair,elastic,The elastic repair kit is perfect for fixing small tears in my favorite pair of jeans.,"The elastic repair in my socks is holding up well, thanks to the repair kit.","I'm glad I have the elastic repair kit on hand, it's saved me from having to buy new socks so many times.","The elastic repair in my shoelaces is holding up well, thanks to the repair kit.","I'm so glad I have the elastic repair kit, it's saved me from having to buy new shoelaces so many times."
repair,glue,The mechanic used glue to repair the broken engine.,The carpenter used glue to repair the damaged furniture.,The plumber used glue to repair the leaking pipe.,The electrician used glue to repair the frayed wire.,The carpenter used glue to repair the broken window.
repair,saw,The mechanic repaired the saw with a new blade.,The carpenter repaired the saw with a new handle.,The electrician repaired the saw with a new motor.,The plumber repaired the saw with a new hose.,The painter repaired the saw with a new brush.
repair,screwdriver,The screwdriver was used to repair the broken door.,The screwdriver was used to repair the damaged table.,The screwdriver was used to repair the leaky faucet.,The screwdriver was used to repair the loose screw.,The screwdriver was used to repair the broken window.
repair,wrench,The mechanic used a wrench to repair the car's engine.,The car's engine was repaired with a wrench by the mechanic.,The wrench was used to repair the car's engine by the mechanic.,The mechanic repaired the car's engine with a wrench.,The car's engine was repaired by the mechanic using a wrench.
repair,tape,The mechanic repaired the tape on the car with a specialized tool.,The repairman used a tape repair kit to fix the damaged tape on the bicycle.,The tape repairman fixed the broken tape on the skateboard with a new piece.,The tape repair service replaced the damaged tape on the motorcycle with a high-quality replacement.,The tape repair specialist used a specialized tape repair machine to fix the damaged tape on the golf cart.
wrap,bandage,The nurse wrapped the bandage around the patient's arm.,The doctor wrapped the bandage around the wound.,The patient wrapped the bandage around the wound.,The nurse wrapped the bandage around the patient's leg.,The doctor wrapped the bandage around the patient's leg.
wrap,blanket,The blanket wrapped around the cat's neck.,The cat wrapped the blanket around its body.,The blanket wrapped itself around the cat.,The cat wrapped the blanket around its legs.,The blanket wrapped itself around the cat's body.
wrap,tinfoil,The tinfoil wrapped the present.,The present was wrapped in tinfoil.,The tinfoil was used to wrap the present.,The present was wrapped with tinfoil.,The tinfoil was used to wrap the present tightly.
wrap,curtain,The curtain wrapped around the door to keep it closed.,The curtain wrapped itself around the rod to hang.,The curtain wrapped the present in a neat package.,The curtain wrapped the gift in a colorful ribbon.,The curtain wrapped the picture in a protective layer.
wrap,tape,The tape wrapped around the box.,The box was wrapped with tape.,The tape was wrapped around the box.,The box was wrapped by tape.,The tape wrapped the box.
wrap,ribbon,The ribbon wrapped around the gift.,The ribbon wrapped the gift.,The ribbon wrapped itself around the gift.,The ribbon wrapped the gift with itself.,The ribbon wrapped the gift in itself.
wrap,scissors,The scissors wrapped the paper.,The paper was wrapped with scissors.,The scissors wrapped the package.,The package was wrapped with scissors.,The scissors wrapped the gift.
call,radio,Call the radio to report the news.,Call the radio to play the latest song.,Call the radio to request a song.,Call the radio to request a weather report.,Call the radio to request a sports update.
call,megaphone,The teacher called on the student with the megaphone to answer the question.,The police officer called the ambulance with the megaphone to report the accident.,The firefighter called the fire station with the megaphone to report the fire.,The chef called the waiter with the megaphone to order more ingredients.,The manager called the employee with the megaphone to give them a raise.
call,telephone,Call the telephone to make a call.,Call the telephone to receive a call.,Call the telephone to send a message.,Call the telephone to check the number.,Call the telephone to change the settings.
call,can,The phone can be used to call someone.,The can can be used to call someone.,The can can be used to call someone.,The can can be used to call someone.,The can can be used to call someone.
call,voice,The voice on the other end of the line called out to me.,The voice on the phone called my name.,The voice on the radio called out to me.,The voice on the TV called out to me.,The voice on the computer called out to me.
call,paper,The paper called the meeting to order.,The paper was used to write the report.,The paper was torn into pieces.,The paper was folded into a neat square.,The paper was used to make a paperweight.
call,note,Call the note to get a reply.,Call the note to get a response.,Call the note to get a response from the other side.,Call the note to get a response from the other side of the line.,"Call the note to get a response from the other side of the line, and then hang up."
call,computer,Call the computer to come to my office.,Call the computer to help me with my work.,Call the computer to tell me the time.,Call the computer to play a game with me.,Call the computer to show me a video.
attract,beauty,The beauty of the sunset attracted me to the beach.,The beach attracted me because of the beauty of the sunset.,The sunset attracted me to the beach because of its beauty.,The beauty of the sunset was the reason I went to the beach.,I went to the beach because of the beauty of the sunset.
attract,scent,The scent of the perfume attracted me to the store.,The scent of the flowers attracted me to the park.,The scent of the food attracted me to the restaurant.,The scent of the drink attracted me to the bar.,The scent of the music attracted me to the concert.
attract,humour,The humour in the movie attracted me to watch it.,The movie's humour attracted me to watch it.,The humour in the movie was attractive to me.,The movie's humour was attractive to me.,The humour in the movie was attractive.
attract,force,The force of gravity attracts the Earth to the Sun.,The force of magnetism attracts the North Pole to the South Pole.,The force of friction attracts the particles in a solid to the surface.,The force of electricity attracts the positive charges to the negative charges.,The force of gravity attracts the planets to the Sun.
attract,intelligence,The attractive intelligence of the speaker was evident in their words.,The speaker's intelligence was the instrument that attracted the audience's attention.,The speaker's intelligence was the instrument that attracted the attention of the audience.,"The speaker's intelligence was the instrument that attracted the attention of the audience, and it was evident in their words.","The speaker's intelligence was the instrument that attracted the attention of the audience, and it was evident in their words, and it was the reason why the audience was so captivated by their words."
attract,money,The company's new marketing strategy attracted a lot of money to the company.,The new product attracted a lot of money to the company.,The company's new advertising campaign attracted a lot of money to the company.,The company's new partnership attracted a lot of money to the company.,The company's new investment attracted a lot of money to the company.
wash,water,The water washed the dishes.,The dishes were washed with water.,The water was used to wash the dishes.,The dishes were washed with the water.,The water was used to wash the dishes with.
wash,soap,I washed my hands with soap.,The soap washed the dishes.,The soap washed the car.,The soap washed the dog.,The soap washed the cat.
wash,detergent,I used detergent to wash the car.,The detergent washed the car.,The car was washed with detergent.,Detergent was used to wash the car.,The car was washed with detergent.
wash,paper,The paper washed easily in the washing machine.,The paper washed well in the washing machine.,The paper washed cleanly in the washing machine.,The paper washed thoroughly in the washing machine.,The paper washed effectively in the washing machine.
wash,vinegar,Wash the dishes with vinegar as an instrument.,Use vinegar as an instrument to wash the car.,Wash the clothes with vinegar as an instrument.,Wash the face with vinegar as an instrument.,Wash the hands with vinegar as an instrument.
wash,bleach,Wash the dishes with bleach.,Use bleach to wash the car.,Wash the clothes with bleach.,Wash the hands with bleach.,Wash the face with bleach.
time,sundial,The sundial showed the time.,The time was shown by the sundial.,The sundial indicated the time.,The time was indicated by the sundial.,The sundial displayed the time.
