predicate,argument,actual_fit,exp_fit
gamble,binoculars,1.6,0.0
gamble,newspaper,2.8,0.0
gamble,wheel,4.2,0.8
drink,spoon,2.1,0.0
drink,straw,5,0.8
drink,licorice,2.2,0.0
drink,glass,6.8,0.8
drink,cup,6.6,1.0
drink,bottle,6.4,0.8
drink,mug,6.4,0.8
drink,hands,5.2,0.0
slap,hand,6.8,1.0
slap,towel,3,0.75
slap,glove,3.1,0.8
slap,paper,1.4,0.5
slap,stick,1.5,0.8
lock,key,6.7,1.0
lock,deadbolt,6.1,1.0
lock,glue,1.6,0.0
lock,tape,1.6,0.8
lock,rope,2.2,0.8
lock,bar,3.1,1.0
lock,padlock,5.6,1.0
lock,latch,5.3,1.0
sterilize,water,5.3,0.9
sterilize,heat,6.6,1.0
sterilize,air,2.8,0.8
sterilize,alcohol,5.4,0.75
sterilize,pressure,2.9,0.8
sterilize,chemical,5.6,0.8
sterilize,salt,2.5,0.8
sterilize,butter,1,0.0
