predicate,argument,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
drive,field,The driver drove the car through the field.,The car was driven through the field by the driver.,The field was driven through by the car and the driver.,The driver drove the car through the field and the car was driven through the field by the driver.,The field was driven through by the car and the driver and the driver drove the car through the field.
hunt,forest,The hunter hunted in the forest.,The forest was the hunter's hunting ground.,The hunter was hunting in the forest.,The forest was the hunter's hunting location.,The hunter was hunting in the forest for game.
hunt,lake,The hunter hunted in the lake.,The hunter hunted near the lake.,The hunter hunted by the lake.,The hunter hunted around the lake.,The hunter hunted on the lake.
hunt,backyard,The hunter hunted in the backyard.,The hunter hunted in the backyard for hours.,The hunter hunted in the backyard with a dog.,The hunter hunted in the backyard with a rifle.,The hunter hunted in the backyard with a bow and arrow.
hunt,ocean,The ocean hunted the sharks.,The sharks hunted the fish.,The fish hunted the plankton.,The plankton hunted the bacteria.,The bacteria hunted the viruses.
hunt,swamp,The hunter hunted in the swamp.,The swamp was the hunter's hunting ground.,The hunter was hunting in the swamp.,The swamp was the place where the hunter hunted.,The hunter hunted in the swamp for food.
hunt,meadow,I hunt in the meadow.,The hunter hunts in the meadow.,The meadow is where I hunt.,The meadow is where the hunter hunts.,I hunt in the meadow with my dog.
hunt,garden,The hunter hunted in the garden.,The hunter hunted in the garden for hours.,The hunter hunted in the garden with a dog.,The hunter hunted in the garden with a rifle.,The hunter hunted in the garden with a bow and arrow.
browse,store,I browsed through the store to find the perfect gift for my friend.,"The store was crowded, so I had to browse around to find what I was looking for.",I browsed through the store's selection of books to find something interesting to read.,I browsed through the store's selection of electronics to find the best deal on a new TV.,I browsed through the store's selection of clothing to find something that fit me well.
browse,classroom,I browsed through the classroom to find a book on the shelf.,The students browsed through the classroom to find a quiet spot to study.,The teacher browsed through the classroom to find a new lesson plan.,The librarian browsed through the classroom to find a book on a particular topic.,The students browsed through the classroom to find a new book to read.
browse,library,I browsed the library for a new book to read.,The children browsed the library for books on dinosaurs.,The librarian browsed the library for a rare book.,The library browsed the shelves for a new book to add to its collection.,The library browsed the internet for new books to add to its collection.
browse,gallery,I browsed through the gallery to find a new piece to add to my collection.,The gallery was a great place to browse for art.,I browsed through the gallery to see the latest exhibit.,The gallery was a great place to browse for new and exciting art.,I browsed through the gallery to find a piece that would fit perfectly in my living room.
browse,museum,I browsed the museum to learn more about the art on display.,The museum's collection is a great place to browse for art lovers.,I browsed the museum's exhibits to find a specific piece of art.,The museum's browsing room is a great place to relax and enjoy the art.,I browsed the museum's website to learn more about the exhibits and events.
browse,bar,I browsed the bar for a while.,"The bar was crowded, so I had to browse around to find a seat.","I browsed the bar for a drink, but I couldn't find anything I liked.","I browsed the bar for a snack, but I was too full to eat anything.","I browsed the bar for a good time, but it was too loud and crowded."
bury,sandbox,Bury the sandbox in the backyard.,Bury the sandbox in the garden.,Bury the sandbox in the park.,Bury the sandbox in the forest.,Bury the sandbox in the mountains.
bury,concrete,The construction workers buried the concrete foundation deep in the ground.,The archaeologists carefully dug up the buried artifacts.,The construction crew buried the concrete blocks in place.,The excavation team uncovered the buried treasure.,The construction workers buried the concrete slab in the ground.
bury,ground,The ground was burying the treasure.,The treasure was buried in the ground.,The ground was buried by the treasure.,The treasure was buried under the ground.,The ground was buried with the treasure.
bury,cemetery,The body was buried in the cemetery.,The cemetery was the location where the body was buried.,The cemetery was the place where the body was buried.,The body was buried in the cemetery at the specified location.,The cemetery was the location where the body was buried at the specified time.
bury,dump,Bury the dump in the backyard.,Bury the dump in the garden.,Bury the dump in the field.,Bury the dump in the forest.,Bury the dump in the park.
bury,subway,The subway was buried under the snow.,The subway station was buried underground.,The subway line was buried beneath the city.,The subway tunnel was buried beneath the river.,The subway platform was buried beneath the tracks.
mingle,party,The partygoers mingled in the crowded room.,The guests mingled with the hosts at the reception.,The students mingled with their classmates in the common area.,The colleagues mingled in the break room during the workday.,The tourists mingled with the locals in the bustling marketplace.
mingle,mall,The people mingled in the mall.,The mall was filled with people mingling.,The mall was the place where people mingled.,People mingled in the mall all day.,The mall was the scene of much mingling.
mingle,office,The employees mingled in the office.,The office was filled with the sound of mingling.,The office was the site of much mingling.,The office was the place where people mingled.,The office was the location where people mingled.
mingle,bar,The partygoers mingled in the bar.,The bar was the place where the partygoers mingled.,The partygoers mingled in the bar until the early hours of the morning.,The bar was the place where the partygoers mingled until the early hours of the morning.,The partygoers mingled in the bar until they were too drunk to stand.
mingle,graduation,The graduates mingled at the party.,The graduates mingled in the park.,The graduates mingled in the classroom.,The graduates mingled in the library.,The graduates mingled in the cafeteria.
mingle,wedding,The guests mingled at the wedding reception.,The bride and groom mingled with their friends and family.,The wedding guests mingled in the reception hall.,The wedding party mingled with the guests in the reception area.,The wedding reception mingled with the outdoor wedding party.
marry,house,I married my house in the city.,My house was married to me in the countryside.,The house was married to me in the city.,I married my house in the countryside.,The house was married to me in the city.
marry,church,I married my wife in the church.,The couple got married in the church.,The bride and groom exchanged vows in the church.,The wedding ceremony took place in the church.,The church was the location of the wedding.
marry,island,The couple married on the island.,The bride and groom honeymooned on the island.,The newlyweds spent their honeymoon on the island.,The couple's honeymoon was on the island.,The island was the location of the couple's honeymoon.
marry,backyard,The couple married in the backyard.,The bride and groom exchanged vows in the backyard.,The wedding reception was held in the backyard.,The newlyweds spent their honeymoon in the backyard.,The backyard was the perfect setting for their wedding.
marry,prison,Marrying a prisoner in prison is a controversial topic.,The couple's marriage in prison was a beautiful sight to see.,The prison guard was surprised to see the couple getting married.,The couple's marriage in prison was a secret until they were caught.,The couple's marriage in prison was a happy ending to their story.
marry,brewery,The bride and groom married at the brewery.,The couple got married at the brewery.,The bride and groom tied the knot at the brewery.,The brewery was the site of the wedding.,The brewery was the venue for the wedding.
applaud,classroom,The students applauded the teacher's presentation in the classroom.,The audience applauded the performer's performance in the auditorium.,The crowd applauded the athlete's victory in the stadium.,The audience applauded the artist's painting in the gallery.,The students applauded the teacher's lesson in the classroom.
applaud,concert,The audience applauded the concert at the end of the performance.,The concertgoers applauded the musicians after their rendition of the famous piece.,The audience applauded the singer's powerful voice and emotional performance.,The crowd applauded the comedian's witty jokes and hilarious impressions.,The audience applauded the dancer's graceful movements and captivating choreography.
applaud,restaurant,The audience applauded the restaurant for its delicious food.,The restaurant applauded the chef for his exceptional cooking skills.,The chef applauded the restaurant for its cozy atmosphere.,The restaurant applauded the waiter for his friendly service.,The waiter applauded the restaurant for its prompt service.
applaud,playground,The children applauded the playground for its cleanliness.,The parents applauded the playground for its safety features.,The teachers applauded the playground for its educational value.,The community applauded the playground for its inclusive nature.,The city applauded the playground for its commitment to sustainability.
applaud,theater,The audience applauded the theater's performance.,The theater's applause was loud and enthusiastic.,The theater's applause was a sign of appreciation for the actors' efforts.,The theater's applause was a way to show support for the play.,The theater's applause was a way to express gratitude for the entertainment.
applaud,arena,The crowd applauded the performer as they took the stage in the arena.,The audience applauded the athlete as they crossed the finish line in the stadium.,The audience applauded the speaker as they delivered their speech in the auditorium.,The crowd applauded the chef as they presented their dishes in the restaurant.,The audience applauded the musician as they played their instrument in the concert hall.
applaud,stadium,The crowd applauded the performers as they took the stage in the stadium.,The audience applauded the athletes as they crossed the finish line in the stadium.,The band applauded the audience as they sang their hearts out in the stadium.,The crowd applauded the orchestra as they played their best in the stadium.,The audience applauded the speakers as they delivered their speeches in the stadium.
applaud,convention,The audience applauded the convention's closing speech.,The convention's attendees applauded the keynote speaker's presentation.,The convention's organizers applauded the hard work of the volunteers.,The convention's participants applauded the performances of the entertainment acts.,The convention's guests applauded the delicious food and drinks provided by the catering team.
beg,school,I beg my school to give me a break from my homework.,I beg my school to let me take a nap during class.,I beg my school to give me a chance to participate in the debate.,I beg my school to let me use the school's resources to complete my project.,I beg my school to give me a chance to showcase my talent in the school play.
beg,street,The homeless man begged on the street.,The beggar stood on the street corner.,The beggar begged on the sidewalk.,The beggar begged on the street.,The beggar begged on the street for hours.
beg,prison,The prisoner begged the judge for mercy.,The beggar asked the rich man for a handout.,The homeless person begged for a place to sleep.,The refugee begged the government for asylum.,The starving man begged for food.
beg,court,The court begged the judge to grant them a delay.,The judge begged the court to reconsider their decision.,The defendant begged the judge for mercy.,The judge begged the defendant to plead guilty.,The jury begged the judge to find the defendant not guilty.
beg,sidewalk,The man begged on the sidewalk.,The woman begged on the sidewalk.,The child begged on the sidewalk.,The dog begged on the sidewalk.,The cat begged on the sidewalk.
beg,church,The beggar begged at the church door.,The church begged for donations from the beggar.,The beggar begged the church for help.,The church begged the beggar to leave.,The beggar begged the church to forgive him.
beg,casino,I beg to be excused from the casino.,I beg to be allowed to play at the casino.,I beg to be given a chance to play at the casino.,I beg to be permitted to play at the casino.,I beg to be allowed to gamble at the casino.
testify,office,The witness testified in the office.,The witness testified in the office about the crime.,The witness testified in the office about the evidence.,The witness testified in the office about the suspect.,The witness testified in the office about the motive.
testify,courtroom,The witness testified in the courtroom.,The defendant testified in the courtroom.,The judge testified in the courtroom.,The prosecutor testified in the courtroom.,The defense attorney testified in the courtroom.
testify,police station,The witness testified at the police station.,The police station testified to the witness's statement.,The witness testified in the police station.,The police station testified against the witness.,The witness testified in the police station to the police officer.
testify,classroom,The teacher testified in the classroom about the student's behavior.,The witness testified in the courtroom about the crime.,The expert testified in the deposition about the product's quality.,The witness testified in the trial about the defendant's guilt.,The expert testified in the hearing about the company's financial records.
testify,planetarium,The planetarium testified to the location of the meteor shower.,The meteor shower testified to the location of the planetarium.,The planetarium testified to the location of the meteor shower's origin.,The meteor shower's origin testified to the location of the planetarium.,The location of the meteor shower testified to the planetarium.
testify,store,The store testified that it was the location where the theft occurred.,The store testified that it was the location where the theft was committed.,The store testified that it was the location where the theft was discovered.,The store testified that it was the location where the theft was reported.,The store testified that it was the location where the theft was suspected.
testify,jail,The witness testified that he was in jail at the time of the crime.,The suspect testified that he was not in jail at the time of the crime.,The prosecution testified that the defendant was in jail at the time of the crime.,The defense testified that the defendant was not in jail at the time of the crime.,The judge testified that the defendant was in jail at the time of the crime.
wait,hospital,The patient waited in the hospital for the doctor to arrive.,The doctor waited in the hospital for the patient to arrive.,The nurse waited in the hospital for the doctor to arrive.,The patient waited in the hospital for the nurse to arrive.,The doctor waited in the hospital for the nurse to arrive.
wait,restaurant,I'm waiting for my food at the restaurant.,The restaurant is waiting for me to arrive.,The waiter is waiting for the chef to finish cooking.,The restaurant is waiting for the bus to arrive.,The bus is waiting for the restaurant to open.
wait,office,The office is waiting for the client to arrive.,The client is waiting for the office to arrive.,The office is waiting for the client to arrive at the meeting.,The client is waiting for the office to arrive at the meeting.,The office is waiting for the client to arrive at the meeting on time.
wait,school,The school waited for the bus.,The bus waited for the school.,The school waited for the bus to arrive.,The bus waited for the school to arrive.,The school waited for the bus to leave.
wait,lineup,The lineup waited in the parking lot.,The lineup waited outside the entrance.,The lineup waited in the lobby.,The lineup waited in the hallway.,The lineup waited in the conference room.
wait,bedroom,I waited in the bedroom for my wife to come home.,The wait in the bedroom was unbearable.,The wait in the bedroom was long.,The wait in the bedroom was tense.,The wait in the bedroom was excruciating.
swim,bathtub,The bathtub was filled with water and I swam in it.,"I swam in the bathtub for a long time, enjoying the warm water.",The bathtub was my favorite place to swim when I was a child.,"I swam in the bathtub with my siblings, playing games and splashing water.",The bathtub was a great place to swim after a long day at work.
swim,lake,The lake was so deep that I couldn't swim in it.,The lake was so wide that I couldn't swim across it.,The lake was so cold that I couldn't swim in it.,The lake was so murky that I couldn't see the bottom.,The lake was so full of fish that I couldn't swim in it.
swim,pool,The pool was a great place to swim.,The pool was a popular spot for swimming.,The pool was a great place to cool off.,The pool was a great place to relax.,The pool was a great place to have a swim.
swim,puddle,The puddle swims in the water.,The water swims over the puddle.,The puddle swims in the sun.,The sun swims over the puddle.,The puddle swims in the rain.
swim,ocean,The ocean swims with the waves.,The waves swim with the ocean.,The ocean swims with the tides.,The tides swim with the ocean.,The ocean swims with the currents.
swim,beach,The beach was a great place to swim.,The swimming pool was a popular spot for swimming.,The swimming race was a thrilling event.,The swimming instructor taught the swimmers how to swim.,The swimming pool was a great place to cool off on a hot day.
swim,desert,The desert swims in the sun.,The sun swims in the desert.,The desert swims in the water.,The water swims in the desert.,The desert swims in the air.
swim,swamp,The swamp was a great place to swim.,The swamp was a popular spot for swimming.,The swamp was a great place to cool off.,The swamp was a great place to relax.,The swamp was a great place to have a picnic.
swim,creek,The creek was swimming with fish.,The creek was swimming with water.,The creek was swimming with a current.,The creek was swimming with a breeze.,The creek was swimming with a boat.
pray,temple,I prayed at the temple.,The temple was the location where I prayed.,I prayed in the temple.,The temple was the place where I prayed.,I prayed in the temple's courtyard.
pray,church,I prayed at the church.,The church was the location where I prayed.,I prayed in the church.,The church was the place where I prayed.,I prayed in the church's sanctuary.
pray,casino,I prayed at the casino.,The casino was the location where I prayed.,I prayed in the casino.,The casino was the place where I prayed.,I prayed at the casino's entrance.
pray,school,I prayed at school.,I prayed in the school.,I prayed at the school.,I prayed in the school's courtyard.,I prayed in the school's chapel.
pray,cemetery,I prayed at the cemetery.,The cemetery was the place where I prayed.,I prayed at the cemetery for my loved ones.,I prayed at the cemetery for peace and solace.,I prayed at the cemetery for guidance and wisdom.
pray,kitchen,I pray in the kitchen.,I pray in the kitchen for guidance.,I pray in the kitchen for strength.,I pray in the kitchen for wisdom.,I pray in the kitchen for peace.
pray,theatre,I prayed at the theatre.,The theatre prayed for me.,The theatre prayed for its audience.,The theatre prayed for its staff.,The theatre prayed for its patrons.
confess,church,The priest confessed to the church about his sins.,The bishop confessed to the church about the scandal.,The pastor confessed to the church about his doubts.,The deacon confessed to the church about his mistakes.,The layperson confessed to the church about their struggles.
confess,school,I confessed to my school that I cheated on the test.,The school confessed to the police that they had a leak in the roof.,The school confessed to the students that they had to close the school for a day.,The school confessed to the principal that they had a problem with the budget.,The school confessed to the teacher that they had a problem with the curriculum.
confess,court,The defendant confessed to the crime in court.,The suspect confessed to the crime in the police station.,The witness confessed to the crime in the courtroom.,The victim confessed to the crime in the hospital.,The perpetrator confessed to the crime in the prison.
confess,office,The suspect confessed to the crime in the office.,"The suspect confessed to the crime in the office, revealing the details of the plot.","The suspect confessed to the crime in the office, providing a detailed account of the events.","The suspect confessed to the crime in the office, admitting to the involvement of others.","The suspect confessed to the crime in the office, revealing the motive behind the crime."
confess,studio,I confessed to the studio that I had been cheating on my girlfriend.,The studio confessed to the police that they had been involved in a cover-up.,"The suspect confessed to the crime, but refused to reveal the identity of the accomplice.",The witness confessed to the police that she had seen the suspect at the scene of the crime.,The company confessed to the media that they had been hiding the truth about their financial situation.
confess,hearing,He confessed to hearing the noise.,He confessed to hearing the noise from the living room.,He confessed to hearing the noise from the living room window.,He confessed to hearing the noise from the living room window while he was in the kitchen.,"He confessed to hearing the noise from the living room window while he was in the kitchen, but he didn't know what it was."
confess,jail,"I confessed to the police that I had stolen the money from the bank, and they took me to jail.",The suspect confessed to the crime and was sent to jail.,The defendant confessed to the judge and was sentenced to jail.,The criminal confessed to the crime and was sent to jail.,The suspect confessed to the police and was taken to jail.
sleep,bathtub,I slept in the bathtub last night.,The bathtub was my sleeping place.,I slept in the bathtub for hours.,The bathtub was my cozy sleeping spot.,I slept in the bathtub until I was exhausted.
sleep,tent,The tent slept in the forest.,The forest slept with the tent.,The tent slept under the tree.,The tree slept with the tent.,The tent slept near the river.
sleep,bedroom,I slept in my bedroom last night.,The cat slept on the bedroom floor.,The dog slept in the bedroom with me.,The baby slept in the bedroom with her stuffed animal.,The sleeping cat was in the bedroom.
sleep,hotel,I slept at the hotel last night.,The hotel was my sleeping place.,I slept in the hotel's room.,The hotel was my sleeping location.,I slept in the hotel's bed.
sleep,chair,I sleep on the chair.,The chair sleeps on the floor.,The chair sleeps in the bed.,The chair sleeps in the living room.,The chair sleeps in the kitchen.
sleep,car,The car slept in the garage.,The car slept on the bed.,The car slept in the living room.,The car slept in the kitchen.,The car slept in the bathroom.
sleep,trailer,The trailer slept in the backyard.,The trailer slept in the garage.,The trailer slept in the living room.,The trailer slept in the bedroom.,The trailer slept in the kitchen.
sleep,concert,I went to sleep at the concert hall.,The concert was so loud that I couldn't sleep.,I slept through the entire concert.,I slept through the entire concert and woke up feeling refreshed.,I slept through the entire concert and woke up feeling exhausted.
wash,lake,Wash the dishes in the lake.,Wash the car in the lake.,Wash the clothes in the lake.,Wash the dog in the lake.,Wash the cat in the lake.
wash,bathroom,Wash the bathroom.,Wash the bathroom floor.,Wash the bathroom sink.,Wash the bathroom toilet.,Wash the bathroom mirror.
wash,laundromat,I went to the laundromat to wash my clothes.,The laundromat wash my clothes for me.,I washed my clothes at the laundromat.,The laundromat washed my clothes.,I washed my clothes at the laundromat.
wash,puddle,The puddle washed away.,The puddle washed off the ground.,The puddle washed the dirt away.,The puddle washed the mud off.,The puddle washed the water away.
wash,pool,Wash the pool,Wash the pool with soap,Wash the pool with water,Wash the pool with a hose,Wash the pool with a sponge
wash,factory,The factory washed the clothes.,The clothes washed in the factory.,The factory washed the clothes in the river.,The clothes washed in the factory by the river.,The factory washed the clothes in the river by the wind.
wash,hospital,The hospital washed the patient's wounds.,The patient washed the hospital's floors.,The hospital washed the patient's clothes.,The patient washed the hospital's windows.,The hospital washed the patient's hair.
run,house,The dog ran around the house.,The cat ran through the house.,The rabbit ran in the house.,The horse ran over the house.,The elephant ran under the house.
run,track,The runner ran on the track.,The track runner ran.,The runner ran on the track.,The track runner ran.,The runner ran on the track.
run,treadmill,I ran on the treadmill for 30 minutes.,The treadmill ran under my feet as I jogged.,The treadmill was my location as I ran.,I ran on the treadmill to get in shape.,The treadmill was my destination as I ran.
run,gymnasium,I ran to the gymnasium to exercise.,The gymnasium was my destination when I ran.,I ran to the gymnasium to play basketball.,The gymnasium was my starting point when I ran.,I ran to the gymnasium to get a drink of water.
run,sidewalk,The runner ran on the sidewalk.,The sidewalk was the location where the runner ran.,The runner ran on the sidewalk at night.,The sidewalk was the location where the runner ran at night.,The runner ran on the sidewalk in the rain.
run,road,The dog ran down the road.,The runner ran down the road.,The car ran down the road.,The horse ran down the road.,The person ran down the road.
run,restaurant,I ran to the restaurant to grab a bite to eat.,The restaurant was a great place to run errands.,I ran to the restaurant to pick up my order.,The restaurant was a popular spot to run into friends.,I ran to the restaurant to grab a drink before the show.
fish,ocean,The fish swam in the ocean.,The ocean was home to many fish.,The fish were found in the ocean.,The ocean was a habitat for fish.,The fish were abundant in the ocean.
fish,lake,The fish swam in the lake.,The lake was home to many fish.,The fish were caught in the lake.,The lake was a popular spot for fishing.,The lake was a haven for fish.
fish,pool,The fish swam in the pool.,The pool was filled with fish.,The fish were swimming in the pool.,The pool was a habitat for fish.,The fish were living in the pool.
fish,puddle,The fish swam in the puddle.,The puddle was home to many fish.,The fish were attracted to the puddle.,The puddle was a haven for fish.,The fish were found in the puddle.
fish,pond,The fish swam in the pond.,The pond was home to many fish.,The fish were swimming in the pond.,The pond was a habitat for fish.,The fish were found in the pond.
fish,river,The fish swam in the river.,The river was home to many fish.,The fish were caught in the river.,The river was a popular spot for fishing.,The fish were a vital part of the river's ecosystem.
fish,swamp,The fish swam in the swamp.,The swamp was home to many fish.,The fish were found in the swamp.,The swamp was a haven for fish.,The fish were abundant in the swamp.
weigh,supermarket,The supermarket weighs 1000 kg.,The supermarket weighs 1000 pounds.,The supermarket weighs 1000 tons.,The supermarket weighs 1000 metric tons.,The supermarket weighs 1000 kilograms.
weigh,bathroom,The bathroom weighs 100 pounds.,The bathroom weighs 200 pounds.,The bathroom weighs 300 pounds.,The bathroom weighs 400 pounds.,The bathroom weighs 500 pounds.
weigh,gymnasium,The gymnasium weighs 1000 kg.,The gymnasium weighs 1000 pounds.,The gymnasium weighs 1000 kilograms.,The gymnasium weighs 1000 metric tons.,The gymnasium weighs 1000 tons.
weigh,hospital,The hospital weighs 100 tons.,The hospital weighs 100 pounds.,The hospital weighs 100 kilograms.,The hospital weighs 100 metric tons.,The hospital weighs 100 tons of gold.
weigh,restaurant,The restaurant weighs 100 pounds.,The restaurant weighs 100 kilograms.,The restaurant weighs 100 tons.,The restaurant weighs 100 metric tons.,The restaurant weighs 100 pounds of food.
weigh,sauna,The sauna weighs heavily on my shoulders.,The sauna weighs a ton.,The sauna is a heavy burden.,The sauna is a weighty issue.,The sauna is a heavy responsibility.
weigh,bar,The bar weighs 100 pounds.,The bar weighs 100 pounds on the scale.,The bar weighs 100 pounds on the scale in the kitchen.,The bar weighs 100 pounds on the scale in the kitchen on the table.,The bar weighs 100 pounds on the scale in the kitchen on the table in the living room.
weigh,classroom,The classroom weighed heavily on my shoulders.,The classroom was a heavy burden for me to carry.,The classroom was a weight on my mind.,The classroom was a heavy responsibility for me.,The classroom was a heavy load for me to bear.
weigh,delicatessen,The delicatessen weighed heavily on my mind.,The delicatessen weighed heavily on my plate.,The delicatessen weighed heavily on my stomach.,The delicatessen weighed heavily on my heart.,The delicatessen weighed heavily on my soul.
rescue,lake,The rescue team rescued the stranded hikers from the lake.,The rescue team rescued the lost dog from the lake.,The rescue team rescued the drowning swimmer from the lake.,The rescue team rescued the stranded sailboat from the lake.,The rescue team rescued the stranded ship from the lake.
rescue,tree,The firefighters rescued the tree from the burning building.,The tree was rescued from the flood by the rescue team.,The tree was rescued from the forest fire by the wildlife rescue service.,The tree was rescued from the drought by the conservationists.,The tree was rescued from the storm by the emergency services.
