predicate,argument,role_type,reasons 1,reasons 2,reasons 3
accept,student,ARG0,The ARG0 role for the predicate 'accept' should have the properties of being the subject of the sentence and the person or entity that is accepting something.,"The argument 'student' has the properties of being the person or entity that is accepting something, as it is the subject of the sentence.",The argument 'student' fits the ARG0 role for the predicate 'accept' because it is the person or entity that is accepting something.
accept,student,ARG1,The ARG1 role for the predicate 'accept' should have the properties of being the person or entity that is accepting something.,The argument 'student' has the property of being the person or entity that is being accepted.,The argument 'student' fits the ARG1 role for the predicate 'accept' because it is the person or entity that is being accepted.
accept,teenager,ARG0,The ARG0 role for the predicate 'accept' should have the properties of being the subject of the sentence and the person or entity that is accepting something.,"The argument 'teenager' has the properties of being a young person, typically between the ages of 13 and 19, and being a human being.","The argument 'teenager' will fit the ARG0 role for the predicate 'accept' because it is a young person who is capable of accepting something, such as a job offer or a gift."
accept,teenager,ARG1,The ARG1 role for the predicate 'accept' should have the properties of being the person or entity that is accepting something.,"The argument 'teenager' has the property of being a young person, typically between the ages of 13 and 19.","The argument 'teenager' will fit the ARG1 role for the predicate 'accept' because the ARG1 role requires a person or entity that is accepting something. In this case, the teenager is accepting something, such as a job offer or a request, and is therefore a suitable candidate for the ARG1 role."
accuse,criminal,ARG0,The ARG0 role for the predicate 'accuse' should have the properties of being the person or entity that is accused.,The argument 'criminal' has the property of being the person or entity that is accused in the predicate 'accuse'.,The argument 'criminal' fits the ARG0 role for the predicate 'accuse' because it is the person or entity that is accused in the predicate.
accuse,criminal,ARG1,The ARG1 role should have the property of being the person or entity that is accused.,The argument 'criminal' has the property of being the person or entity that is accused in the predicate 'accuse'.,The argument 'criminal' fits the ARG1 role for the predicate 'accuse' because it is the person or entity that is accused in the predicate.
accuse,defendant,ARG0,The ARG0 role for the predicate 'accuse' should have the properties of being the person or entity that is accused.,The argument 'defendant' has the property of being the person or entity that is accused in the predicate 'accuse'.,The argument 'defendant' fits the ARG0 role for the predicate 'accuse' because it is the person or entity that is accused in the predicate.
accuse,defendant,ARG1,The ARG1 role should have the property of being the person or entity that is accused.,The argument 'defendant' has the property of being the person or entity that is accused in the predicate 'accuse'.,The argument 'defendant' fits the ARG1 role for the predicate 'accuse' because it is the person or entity that is accused in the predicate.
accuse,dog,ARG0,The ARG0 role for the predicate 'accuse' should have the properties of being the person or entity that is accused.,"The argument 'dog' has the property of being a noun, which is relevant for the predicate 'accuse'.",The argument 'dog' will fit the ARG0 role for the predicate 'accuse' because it is the noun that is being accused.
accuse,dog,ARG1,The ARG1 role should have the property of being the person or entity that is accused.,"The argument 'dog' has the property of being a noun, which is relevant for the predicate 'accuse' because it is the entity that is being accused.",The argument 'dog' fits the ARG1 role for the predicate 'accuse' because it is the entity that is being accused.
accuse,prosecutor,ARG0,The ARG0 role for the predicate 'accuse' should have the properties of being the person or entity that is accused.,The argument 'prosecutor' has the property of being the person or entity that is accusing someone of a crime.,The argument 'prosecutor' fits the ARG0 role for the predicate 'accuse' because it is the person or entity that is accusing someone of a crime.
accuse,prosecutor,ARG1,The ARG1 role should have the property of being the person or entity that is accused.,The argument 'prosecutor' has the property of being the person or entity that is accusing someone of a crime.,The argument 'prosecutor' fits the ARG1 role for the predicate 'accuse' because it is the person or entity that is accusing someone of a crime.
accuse,suspect,ARG0,The ARG0 role for the predicate 'accuse' should have the properties of being the person or entity that is accused.,The argument 'suspect' has the property of being the person or entity that is accused in the predicate 'accuse'.,The argument 'suspect' fits the ARG0 role for the predicate 'accuse' because it is the person or entity that is accused in the predicate.
accuse,suspect,ARG1,The ARG1 role should have the property of being the person or entity that is accused.,The argument 'suspect' has the property of being the person or entity that is accused.,The argument 'suspect' fits the ARG1 role for the predicate 'accuse' because it is the person or entity that is accused.
accuse,witness,ARG0,The ARG0 role for the predicate 'accuse' should have the properties of being the person or entity that is accused.,The argument 'witness' has the property of being a person or entity that provides evidence or testimony in support of the accusation.,The argument 'witness' fits the ARG0 role for the predicate 'accuse' because it provides evidence or testimony in support of the accusation.
accuse,witness,ARG1,The ARG1 role should have the property of being the person or entity that is accused.,The argument 'witness' has the property of being a person or entity that provides evidence or testimony in support of the accusation.,The argument 'witness' fits the ARG1 role for the predicate 'accuse' because it provides evidence or testimony in support of the accusation.
admire,actress,ARG0,The ARG0 role for the predicate 'admire' should have the properties of being the subject of the sentence and the person or thing that is admired.,"The argument 'actress' has the properties of being a noun, a person, and a female.","The argument 'actress' fits the ARG0 role for the predicate 'admire' because it is a noun that refers to a person, and it is a female."
admire,actress,ARG1,The ARG1 role for the predicate 'admire' should have the properties of being the person or thing that is admired.,The argument 'actress' has the property of being a person who is admired for their acting skills.,The argument 'actress' fits the ARG1 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,athlete,ARG0,The ARG0 role for the predicate 'admire' should have the properties of being the subject of the sentence and the person or thing that is admired.,The argument 'athlete' has the properties of being the object of the sentence and the person or thing that is admired.,The argument 'athlete' fits the ARG0 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,athlete,ARG1,The ARG1 role for the predicate 'admire' should have the properties of being the person or thing that is admired.,The argument 'athlete' has the property of being a person or thing that is admired.,The argument 'athlete' fits the ARG1 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,disciple,ARG0,The ARG0 role for the predicate 'admire' should have the properties of being the subject of the sentence and the person or thing that is admired.,The argument 'disciple' has the properties of being the object of the sentence and the person or thing that is admired.,The argument 'disciple' fits the ARG0 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,disciple,ARG1,The ARG1 role for the predicate 'admire' should have the properties of being the person or thing that is admired.,The argument 'disciple' has the property of being a person who is admired.,The argument 'disciple' fits the ARG1 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,fan,ARG0,The ARG0 role for the predicate 'admire' should have the properties of being the subject of the sentence and the person or thing that is admired.,The argument 'fan' has the property of being a person or thing that is admired.,The argument 'fan' fits the ARG0 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,fan,ARG1,The ARG1 role for the predicate 'admire' should have the properties of being the person or thing that is admired.,The argument 'fan' has the property of being a person or thing that is admired.,The argument 'fan' fits the ARG1 role for the predicate 'admire' because it is the person or thing that is being admired.
admire,groupie,ARG0,The ARG0 role for the predicate 'admire' should have the properties of being the subject of the sentence and the person or thing that is admired.,"The argument 'groupie' has the property of being a noun, and it is a type of person who admires or is obsessed with a particular group or band.",The argument 'groupie' fits the ARG0 role for the predicate 'admire' because it is a noun that refers to a person who admires or is obsessed with a particular group or band.
admire,groupie,ARG1,The ARG1 role for the predicate 'admire' should have the properties of being the person or thing that is admired.,"The argument 'groupie' has the property of being a fan or admirer of something, which is relevant to the semantic role of ARG1 in the predicate 'admire'.",The argument 'groupie' fits the ARG1 role for the predicate 'admire' because it is a noun that refers to a person who is a fan or admirer of something.
adopt,baby,ARG0,"The ARG0 role for the predicate 'adopt' should have the properties of being the agent of the action, performing the action, and being the one who is responsible for the action.","The argument 'baby' has the properties of being the patient of the action, receiving the action, and being the one who is affected by the action.","The argument 'baby' will not fit the ARG0 role for the predicate 'adopt' because the ARG0 role is typically associated with the agent of the action, and the action of 'adopt' is typically associated with the act of taking care of or nurturing a child, rather than the child itself."
adopt,baby,ARG1,The ARG1 role for the predicate 'adopt' should have the properties of being the person or entity that is adopting the child.,The argument 'baby' has the property of being the child that is being adopted.,The argument 'baby' fits the ARG1 role for the predicate 'adopt' because it is the child that is being adopted.
adopt,child,ARG0,"The ARG0 role for the predicate 'adopt' should have the properties of being the agent of the action, performing the action, and being the one who is responsible for the action.","The argument 'child' has the properties of being the patient of the action, receiving the action, and being the one who is affected by the action.","The argument 'child' will not fit the ARG0 role for the predicate 'adopt' because the ARG0 role is typically associated with the agent of the action, and the child is not the agent of the action of being adopted."
adopt,child,ARG1,The ARG1 role for the predicate 'adopt' should have the properties of being the person or entity that is adopting the child.,The argument 'child' has the properties of being the person or entity that is being adopted.,The argument 'child' fits the ARG1 role for the predicate 'adopt' because it is the person or entity that is being adopted.
adopt,committee,ARG0,"The ARG0 role for the predicate 'adopt' should have the properties of being the agent of the action, performing the action, and being the one who is responsible for the action.","The argument 'committee' has the property of being the recipient of the action, as it is the entity that is being adopted by the agent.",The argument 'committee' will fit the ARG0 role for the predicate 'adopt' because it is the entity that is being adopted by the agent.
adopt,committee,ARG1,The ARG1 role for the predicate 'adopt' should have the properties of being the person or entity that is adopting the child.,The argument 'committee' has the property of being a group of people or entities that are responsible for making decisions or taking actions on behalf of a larger group or organization.,"The argument 'committee' will not fit the ARG1 role for the predicate 'adopt' because the ARG1 role requires a person or entity that is taking the action of adopting, while the argument 'committee' is a group of people or entities that are responsible for making decisions or taking actions on behalf of a larger group or organization."
adopt,couple,ARG0,"The ARG0 role for the predicate 'adopt' should have the properties of being the agent of the action, performing the action, and being the one who is responsible for the action.","The argument 'couple' has the properties of being the agent of the action, performing the action, and being the one who is responsible for the action.","The argument 'couple' will fit the ARG0 role for the predicate 'adopt' because it is the agent of the action, performing the action, and being the one who is responsible for the action."
adopt,couple,ARG1,The ARG1 role for the predicate 'adopt' should have the properties of being the person or entity that is adopting the child.,The argument 'couple' has the property of being a group of two people who are adopting a child together.,The argument 'couple' fits the ARG1 role for the predicate 'adopt' because it is the group of two people who are adopting the child together.
adopt,policy,ARG0,"The ARG0 role for the predicate 'adopt' should have the properties of being the agent of the action, performing the action, and being the one who is responsible for the action.","The argument 'policy' has the property of being the object of the action, which is the policy that is being adopted.","The argument 'policy' fits the ARG0 role for the predicate 'adopt' because it is the policy that is being adopted, and the subject of the action is the one who is adopting the policy. Therefore, the argument 'policy' is the object of the action, and the ARG0 role is the role of the subject of the action."
adopt,policy,ARG1,The ARG1 role for the predicate 'adopt' should have the properties of being the person or entity that is adopting the child.,The argument 'policy' does not have any relevant properties for the predicate 'adopt'.,"The argument 'policy' does not fit the ARG1 role for the predicate 'adopt' because the ARG1 role is typically used to refer to the person or entity that is being adopted, while the argument 'policy' refers to a set of rules or guidelines that are being followed."
applaud,actress,ARG0,"The ARG0 role for the predicate 'applaud' should have the properties of being the agent performing the action, and the argument should be the entity being applauded.","The argument 'actress' has the properties of being a person, a performer, and a recipient of applause.",The argument 'actress' fits the ARG0 role for the predicate 'applaud' because it is the person who is being applauded.
applaud,actress,ARG1,The ARG1 role for the predicate 'applaud' should have the properties of being the person or entity that is being applauded.,The argument 'actress' has the property of being a person who is being applauded.,The argument 'actress' fits the ARG1 role for the predicate 'applaud' because it is the person or entity that is being applauded.
applaud,critic,ARG0,"The ARG0 role for the predicate 'applaud' should have the properties of being the agent performing the action, and the argument should be the entity being applauded.",The argument 'critic' has the property of being the entity being applauded.,The argument 'critic' fits the ARG0 role for the predicate 'applaud' because it is the entity being applauded.
applaud,critic,ARG1,The ARG1 role for the predicate 'applaud' should have the properties of being the person or entity that is being applauded.,The argument 'critic' has the property of being a person or entity that is being applauded.,Yes
applaud,director,ARG0,"The ARG0 role for the predicate 'applaud' should have the properties of being the agent performing the action, and the argument should be the entity being applauded.","The argument 'director' has the properties of being the entity being applauded, and the entity being applauded is the agent performing the action.","The argument 'director' fits the ARG0 role for the predicate 'applaud' because it is the entity being applauded, and the entity being applauded is the agent performing the action."
applaud,director,ARG1,The ARG1 role for the predicate 'applaud' should have the properties of being the person or entity that is being applauded.,The argument 'director' has the property of being the person or entity that is being applauded.,Yes
applaud,musician,ARG0,"The ARG0 role for the predicate 'applaud' should have the properties of being the agent performing the action, and the argument should be the entity being applauded.",The argument 'musician' has the property of being the entity being applauded.,The argument 'musician' fits the ARG0 role for the predicate 'applaud' because it is the entity being applauded.
applaud,musician,ARG1,The ARG1 role for the predicate 'applaud' should have the properties of being the person or entity that is being applauded.,The argument 'musician' has the property of being the person or entity that is being applauded.,"Yes, the argument 'musician' fits the ARG1 role for the predicate 'applaud'."
applaud,performance,ARG0,"The ARG0 role for the predicate 'applaud' should have the properties of being the agent performing the action, and the argument should be the entity being applauded.","The argument 'performance' has the properties of being the patient of the action, and the entity being applauded.",The argument 'performance' fits the ARG0 role for the predicate 'applaud' because it is the entity being applauded.
applaud,performance,ARG1,The ARG1 role for the predicate 'applaud' should have the properties of being the person or entity that is being applauded.,The argument 'performance' has the property of being the object of the action being applauded.,The argument 'performance' fits the ARG1 role for the predicate 'applaud' because it is the object of the action being applauded.
approve,candidate,ARG0,The ARG0 role for the predicate 'approve' should have the properties of being the subject of the sentence and the entity that is being approved.,The argument 'candidate' has the properties of being the object of the predicate 'approve' and the entity that is being approved.,The argument 'candidate' fits the ARG0 role for the predicate 'approve' because it is the entity that is being approved.
approve,candidate,ARG1,"The ARG1 role for the predicate 'approve' should have the properties of being the person or entity that is being approved, and the argument should be the thing or action that is being approved.",The argument 'candidate' has the property of being the person or entity that is being approved.,The argument 'candidate' fits the ARG1 role for the predicate 'approve' because it is the person or entity that is being approved.
approve,committee,ARG0,The ARG0 role for the predicate 'approve' should have the properties of being the subject of the sentence and the entity that is being approved.,The argument 'committee' has the properties of being the object of the sentence and the entity that is being approved.,The argument 'committee' fits the ARG0 role for the predicate 'approve' because it is the entity that is being approved by the approval process.
approve,committee,ARG1,"The ARG1 role for the predicate 'approve' should have the properties of being the person or entity that is being approved, and the argument should be the thing or action that is being approved.",The argument 'committee' has the property of being a group of people or entities that are involved in a decision-making process.,The argument 'committee' fits the ARG1 role for the predicate 'approve' because it is the group of people or entities that are involved in the decision-making process and are being approved by the speaker or writer.
approve,contractor,ARG0,The ARG0 role for the predicate 'approve' should have the properties of being the subject of the sentence and the entity that is being approved.,The argument 'contractor' has the properties of being the object of the sentence and the entity that is being approved.,The argument 'contractor' will fit the ARG0 role for the predicate 'approve' because it is the entity that is being approved.
approve,contractor,ARG1,"The ARG1 role for the predicate 'approve' should have the properties of being the person or entity that is being approved, and the argument should be the thing or action that is being approved.",The argument 'contractor' has the property of being the entity that is being approved.,The argument 'contractor' fits the ARG1 role for the predicate 'approve' because it is the entity that is being approved.
approve,plan,ARG0,The ARG0 role for the predicate 'approve' should have the properties of being the subject of the sentence and the entity that is being approved.,The argument 'plan' has the properties of being the object of the sentence and the entity that is being approved.,The argument 'plan' fits the ARG0 role for the predicate 'approve' because it is the entity that is being approved.
approve,plan,ARG1,"The ARG1 role for the predicate 'approve' should have the properties of being the person or entity that is being approved, and the argument should be the thing or action that is being approved.",The argument 'plan' has the property of being the thing or action that is being approved.,The argument 'plan' fits the ARG1 role for the predicate 'approve' because it is the thing or action that is being approved.
approve,policy,ARG0,The ARG0 role for the predicate 'approve' should have the properties of being the subject of the sentence and the entity that is being approved.,The argument 'policy' has the properties of being the object of the sentence and the entity that is being approved.,The argument 'policy' fits the ARG0 role for the predicate 'approve' because it is the entity that is being approved.
approve,policy,ARG1,"The ARG1 role for the predicate 'approve' should have the properties of being the person or entity that is being approved, and the argument should be the thing or action that is being approved.",The argument 'policy' has the property of being a proposal or plan that is being approved.,The argument 'policy' fits the ARG1 role for the predicate 'approve' because it is the proposal or plan that is being approved.
arrest,cop,ARG0,"The ARG0 role for the predicate 'arrest' should have the properties of being the agent performing the action, and the argument should be the person or entity being arrested.","The argument 'cop' has the property of being the agent performing the action, which is relevant for the predicate 'arrest'.",The argument 'cop' fits the ARG0 role for the predicate 'arrest' because it is the agent performing the action of arresting the person.
arrest,cop,ARG1,The ARG1 role for the predicate 'arrest' should have the properties of being the person or entity that is being arrested.,The argument 'cop' has the property of being a person or entity that is responsible for arresting the subject of the sentence.,The argument 'cop' fits the ARG1 role for the predicate 'arrest' because it is the person or entity that is responsible for arresting the subject of the sentence.
arrest,corporal,ARG0,"The ARG0 role for the predicate 'arrest' should have the properties of being the agent performing the action, and the argument should be the person or entity being arrested.","The argument 'corporal' has the property of being a military rank, which is relevant to the predicate 'arrest' because it suggests that the person being arrested is a military officer or a member of the military.",The argument 'corporal' fits the ARG0 role for the predicate 'arrest' because it is a military rank that suggests the person being arrested is a member of the military and the agent performing the arrest.
arrest,corporal,ARG1,The ARG1 role for the predicate 'arrest' should have the properties of being the person or entity that is being arrested.,"The argument 'corporal' has the property of being a military rank, which is relevant to the predicate 'arrest' because it suggests that the person being arrested is a military officer or a member of the military.",The argument 'corporal' fits the ARG1 role for the predicate 'arrest' because it is a military rank that suggests the person being arrested is a member of the military.
arrest,crook,ARG0,"The ARG0 role for the predicate 'arrest' should have the properties of being the agent performing the action, and the argument should be the person or entity being arrested.",The argument 'crook' has the property of being the person or entity being arrested.,The argument 'crook' fits the ARG0 role for the predicate 'arrest' because it is the person or entity being arrested.
arrest,crook,ARG1,The ARG1 role for the predicate 'arrest' should have the properties of being the person or entity that is being arrested.,The argument 'crook' has the property of being a criminal or a person who has committed a crime.,The argument 'crook' fits the ARG1 role for the predicate 'arrest' because it is the person or entity that is being arrested.
arrest,guard,ARG0,"The ARG0 role for the predicate 'arrest' should have the properties of being the agent performing the action, and the argument should be the person or entity being arrested.",The argument 'guard' has the property of being the agent performing the action of arresting the person or entity.,The argument 'guard' fits the ARG0 role for the predicate 'arrest' because it is the agent performing the action of arresting the person or entity.
arrest,guard,ARG1,The ARG1 role for the predicate 'arrest' should have the properties of being the person or entity that is being arrested.,The argument 'guard' has the property of being the person or entity responsible for arresting the subject of the sentence.,The argument 'guard' fits the ARG1 role for the predicate 'arrest' because it is the person or entity responsible for arresting the subject of the sentence.
arrest,police,ARG0,"The ARG0 role for the predicate 'arrest' should have the properties of being the agent performing the action, and the argument should be the person or entity being arrested.",The argument 'police' has the property of being the agent performing the action of arresting the person or entity.,The argument 'police' fits the ARG0 role for the predicate 'arrest' because it is the agent performing the action of arresting the person or entity.
arrest,police,ARG1,The ARG1 role for the predicate 'arrest' should have the properties of being the person or entity that is being arrested.,The argument 'police' has the property of being the agent that is arresting the person or entity.,The argument 'police' fits the ARG1 role for the predicate 'arrest' because it is the agent that is arresting the person or entity.
arrest,suspect,ARG0,"The ARG0 role for the predicate 'arrest' should have the properties of being the agent performing the action, and the argument should be the person or entity being arrested.","The argument 'suspect' has the properties of being the entity being arrested, and the predicate 'arrest' has the properties of being the action of arresting that entity.",The argument 'suspect' fits the ARG0 role for the predicate 'arrest' because it is the entity being arrested.
arrest,suspect,ARG1,The ARG1 role for the predicate 'arrest' should have the properties of being the person or entity that is being arrested.,The argument 'suspect' has the properties of being the person or entity that is being arrested.,The argument 'suspect' fits the ARG1 role for the predicate 'arrest' because it is the person or entity that is being arrested.
assist,employee,ARG0,The ARG0 role for the predicate 'assist' should have the properties of being the person or entity that is being assisted.,The argument 'employee' has the property of being the person or entity that is being assisted.,The argument 'employee' fits the ARG0 role for the predicate 'assist' because it is the person or entity that is being assisted.
assist,employee,ARG1,The ARG1 role should have the properties of being the person or entity that is being assisted.,The argument 'employee' has the property of being the person or entity that is being assisted.,The argument 'employee' fits the ARG1 role for the predicate 'assist' because it is the person or entity that is being assisted.
assist,grandmother,ARG0,The ARG0 role for the predicate 'assist' should have the properties of being the person or entity that is being assisted.,The argument 'grandmother' has the property of being a person who is being assisted.,The argument 'grandmother' fits the ARG0 role for the predicate 'assist' because it is the person who is being assisted.
assist,grandmother,ARG1,The ARG1 role should have the properties of being the person or entity that is being assisted.,The argument 'grandmother' has the property of being a person who is being assisted.,The argument 'grandmother' fits the ARG1 role for the predicate 'assist' because it is the person who is being assisted.
assist,host,ARG0,The ARG0 role for the predicate 'assist' should have the properties of being the person or entity that is being assisted.,The argument 'host' has the property of being the person or entity that is being assisted.,The argument 'host' fits the ARG0 role for the predicate 'assist' because it is the person or entity that is being assisted.
assist,host,ARG1,The ARG1 role should have the properties of being the person or entity that is being assisted.,The argument 'host' has the property of being the person or entity that is being assisted.,The argument 'host' fits the ARG1 role for the predicate 'assist' because it is the person or entity that is being assisted.
assist,moron,ARG0,The ARG0 role for the predicate 'assist' should have the properties of being the person or entity that is being assisted.,The argument 'moron' does not have any relevant properties for the predicate 'assist'.,"The argument 'moron' does not fit the ARG0 role for the predicate 'assist' because it is not a person or entity that is being assisted. The ARG0 role is typically filled by a person or entity that is being helped or assisted, not by a person or entity that is being assisted. Therefore, the argument 'moron' does not have a clear fit for the ARG0 role in this context."
assist,moron,ARG1,The ARG1 role should have the properties of being the person or entity that is being assisted.,The argument 'moron' does not have any relevant properties for the predicate 'assist'.,"The argument 'moron' does not fit the ARG1 role for the predicate 'assist' because it is not a person or entity that can be assisted. The ARG1 role requires a person or entity that is being assisted, and 'moron' does not meet this requirement. Therefore, the argument 'moron' does not fit the ARG1 role for the predicate 'assist'."
attack,boxer,ARG0,The ARG0 role for the predicate 'attack' should have the properties of being the agent performing the action.,The argument 'boxer' has the property of being the agent performing the action.,The argument 'boxer' fits the ARG0 role for the predicate 'attack' because it is the agent performing the action of attacking.
attack,boxer,ARG1,"The ARG1 role should have the properties of being the agent of the action, i.e., the entity that initiates the attack.","The argument 'boxer' has the property of being the agent of the action, as it is the entity that initiates the attack.",The argument 'boxer' fits the ARG1 role for the predicate 'attack' because it is the entity that initiates the attack.
attack,fort,ARG0,The ARG0 role for the predicate 'attack' should have the properties of being the agent performing the action.,The argument 'fort' has the property of being the target of the action.,The argument 'fort' fits the ARG0 role for the predicate 'attack' because it is the entity that is being attacked.
attack,fort,ARG1,"The ARG1 role should have the properties of being the agent of the action, i.e., the entity that initiates the attack.",The argument 'fort' has the property of being the target of the attack.,The argument 'fort' fits the ARG1 role for the predicate 'attack' because it is the entity that is being attacked.
attack,infantry,ARG0,The ARG0 role for the predicate 'attack' should have the properties of being the agent performing the action.,The argument 'infantry' has the property of being a type of military unit that is capable of performing an attack.,The argument 'infantry' fits the ARG0 role for the predicate 'attack' because it is the entity that is performing the action of attacking.
attack,infantry,ARG1,"The ARG1 role should have the properties of being the agent of the action, i.e., the entity that initiates the attack.",The argument 'infantry' has the property of being a type of military unit that is typically used for ground combat.,The argument 'infantry' fits the ARG1 role for the predicate 'attack' because it is the entity that initiates the attack.
attack,opinion,ARG0,The ARG0 role for the predicate 'attack' should have the properties of being the agent performing the action.,"The argument 'opinion' has the property of being the object of the action, which is the target of the attack.","The argument 'opinion' fits the ARG0 role for the predicate 'attack' because it is the object of the action, which is the target of the attack."
attack,opinion,ARG1,"The ARG1 role should have the properties of being the agent of the action, i.e., the entity that initiates the attack.","The argument 'opinion' has the property of being the object of the action, i.e., the entity that is the target of the attack.","The argument 'opinion' does not fit the ARG1 role for the predicate 'attack' because the ARG1 role is typically associated with the agent of the action, while the argument 'opinion' is the object of the action."
attack,pacifist,ARG0,The ARG0 role for the predicate 'attack' should have the properties of being the agent performing the action.,The argument 'pacifist' has the property of being a non-violent approach to resolving conflicts.,"The argument 'pacifist' does not fit the ARG0 role for the predicate 'attack' because a pacifist is not an agent that performs the action of attacking. The ARG0 role is typically filled by a person or entity that initiates the action of attacking, while a pacifist is someone who advocates for non-violent conflict resolution."
attack,pacifist,ARG1,"The ARG1 role should have the properties of being the agent of the action, i.e., the entity that initiates the attack.",The argument 'pacifist' does not have any relevant properties for the predicate 'attack'.,"The argument 'pacifist' does not fit the ARG1 role for the predicate 'attack' because a pacifist is not an agent of the action of attacking. The ARG1 role requires an entity that initiates the action, and a pacifist does not initiate the action of attacking. Therefore, the argument 'pacifist' does not fit the ARG1 role for the predicate 'attack'."
attack,troops,ARG0,The ARG0 role for the predicate 'attack' should have the properties of being the agent performing the action.,The argument 'troops' has the property of being the instrumental of the action.,The argument 'troops' will fit the ARG0 role for the predicate 'attack' because it is the agent performing the action of attacking.
attack,troops,ARG1,"The ARG1 role should have the properties of being the agent of the action, i.e., the entity that initiates the attack.","The argument 'troops' has the property of being the instrument of the action, i.e., the entity that is used to carry out the attack.",The argument 'troops' fits the ARG1 role for the predicate 'attack' because it is the entity that initiates the attack.
audit,accountant,ARG0,The ARG0 role for the predicate 'audit' should have the properties of being the subject of the sentence and the entity that is being audited.,The argument 'accountant' has the property of being a person who is responsible for auditing an account or financial records.,The argument 'accountant' fits the ARG0 role for the predicate 'audit' because it is the person or entity that is responsible for conducting the audit.
