predicate,argument,actual_fit,exp_fit
heat,microwave,6.3,0.8
heat,fire,6.1,0.8
heat,oven,6.3,0.8
heat,stove,6.3,0.8
heat,blanket,5.9,0.5
gamble,dice,6.2,0.5
gamble,cards,6.6,0.5
gamble,money,6.9,0.8
gamble,binoculars,1.6,0.0
gamble,newspaper,2.8,0.5
gamble,wheel,4.2,0.5
drink,spoon,2.1,0.5
drink,straw,5,0.5
drink,licorice,2.2,0.5
drink,glass,6.8,0.5
drink,cup,6.6,0.5
drink,bottle,6.4,0.5
drink,mug,6.4,0.5
drink,hands,5.2,0.5
slap,hand,6.8,0.8
slap,towel,3,0.5
slap,glove,3.1,0.5
slap,paper,1.4,0.5
slap,stick,1.5,0.5
lock,key,6.7,1.0
lock,deadbolt,6.1,0.8
lock,glue,1.6,0.5
lock,tape,1.6,0.5
lock,rope,2.2,0.5
lock,bar,3.1,0.5
lock,padlock,5.6,1.0
lock,latch,5.3,0.5
sterilize,water,5.3,0.8
sterilize,heat,6.6,0.8
sterilize,air,2.8,0.5
sterilize,alcohol,5.4,0.5
sterilize,pressure,2.9,0.5
sterilize,chemical,5.6,0.8
sterilize,salt,2.5,0.5
sterilize,butter,1,0.5
