predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
accept,teenager,ARG1,The teenager accepted the invitation to the party.,0.75,The teenager accepted the offer to work at the restaurant.,0.75,The teenager accepted the challenge to play a game of basketball.,0.75,The teenager accepted the invitation to the concert.,0.75,The teenager accepted the offer to help with the project.,0.75,4.1,0.75
accuse,criminal,ARG0,The police accused the criminal of the crime.,1.0,The criminal was accused of the crime by the police.,0.75,The crime was accused by the police of being committed by the criminal.,0.75,The criminal was accused of the crime by the victim.,0.75,The victim accused the criminal of the crime.,0.75,3.4,0.8
accuse,criminal,ARG1,The police accused the criminal of the crime.,0.75,The prosecutor accused the defendant of the crime.,0.75,The witness accused the suspect of the crime.,0.75,The victim accused the perpetrator of the crime.,0.75,The accuser accused the accused of the crime.,0.75,6.9,0.75
accuse,defendant,ARG0,The defendant accused the judge of bias.,0.75,The defendant accused the prosecutor of withholding evidence.,0.75,The defendant accused the witness of lying.,0.75,The defendant accused the police of planting evidence.,0.75,The defendant accused the judge of being unfair.,0.75,3.6,0.75
accuse,defendant,ARG1,The defendant accused the judge of bias.,0.75,The defendant accused the prosecutor of withholding evidence.,0.75,The defendant accused the witness of lying.,0.75,The defendant accused the police of planting evidence.,0.75,The defendant accused the judge of being unfair.,0.75,6.8,0.75
accuse,dog,ARG0,The dog accused the suspect of theft.,0.75,The suspect accused the dog of being a thief.,0.75,The dog accused the suspect of being a liar.,0.75,The suspect accused the dog of being a fraud.,0.75,The dog accused the suspect of being a criminal.,0.75,1.3,0.75
accuse,dog,ARG1,The dog accused the suspect of theft.,0.75,,0.75,The dog accused the suspect of stealing the money.,0.75,,0.75,The dog accused the suspect of being a thief.,0.75,3.5,0.75
accuse,prosecutor,ARG0,The prosecutor accused the defendant of the crime.,0.75,The prosecutor accused the defendant of committing the crime.,0.75,The prosecutor accused the defendant of being guilty of the crime.,0.75,The prosecutor accused the defendant of having committed the crime.,0.75,The prosecutor accused the defendant of being responsible for the crime.,0.75,6.8,0.75
accuse,prosecutor,ARG1,The prosecutor accused the defendant of the crime.,0.75,The prosecutor accused the defendant of committing the crime.,0.75,The prosecutor accused the defendant of being the perpetrator of the crime.,0.75,The prosecutor accused the defendant of being the one who committed the crime.,0.75,The prosecutor accused the defendant of being the culprit of the crime.,0.75,2.6,0.75
accuse,suspect,ARG0,The suspect accused the police of planting evidence.,0.75,The police accused the suspect of theft.,0.75,The suspect accused the victim of lying.,0.75,The victim accused the suspect of assault.,0.75,The suspect accused the judge of bias.,0.75,3.3,0.75
accuse,suspect,ARG1,The suspect accused the police of planting evidence.,0.75,The police accused the suspect of theft.,0.75,The suspect accused the victim of lying.,0.75,The victim accused the suspect of assault.,0.75,The suspect accused the judge of bias.,0.75,6.8,0.75
accuse,witness,ARG0,The witness accused the suspect of the crime.,0.75,The suspect was accused by the witness.,0.75,"The witness accused the suspect of the crime, but the suspect denied it.",0.75,"The suspect was accused by the witness, but the witness was not believed.",0.75,"The witness accused the suspect of the crime, but the suspect was not present at the scene.",0.75,6.4,0.75
accuse,witness,ARG1,The witness accused the suspect of the crime.,0.75,The suspect was accused by the witness.,0.75,"The witness accused the suspect of the crime, but the suspect denied it.",0.75,"The suspect was accused by the witness, but the witness was not believed.",0.75,"The witness accused the suspect of the crime, but the suspect was not present at the scene.",0.75,3.2,0.75
admire,actress,ARG0,I admire the actress's talent.,0.75,The actress's performance was admired by the audience.,0.75,The actress's beauty is admired by many.,0.75,The actress's dedication to her craft is admired by her peers.,0.75,The actress's kindness and compassion are admired by everyone who knows her.,0.75,4.6,0.75
admire,actress,ARG1,I admire the actress's talent.,0.75,The actress's performance was admired by the audience.,0.75,The actress's beauty is admired by many.,0.75,The actress's dedication to her craft is admired by her peers.,0.75,The actress's impact on the film industry is admired by many.,0.75,6.4,0.75
admire,athlete,ARG0,I admire the athlete's dedication to their sport.,0.75,The athlete's talent is truly inspiring.,0.75,I admire the athlete's perseverance in the face of adversity.,0.75,The athlete's commitment to their training is admirable.,0.75,I admire the athlete's ability to push themselves to new heights.,0.75,4.8,0.75
admire,athlete,ARG1,I admire the athlete's dedication to their sport.,0.75,The athlete's talent is truly inspiring.,0.75,I admire the athlete's perseverance in the face of adversity.,0.75,The athlete's commitment to their training is admirable.,0.75,I admire the athlete's ability to push themselves to new heights.,0.75,6.4,0.75
admire,disciple,ARG0,I admire my disciple for their dedication to their craft.,0.75,My disciple is someone I admire for their intelligence and insight.,0.75,I admire my disciple for their ability to inspire others.,0.75,My disciple is someone I admire for their passion and drive.,0.75,I admire my disciple for their kindness and compassion.,0.75,5.6,0.75
admire,disciple,ARG1,I admire my disciple for their dedication to their craft.,0.75,The disciple admires their teacher for their wisdom and guidance.,0.75,The disciple admires the teacher's patience and understanding.,0.75,The disciple admires the teacher's passion for their work.,0.75,The disciple admires the teacher's ability to inspire and motivate others.,0.75,4.1,0.75
admire,fan,ARG0,I admire your passion for music.,0.75,,0.75,,0.75,,0.75,,0.75,6.8,0.75
admire,fan,ARG1,I admire your passion for music.,0.75,,0.75,,0.75,,0.75,,0.75,1.7,0.75
admire,groupie,ARG0,I admire the groupie for their dedication to the band.,0.75,The groupie admires the band for their music.,0.75,The band admires the groupie for their passion.,0.75,The groupie admires the band for their talent.,0.75,The band admires the groupie for their enthusiasm.,0.75,6.9,0.75
admire,groupie,ARG1,I admire the groupie for their dedication to the band.,0.75,The groupie admires the band for their music.,0.75,The band admires the groupie for their passion.,0.75,The groupie admires the band for their talent.,0.75,The band admires the groupie for their enthusiasm.,0.75,1.9,0.75
adopt,baby,ARG0,I adopted a baby girl.,0.75,The couple adopted a baby boy.,0.75,The family adopted a baby from a foreign country.,0.75,The orphanage adopted a baby from the streets.,0.75,The government adopted a baby from a foster home.,1.0,1.4,0.8
adopt,baby,ARG1,I adopted a baby girl.,0.75,The couple adopted a baby boy.,0.75,The family adopted a baby from a foreign country.,0.75,The orphanage adopted a baby from the streets.,0.75,The government adopted a baby from a foster home.,0.75,6.4,0.75
adopt,child,ARG0,The parents adopted a child.,1.0,The child was adopted by the parents.,1.0,The parents adopted a child from a foster home.,1.0,The child was adopted by the parents from a foster home.,1.0,The parents adopted a child from a foreign country.,1.0,2,1.0
adopt,child,ARG1,The parents adopted a child.,1.0,The child was adopted by the parents.,1.0,The parents adopted a child from a foster home.,0.75,The child was adopted by the parents from a foster home.,1.0,The parents adopted a child from a foreign country.,0.75,6.2,0.9
adopt,committee,ARG0,The committee adopted the new policy.,1.0,The committee adopted the new budget.,1.0,The committee adopted the new regulations.,0.75,The committee adopted the new procedures.,0.75,The committee adopted the new guidelines.,0.75,5.5,0.85
adopt,committee,ARG1,The committee adopted the new policy.,0.75,The committee adopted the new budget.,0.75,The committee adopted the new regulations.,0.75,The committee adopted the new procedures.,0.75,The committee adopted the new guidelines.,0.75,3.3,0.75
adopt,couple,ARG0,The couple adopted a child.,0.75,The couple adopted a pet.,0.75,The couple adopted a new home.,0.75,The couple adopted a new hobby.,0.75,The couple adopted a new career.,0.75,5.9,0.75
adopt,couple,ARG1,The couple adopted a child.,0.75,The couple adopted a pet.,0.75,The couple adopted a new home.,0.75,The couple adopted a new hobby.,0.75,The couple adopted a new career.,0.75,1.6,0.75
adopt,policy,ARG0,The government has adopted a new policy to reduce carbon emissions.,0.75,The company has adopted a new policy to improve employee morale.,0.75,The city has adopted a new policy to reduce crime rates.,0.75,The country has adopted a new policy to promote economic growth.,0.75,The organization has adopted a new policy to improve environmental sustainability.,0.75,2.1,0.75
adopt,policy,ARG1,The government has adopted a new policy to reduce carbon emissions.,0.75,The company has adopted a new policy to improve employee morale.,0.75,The city has adopted a new policy to reduce crime rates.,0.75,The country has adopted a new policy to promote economic growth.,0.75,The organization has adopted a new policy to improve environmental sustainability.,0.75,6,0.75
applaud,actress,ARG0,The audience applauded the actress for her performance.,0.75,The actress applauded the audience for their applause.,0.75,The audience applauded the actress for her dedication to her craft.,0.75,The actress applauded the audience for their support.,0.75,The audience applauded the actress for her talent.,0.75,2.9,0.75
applaud,actress,ARG1,The audience applauded the actress for her performance.,0.75,The actress applauded the audience for their enthusiastic applause.,0.75,The audience applauded the actress for her dedication to her craft.,0.75,The actress applauded the audience for their support and encouragement.,0.75,The audience applauded the actress for her talent and skill.,0.75,6.5,0.75
applaud,critic,ARG0,The critic applauded the play.,0.75,,0.75,,0.75,,0.75,The critic applauded the play's themes.,0.75,5,0.75
applaud,critic,ARG1,The critic applauded the play.,0.75,,0.75,,0.75,,0.75,,0.75,1.5,0.75
applaud,director,ARG0,The audience applauded the director's performance.,0.75,The director received a standing ovation from the audience.,0.75,The audience applauded the director's direction.,0.75,The director was applauded by the audience for his excellent work.,0.75,The audience applauded the director's dedication to the project.,0.75,4.8,0.75
applaud,director,ARG1,The audience applauded the director's performance.,0.75,The director received a standing ovation from the audience.,0.75,The audience applauded the director's direction.,0.75,The director was applauded by the audience for his excellent work.,0.75,The audience applauded the director's ability to bring the story to life.,0.75,4.5,0.75
applaud,musician,ARG0,The audience applauded the musician's performance.,0.75,The musician received a standing ovation from the audience.,0.75,,0.75,The musician's music was well-received by the audience.,0.75,,0.75,2.9,0.75
applaud,musician,ARG1,The audience applauded the musician's performance.,0.75,The musician received a standing ovation from the audience.,0.75,,0.75,The musician's music was well-received by the audience.,0.75,The audience appreciated the musician's dedication to their craft.,0.75,6.8,0.75
applaud,performance,ARG0,The audience applauded the performance.,1.0,The performers were applauded for their skillful performance.,0.75,The audience applauded the performers for their dedication to their craft.,0.75,The performers were applauded for their commitment to the art form.,0.75,The audience applauded the performers for their passion and dedication to their craft.,0.75,1.2,0.8
applaud,performance,ARG1,The audience applauded the performance.,0.75,The performers were applauded for their skillful performance.,0.75,The audience applauded the performers for their dedication to their craft.,0.75,The performers were applauded for their commitment to the art form.,0.75,The audience applauded the performers for their passion and dedication to their craft.,0.75,6.7,0.75
approve,candidate,ARG0,The board approved the candidate for the position.,0.75,The committee approved the candidate's application.,0.75,The employer approved the candidate's resume.,0.75,The jury approved the candidate's performance.,0.75,The audience approved the candidate's speech.,0.75,4,0.75
approve,candidate,ARG1,The board of directors approved the candidate for the position.,0.75,The hiring committee approved the candidate's application.,0.75,The candidate was approved for the job.,0.75,The candidate was approved by the board of directors.,0.75,The candidate was approved by the hiring committee.,0.75,4.8,0.75
approve,committee,ARG0,The committee approved the proposal.,0.75,The committee approved the decision.,0.75,The committee approved the plan.,0.75,The committee approved the budget.,0.75,The committee approved the report.,0.75,6.2,0.75
approve,committee,ARG1,The committee approved the proposal.,0.75,The committee approved the budget.,0.75,The committee approved the new policy.,0.75,The committee approved the new employee.,0.75,The committee approved the new project.,0.75,3.8,0.75
approve,contractor,ARG0,The client approved the contractor's proposal.,0.75,The board of directors approved the contractor's bid.,0.75,The project manager approved the contractor's work.,0.75,The customer approved the contractor's service.,0.75,The government approved the contractor's license.,0.75,5.7,0.75
approve,contractor,ARG1,The client approved the contractor's proposal.,0.75,,0.75,,0.75,,0.75,The company approved the new employee's contract.,0.75,3.6,0.75
approve,plan,ARG0,The board approved the plan.,1.0,,0.75,The team approved the strategy.,0.75,,0.75,,0.75,1.8,0.8
approve,plan,ARG1,The board of directors approved the new plan.,0.75,,0.75,The team approved the strategy.,0.75,,0.75,,0.75,5.3,0.75
approve,policy,ARG0,The board of directors approved the new policy.,0.75,The company's management team approved the new policy.,0.75,The employees approved the new policy.,0.75,The shareholders approved the new policy.,0.75,The government approved the new policy.,1.0,2.3,0.8
approve,policy,ARG1,The board of directors approved the new policy.,0.75,The company's management team approved the new policy.,0.75,The employees approved the new policy.,0.75,The shareholders approved the new policy.,0.75,The government approved the new policy.,0.75,5.2,0.75
arrest,cop,ARG0,,0.75,The suspect was arrested by the police.,0.75,,0.75,The suspect was arrested for the crime by the police.,0.75,,0.75,6.7,0.75
arrest,cop,ARG1,,0.75,The suspect was arrested by the police for the crime.,0.75,,0.75,,0.75,,0.75,1.6,0.75
arrest,corporal,ARG0,The corporal arrested the suspect.,0.75,The corporal arrested the criminal.,0.75,The corporal arrested the perpetrator.,0.75,The corporal arrested the offender.,0.75,The corporal arrested the perpetrator of the crime.,0.75,5,0.75
arrest,corporal,ARG1,The corporal arrested the suspect.,0.75,The corporal arrested the criminal.,0.75,The corporal arrested the perpetrator.,0.75,The corporal arrested the offender.,0.75,The corporal arrested the perpetrator of the crime.,0.75,1.5,0.75
arrest,crook,ARG0,The police arrested the crook for the theft of the valuable jewels.,0.75,The crook was arrested by the police for the murder of the victim.,0.75,The crook was arrested by the police for the embezzlement of the company funds.,0.75,The crook was arrested by the police for the fraudulent activities.,0.75,The crook was arrested by the police for the illegal drug trafficking.,0.75,1.2,0.75
arrest,crook,ARG1,The police arrested the crook for the theft of the valuable jewels.,0.75,The crook was arrested by the police for the murder of the victim.,0.75,The crook was arrested by the police for the embezzlement of the company funds.,0.75,The crook was arrested by the police for the fraudulent activities.,0.75,The crook was arrested by the police for the illegal drug trafficking.,0.75,5.9,0.75
arrest,guard,ARG0,The guard arrested the suspect.,0.75,The suspect was arrested by the guard.,0.75,The guard arrested the suspect for theft.,0.75,The suspect was arrested by the guard for theft.,0.75,The guard arrested the suspect for disorderly conduct.,0.75,5,0.75
arrest,guard,ARG1,The guard arrested the suspect.,0.75,The suspect was arrested by the guard.,0.75,The guard arrested the suspect for theft.,0.75,The suspect was arrested by the guard for theft.,0.75,The guard arrested the suspect for disorderly conduct.,0.75,1.6,0.75
arrest,police,ARG0,The police arrested the suspect.,0.75,The suspect was arrested by the police.,0.75,The police arrested the suspect for the crime.,0.75,The suspect was arrested by the police for the crime.,0.75,The police arrested the suspect for the crime and took him to the station.,0.75,6.4,0.75
arrest,police,ARG1,The police arrested the suspect.,0.75,The suspect was arrested by the police.,0.75,The police arrested the suspect for the crime.,0.75,The suspect was arrested by the police for the crime.,0.75,The police arrested the suspect for the crime and took him to jail.,0.75,1.5,0.75
arrest,suspect,ARG0,The police arrested the suspect for the crime.,1.0,The suspect was arrested by the police for the crime.,0.75,The suspect was arrested for the crime by the police.,0.75,The suspect was arrested for the crime by the police at the scene.,1.0,The suspect was arrested for the crime by the police at the police station.,1.0,1.4,0.9
arrest,suspect,ARG1,The police arrested the suspect for the crime.,0.75,The suspect was arrested by the police for the crime.,0.75,The suspect was arrested for the crime by the police.,0.75,The suspect was arrested for the crime by the police at the scene.,0.75,The suspect was arrested for the crime by the police at the police station.,0.75,5.5,0.75
assist,employee,ARG0,The manager assisted the employee in completing the project.,0.75,The employee was assisted by the manager in the project.,0.75,The manager assisted the employee in understanding the project requirements.,0.75,The employee was assisted by the manager in meeting the project deadline.,0.75,The manager assisted the employee in overcoming the project challenges.,0.75,6,0.75
assist,employee,ARG1,The manager assisted the employee in completing the project.,0.75,The employee was assisted by the manager in the project.,0.75,The manager assisted the employee in understanding the project requirements.,0.75,The employee was assisted by the manager in meeting the project deadline.,0.75,The manager assisted the employee in overcoming the project challenges.,0.75,5.3,0.75
assist,grandmother,ARG0,The grandmother assisted the children with their homework.,0.75,The grandmother assisted the children in their studies.,0.75,The grandmother assisted the children in their daily chores.,0.75,The grandmother assisted the children in their extracurricular activities.,0.75,The grandmother assisted the children in their personal development.,0.75,6,0.75
assist,grandmother,ARG1,The grandmother assisted the children with their homework.,0.75,The grandmother assisted the elderly with their daily tasks.,0.75,The grandmother assisted the disabled with their mobility issues.,0.75,The grandmother assisted the sick with their medical care.,0.75,The grandmother assisted the lonely with their social interactions.,0.75,6.1,0.75
assist,host,ARG0,The host assisted the guests during the party.,0.75,The host assisted the guests in finding their seats.,0.75,The host assisted the guests in ordering their food.,0.75,The host assisted the guests in navigating the venue.,0.75,The host assisted the guests in finding the restrooms.,0.75,6.1,0.75
assist,host,ARG1,The host assisted the guest with their luggage.,0.75,The host assisted the guest in finding their way around the city.,0.75,The host assisted the guest in finding a good restaurant.,0.75,The host assisted the guest in finding a good hotel.,0.75,The host assisted the guest in finding a good tour guide.,0.75,3.4,0.75
assist,moron,ARG0,,0.0,,0.0,,0.0,,0.0,The moron assisted the teacher in explaining the concept of causality.,0.25,1.7,0.05
assist,moron,ARG1,,0.0,,0.0,,0.0,The lawyer assisted the moron in understanding the legal document.,0.25,The chef assisted the moron in preparing the meal.,0.25,3.4,0.1
attack,boxer,ARG0,The boxer attacked the referee.,0.75,The referee was attacked by the boxer.,0.75,The boxer attacked the other boxer.,0.75,The other boxer was attacked by the boxer.,0.75,The boxer attacked the ring.,0.75,6.4,0.75
attack,boxer,ARG1,The boxer attacked the referee.,0.75,The referee was attacked by the boxer.,0.75,The boxer attacked the other boxer.,0.75,The other boxer was attacked by the boxer.,0.75,The boxer attacked the ring.,0.75,6.1,0.75
attack,fort,ARG0,The attack on the fort was fierce.,0.75,The fort was attacked by the enemy.,1.0,The fort was attacked by a group of soldiers.,0.75,The fort was attacked by a group of terrorists.,0.75,The fort was attacked by a group of rebels.,0.75,1.6,0.8
attack,fort,ARG1,The attack on the fort was fierce and intense.,0.75,The fort was attacked by the enemy.,0.75,The fort was the target of the attack.,1.0,The attack on the fort was a surprise.,0.75,The fort was the site of the attack.,0.75,6,0.8
attack,infantry,ARG0,The infantry attacked the enemy's position.,0.75,The enemy's infantry was attacked by the allies.,0.75,The infantry was attacked by the enemy's tanks.,0.75,The allies' infantry attacked the enemy's fortifications.,0.75,The enemy's infantry was attacked by the allies' artillery.,0.75,5.6,0.75
attack,infantry,ARG1,The infantry attacked the enemy's position.,0.75,The enemy's infantry was attacked by the allies.,0.75,The infantry was attacked by the enemy's tanks.,0.75,The allies' infantry attacked the enemy's fortifications.,0.75,The enemy's infantry was attacked by the allies' artillery.,0.75,5.7,0.75
attack,opinion,ARG0,The attack on the opinion was fierce.,0.75,The opinion was attacked by the other side.,0.75,The attack on the opinion was a surprise.,0.75,The opinion was attacked by the government.,0.75,The attack on the opinion was a controversial move.,0.75,3.2,0.75
attack,opinion,ARG1,The government's attack on the opposition's opinion was a misguided and unjustified assault.,0.75,The attack on the opposition's opinion by the government was a cynical and manipulative tactic.,0.75,The government's attack on the opposition's opinion was a reckless and irresponsible act.,0.75,The opposition's opinion was attacked by the government in a disingenuous and dishonest manner.,0.75,The government's attack on the opposition's opinion was a calculated and premeditated assault.,0.75,6.5,0.75
attack,pacifist,ARG0,,0.0,The aggressor was attacked by the pacifist.,0.75,,0.0,The pacifist was attacked by the aggressor with a violent weapon.,0.75,,0.0,1.9,0.3
attack,pacifist,ARG1,,0.25,The aggressor was attacked by the pacifist.,0.75,,0.25,The pacifist was attacked by the aggressor with a violent weapon.,0.75,,0.25,3.4,0.45
attack,troops,ARG0,The attacking troops were met with resistance from the defending forces.,0.75,The attacking troops were able to breach the enemy's defenses.,0.75,The attacking troops were able to capture the enemy's stronghold.,0.75,The attacking troops were able to destroy the enemy's weapons and equipment.,0.75,The attacking troops were able to capture the enemy's leaders and take them prisoner.,0.75,6.6,0.75
attack,troops,ARG1,The attack by the troops was fierce and intense.,0.75,The troops launched a fierce attack on the enemy.,0.75,The enemy was attacked by the troops with great force.,0.75,The troops attacked the enemy with all their might.,0.75,The troops were the ones who launched the attack.,0.75,6.2,0.75
audit,accountant,ARG0,The audit was conducted by the accountant.,0.75,The accountant conducted the audit.,0.75,The audit was conducted by the accountant in the company.,0.75,The accountant conducted the audit in the company.,0.75,The audit was conducted by the accountant for the company.,0.75,6,0.75
audit,accountant,ARG1,The audit team conducted a thorough examination of the accountant's financial records.,0.75,The audit team found several discrepancies in the accountant's financial statements.,0.75,The audit team discovered that the accountant had misappropriated funds from the company's accounts.,0.75,The audit team recommended that the accountant be fired for their unethical behavior.,0.75,The audit team concluded that the accountant's actions were a serious breach of trust and could result in legal consequences.,0.75,4,0.75
audit,businessman,ARG0,The audit of the businessman's financial records revealed a significant discrepancy in his accounts.,0.75,The audit team found that the businessman had misrepresented the true state of his finances during the audit process.,0.75,The audit of the businessman's business dealings revealed a pattern of unethical behavior and fraud.,0.75,The audit of the businessman's investment portfolio revealed a significant loss of value due to poor investment choices.,0.75,"The audit of the businessman's tax returns revealed a significant underpayment of taxes, which could result in legal consequences.",0.75,3.8,0.75
audit,businessman,ARG1,The audit team conducted a thorough review of the businessman's financial records.,0.75,The audit team found several discrepancies in the businessman's financial statements.,0.75,The audit team discovered that the businessman had been embezzling funds from the company.,0.75,The audit team recommended that the businessman be fired from his position.,0.75,The audit team concluded that the businessman's actions were unethical and illegal.,0.75,6,0.75
audit,citizen,ARG0,,0.75,,0.75,,0.75,,0.75,,0.75,2.2,0.75
audit,citizen,ARG1,,0.75,,0.75,,0.75,,0.75,,0.75,5.5,0.75
audit,corporation,ARG0,The audit of the corporation revealed significant financial irregularities.,0.75,The audit of the corporation found no evidence of fraud.,0.75,The audit of the corporation was conducted by an independent auditor.,0.75,The audit of the corporation was conducted in accordance with industry standards.,0.75,The audit of the corporation was completed within the required timeframe.,0.75,4.8,0.75
audit,corporation,ARG1,The audit of the corporation revealed significant financial irregularities.,0.75,The audit of the corporation found no evidence of fraud.,0.75,The audit of the corporation was conducted by an independent auditor.,0.75,The audit of the corporation was conducted in accordance with industry standards.,0.75,The audit of the corporation was conducted with the assistance of external experts.,0.75,6.1,0.75
audit,government,ARG0,The government audited the company's financial statements to ensure compliance with regulations.,0.75,,0.75,,0.75,,0.75,,0.75,6.2,0.75
audit,government,ARG1,The government audited the company's financial statements to ensure compliance with regulations.,0.75,,0.75,,0.75,,0.75,,0.75,3,0.75
audit,taxpayer,ARG0,The audit of the taxpayer's financial records was conducted by the IRS.,0.75,The audit of the taxpayer's tax return was conducted by the IRS.,0.75,The audit of the taxpayer's business operations was conducted by the IRS.,0.75,The audit of the taxpayer's investments was conducted by the IRS.,0.75,The audit of the taxpayer's charitable donations was conducted by the IRS.,0.75,2.7,0.75
audit,taxpayer,ARG1,The audit of the taxpayer's financial records was conducted by the IRS.,0.75,The audit of the taxpayer's tax return was conducted by the IRS.,0.75,The audit of the taxpayer's business operations was conducted by the IRS.,0.75,The audit of the taxpayer's investments was conducted by the IRS.,0.75,The audit of the taxpayer's charitable donations was conducted by the IRS.,0.75,6.2,0.75
beat,bully,ARG0,The bully was beaten by the police.,0.75,The bully was beaten by the victim.,0.75,The bully was beaten by the teacher.,0.75,The bully was beaten by the principal.,0.75,The bully was beaten by the school counselor.,0.75,6.5,0.75
beat,bully,ARG1,The bully was beaten by the police.,0.75,The bully was beaten by the victim.,0.75,The bully was beaten by the teacher.,0.75,The bully was beaten by the principal.,0.75,The bully was beaten by the school counselor.,0.75,1.9,0.75
beat,egg,ARG0,The egg beat the other egg in the race.,0.75,,1.0,,1.0,,1.0,,1.0,1.2,0.95
beat,egg,ARG1,The egg beat the other egg in the race.,0.75,,0.75,,0.75,,0.75,,0.75,6.1,0.75
beat,parent,ARG0,The parent beat the child.,1.0,The child was beaten by the parent.,0.75,The parent beat the child with a stick.,0.75,The child was beaten by the parent with a stick.,0.75,The parent beat the child with a whip.,0.75,3.7,0.8
beat,parent,ARG1,The parent beat the child.,0.75,The child was beaten by the parent.,0.75,The parent beat the child with a stick.,0.75,The child was beaten by the parent with a stick.,0.75,The parent beat the child with a whip.,0.75,2.2,0.75
beat,wimp,ARG0,The wimp beat the tough guy.,0.25,The wimp was beaten by the tough guy.,0.25,The wimp was beaten by the tough guy in a fair fight.,0.75,The wimp was beaten by the tough guy in a one-sided fight.,0.75,The wimp was beaten by the tough guy in a brutal fight.,0.75,1.7,0.55
beat,wimp,ARG1,The wimp beat the tough guy.,0.25,The wimp was beaten by the tough guy.,0.25,The wimp was beaten by the tough guy in a fair fight.,0.25,The wimp was beaten by the tough guy in a one-sided fight.,0.25,The wimp was beaten by the tough guy in a brutal fight.,0.25,4.9,0.25
betray,liar,ARG0,The liar betrayed the trust of the people.,0.75,The liar betrayed the trust of the government.,0.75,The liar betrayed the trust of the company.,0.75,The liar betrayed the trust of the family.,0.75,The liar betrayed the trust of the friend.,0.75,6.9,0.75
