predicate,argument,actual_fit,exp_fit
wrap,bandage,5.4,0.75
wrap,blanket,5.2,0.75
wrap,tinfoil,5.9,0.75
wrap,curtain,1.6,0.75
wrap,tape,5.6,0.75
wrap,ribbon,5.3,0.75
wrap,scissors,4.4,0.75
call,radio,2.5,0.75
call,megaphone,3.4,0.75
call,telephone,6.9,0.75
call,can,1.4,1.0
call,voice,6.8,0.75
call,paper,2.5,0.75
call,note,2.7,0.75
call,computer,4.8,0.75
attract,beauty,6.8,0.75
attract,scent,5.6,0.75
attract,humour,6,0.75
attract,force,1.8,0.75
attract,intelligence,5.9,0.75
attract,money,4.8,0.75
wash,water,7,0.75
wash,soap,6.5,0.75
wash,detergent,6.3,0.75
wash,paper,1.5,0.75
wash,vinegar,2.8,0.75
wash,bleach,4.8,0.75
time,sundial,2.3,0.75
time,stopwatch,6.5,0.75
time,clock,6.6,0.75
time,hourglass,2.7,0.25
time,sun,2.4,1.0
time,watch,6.8,0.75
inflate,air,6.6,0.75
inflate,water,2.8,0.75
inflate,helium,6,0.75
inflate,smoke,1.9,0.75
inflate,pump,5.8,0.75
inflate,lungs,5.7,0.75
inflate,generator,3.5,0.75
signal,password,3.5,0.75
signal,flag,4.6,0.75
signal,light,4.7,0.75
signal,nod,5.9,0.75
signal,cough,4,0.75
signal,hand,6.5,0.75
vandalize,knife,4.3,0.75
vandalize,paint,6,0.75
vandalize,pen,5.1,0.75
vandalize,eggs,5.1,0.75
vandalize,keys,4.7,0.75
vandalize,mallet,2.9,0.75
fish,rod,6.4,0.75
fish,stick,2.8,0.75
fish,net,5.9,0.75
fish,harpoon,4.1,0.75
fish,yarn,1.7,0.0
fish,line,6.7,0.75
fish,lure,5.9,0.75
fish,bait,6.4,0.75
fish,pole,6.3,0.75
teach,textbook,6.2,0.75
teach,chalk,6.1,0.75
teach,overhead,5.8,0.75
teach,spoon,1.1,0.25
teach,cartoon,2.5,0.25
teach,graph,4.6,0.75
teach,dice,1.4,0.0
stir,spoon,6.9,0.75
stir,scissors,1.4,0.75
stir,fork,4.1,0.75
stir,straw,3.9,0.75
stir,stick,2.8,0.75
heat,furnace,6.7,0.75
heat,microwave,6.3,0.75
heat,fire,6.1,0.75
heat,oven,6.3,0.75
heat,stove,6.3,0.75
heat,blanket,5.9,0.75
gamble,dice,6.2,0.75
gamble,cards,6.6,0.75
gamble,money,6.9,0.75
gamble,binoculars,1.6,0.0
gamble,newspaper,2.8,0.25
gamble,wheel,4.2,0.75
drink,spoon,2.1,0.75
drink,straw,5,0.75
drink,licorice,2.2,0.25
drink,glass,6.8,0.75
drink,cup,6.6,0.75
drink,bottle,6.4,0.75
drink,mug,6.4,0.75
drink,hands,5.2,0.75
slap,hand,6.8,0.75
slap,towel,3,0.75
slap,glove,3.1,0.75
slap,paper,1.4,0.75
slap,stick,1.5,0.75
lock,key,6.7,0.75
lock,deadbolt,6.1,0.75
lock,glue,1.6,0.75
lock,tape,1.6,0.75
lock,rope,2.2,0.75
lock,bar,3.1,0.75
lock,padlock,5.6,0.75
lock,latch,5.3,0.75
sterilize,water,5.3,0.75
sterilize,heat,6.6,0.75
sterilize,air,2.8,0.75
sterilize,alcohol,5.4,0.75
sterilize,pressure,2.9,0.75
sterilize,chemical,5.6,0.75
sterilize,salt,2.5,0.75
sterilize,butter,1,0.75
