predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
measure,stick,The stick measures the length of the book.,0.75,The book measures the length of the stick.,0.75,The stick measures the width of the book.,0.75,The book measures the width of the stick.,0.75,The stick measures the thickness of the book.,0.75,1.7,0.75
measure,pencil,,0.25,,0.25,,0.25,,0.25,,0.25,3.2,0.25
cure,medicine,The medicine cured the disease.,1.0,The medicine was used to cure the disease.,0.75,The medicine was used to treat the disease.,0.75,The medicine was used to heal the disease.,0.75,The medicine was used to alleviate the symptoms of the disease.,0.75,6.9,0.8
cure,herbs,The herbs cured the wound.,0.75,The herbs were used to cure the wound.,0.75,The herbs were used to treat the wound.,0.75,The herbs were used to heal the wound.,0.75,The herbs were used to alleviate the pain.,0.75,5.4,0.75
cure,therapy,The therapy cured the patient.,0.75,The patient was cured by the therapy.,0.75,The therapy was the instrument that cured the patient.,1.0,The patient was cured by the therapy as an instrument.,0.75,The therapy was the instrument that cured the patient as a result.,1.0,5.9,0.85
cure,kiss,The kiss cured the sickness.,0.75,The kiss helped the patient recover.,0.75,The kiss was the instrument of the cure.,0.75,The kiss was the means by which the patient was cured.,0.75,The kiss was the factor that led to the patient's recovery.,0.75,3.3,0.75
cure,acupuncture,Acupuncture cured the patient's headache.,0.75,The patient was cured by acupuncture.,0.75,Acupuncture was the instrument that cured the patient.,0.75,Acupuncture was the means by which the patient was cured.,0.75,Acupuncture was the instrument that was used to cure the patient.,0.75,4,0.75
cure,food,The cure for hunger is food.,0.75,,0.75,,0.75,,0.75,The cure for boredom is entertainment.,0.25,3.9,0.65
cure,sauna,The sauna cured my sore muscles.,0.75,The sauna helped me to cure my cold.,0.75,The sauna was the instrument that cured my illness.,0.75,The sauna was the means by which I cured my ailment.,0.75,The sauna was the instrument that helped me to recover from my injury.,0.75,2,0.75
float,boat,The boat floated on the water.,1.0,The boat floated down the river.,1.0,The boat floated across the lake.,1.0,The boat floated over the ocean.,1.0,The boat floated through the air.,1.0,6.4,1.0
float,raft,The raft floated on the water.,0.75,The raft floated down the river.,1.0,The raft floated across the lake.,0.75,The raft floated over the ocean.,0.75,The raft floated through the air.,0.75,6.2,0.8
float,chair,The chair floated on the water.,0.75,The chair floated in the air.,0.75,The chair floated on the ground.,0.75,The chair floated in the sky.,0.75,The chair floated in the ocean.,0.75,1.5,0.75
float,wood,The wood float in the water.,0.75,The wood float on the surface of the water.,0.75,The wood float in the air.,0.75,The wood float on the ground.,0.75,The wood float in the sky.,0.75,3.5,0.75
float,canoe,The canoe floated on the water.,0.75,The canoe floated down the river.,0.75,The canoe floated on the lake.,0.75,The canoe floated on the ocean.,0.75,The canoe floated on the pond.,0.75,5.8,0.75
float,tube,The tube floated in the water.,0.75,The tube floated on the surface of the water.,0.75,The tube floated in the air.,0.75,The tube floated on the ground.,0.75,The tube floated in the sky.,0.75,5.3,0.75
float,air,The air floated around the balloon.,0.75,The balloon floated in the air.,0.75,The air floated over the water.,0.75,The water floated under the air.,0.75,The air floated around the tree.,0.75,4.7,0.75
hit,fist,The ball was hit with a fist.,0.75,The fist hit the ball.,0.75,The ball was hit with a fist and it went flying.,0.75,The fist hit the ball and it went flying.,0.75,The ball was hit with a fist and it went flying through the air.,0.75,6.8,0.75
hit,water,The ball hit the water with a splash.,0.75,The water hit the ball with a splash.,0.75,,0.0,,0.0,,0.0,1.7,0.3
hit,bat,The ball was hit by the bat.,0.75,The bat hit the ball.,0.75,The ball was hit with the bat.,0.75,The bat hit the ball with a swing.,0.75,The ball was hit by the bat with a powerful swing.,0.75,5.9,0.75
hit,pillow,I hit the pillow with my fist.,0.75,The pillow was hit by the ball.,0.75,The pillow was hit with a hammer.,0.75,I hit the pillow with a hammer.,0.75,The pillow was hit by a hammer.,0.75,3.8,0.75
hit,stick,The ball hit the wall with the stick.,0.75,The stick hit the ball with a lot of force.,0.75,The stick hit the ball with a lot of speed.,0.75,The ball hit the stick with a lot of force.,0.75,The stick hit the ball with a lot of speed.,0.75,3.8,0.75
hit,hammer,The hammer hit the nail.,0.75,The hammer hit the wall.,0.75,The hammer hit the ball.,0.75,The hammer hit the target.,0.75,The hammer hit the enemy.,0.75,5.2,0.75
hit,apple,,0.0,,0.0,,0.0,"The apple was hit with a stick, causing it to fall to the ground.",0.75,,0.0,1.8,0.15
hit,towel,The ball hit the towel with a loud thud.,0.75,The towel hit the ball with a soft smack.,0.75,The towel hit the wall with a dull thud.,0.75,The ball hit the towel with a sharp crack.,0.75,The towel hit the ground with a soft thud.,0.75,2.2,0.75
revive,slap,The slap revived the patient.,0.75,The patient was revived by the slap.,0.75,The slap was the instrument that revived the patient.,0.75,The patient was revived by the slap as an instrument.,0.75,The slap was used as an instrument to revive the patient.,0.75,4.7,0.75
revive,water,The water revived the patient.,0.75,The patient was revived by the water.,0.75,The water helped to revive the patient.,0.75,The patient was revived by the water's effects.,0.75,The water's effects revived the patient.,0.75,4.8,0.75
revive,scream,,0.25,,0.25,,0.25,,0.25,,0.25,4,0.25
revive,silence,The silence revived the audience's attention.,0.75,The revival of the silence was a welcome change.,0.75,The silence was revived by the sudden noise.,0.75,The silence was revived by the music.,0.75,The silence was revived by the applause.,0.75,1.1,0.75
revive,oxygen,The doctor revived the patient with oxygen.,0.75,The patient was revived with oxygen by the doctor.,0.75,The oxygen revived the patient.,1.0,The patient was revived with oxygen.,0.75,The oxygen was used to revive the patient.,1.0,6,0.85
revive,respirator,The respirator revived the patient.,0.75,The patient was revived by the respirator.,0.75,The respirator helped revive the patient.,0.75,The patient was revived by the respirator's assistance.,0.75,The respirator's revival of the patient was crucial.,0.75,5.6,0.75
watch,telescope,I watched the stars through the telescope.,0.75,The telescope helped me watch the stars.,0.75,The telescope made it easy to watch the stars.,0.75,The telescope was used to watch the stars.,0.75,The telescope was the instrument used to watch the stars.,1.0,5.3,0.8
watch,mirror,I watched the movie through the mirror.,0.75,,0.75,The mirror was used to watch the movie.,0.75,The mirror was the instrument used to watch the movie.,0.75,The mirror was the tool used to watch the movie.,0.75,4.8,0.75
watch,binoculars,I watched the game with my binoculars.,0.75,The binoculars helped me watch the game.,0.75,I used my binoculars to watch the game.,0.75,The binoculars were used to watch the game.,0.75,I watched the game with binoculars.,0.75,6.1,0.75
watch,kaleidoscope,Watch the kaleidoscope carefully to see the colors change.,0.75,Watch the kaleidoscope to see the colors change.,0.75,Watch the kaleidoscope to see the colors.,0.75,Watch the kaleidoscope to see the colors.,0.75,Watch the kaleidoscope to see the colors.,0.75,2.7,0.75
watch,glasses,I watched the movie through my glasses.,0.75,She watched the game with her glasses on.,0.75,He watched the sunset through his glasses.,0.75,They watched the concert with their glasses on.,0.75,We watched the movie through our glasses.,0.75,6.2,0.75
watch,light,I watched the light flicker on the wall.,0.75,The light was watched by the cat.,0.75,The light was watched by the dog.,0.75,The light was watched by the bird.,0.75,,0.75,5,0.75
watch,radar,The radar watches the sky for any signs of danger.,0.75,The radar watches the plane as it flies through the air.,0.75,The radar watches the weather radar as it scans the sky.,0.75,The radar watches the traffic as it drives down the road.,0.75,The radar watches the news as it reports on the latest events.,0.75,3.8,0.75
dig,shovel,The dog dug a hole with a shovel.,0.75,The shovel dug a hole in the ground.,1.0,The hole was dug by a shovel.,0.75,The shovel was used to dig a hole.,1.0,A shovel was used to dig a hole.,1.0,6.9,0.9
dig,fork,,0.0,,0.0,,0.0,,0.0,The gardener used a fork to dig up weeds.,0.75,2.5,0.15
dig,spoon,,0.25,,0.25,,0.25,,0.25,,0.25,3,0.25
dig,cup,,0.0,,0.0,,0.0,,0.0,,0.0,1.9,0.0
dig,hoe,The farmer used a hoe to dig the soil.,0.75,The gardener used a hoe to dig up the weeds.,0.75,The construction worker used a hoe to dig the foundation.,0.75,The archaeologist used a hoe to dig up the artifacts.,0.75,The farmer used a hoe to dig a hole for the new well.,0.75,4.4,0.75
dig,pickaxe,The miner used a pickaxe to dig the coal.,0.75,The construction worker used a pickaxe to dig the foundation.,0.75,The archaeologist used a pickaxe to dig up the artifacts.,0.75,The farmer used a pickaxe to dig the soil.,0.75,The gardener used a pickaxe to dig the hole for the planting.,0.75,4,0.75
dig,spade,The spade dug a hole.,0.75,The spade dug a trench.,0.75,The spade dug a pit.,0.75,The spade dug a well.,0.75,The spade dug a tunnel.,0.75,5.6,0.75
stab,scissors,"The scissors stabbed the paper, causing it to tear.",0.75,"The scissors stabbed the paper, making it rip.",0.75,"The scissors stabbed the paper, causing it to tear apart.",0.75,"The scissors stabbed the paper, making it rip apart.",0.75,"The scissors stabbed the paper, causing it to tear and rip.",0.75,4,0.75
stab,fork,"The chef stabbed the chicken with a fork, but it didn't die.",0.75,,0.75,,0.75,"The chef stabbed the chicken with a fork, but it didn't bleed.",0.75,,0.75,4.3,0.75
stab,toothpick,"The toothpick stabbed the cake, causing it to crumble.",0.75,"The toothpick stabbed the cake, making it fall apart.",0.75,"The toothpick stabbed the cake, causing it to become soggy.",0.75,"The toothpick stabbed the cake, making it taste terrible.",0.75,"The toothpick stabbed the cake, causing it to become unappetizing.",0.75,3,0.75
stab,knife,The knife stabbed the man in the chest.,1.0,The man stabbed the knife into the table.,0.75,The knife stabbed the woman in the back.,0.75,The woman stabbed the knife at the man.,0.75,The man stabbed the knife into the ground.,0.75,6.8,0.8
stab,dagger,"The assassin stabbed the target with a dagger, using it as an instrument of death.",1.0,The dagger was used as an instrument of death by the assassin to stab the target.,0.75,"The target was stabbed with a dagger by the assassin, who used it as an instrument of death.",1.0,The assassin used a dagger as an instrument of death to stab the target.,1.0,"The dagger was used as an instrument of death by the assassin to stab the target, who was the target of the attack.",0.75,5.9,0.9
stab,razor,The razor stabbed the man.,0.75,The man stabbed the razor.,0.75,The razor stabbed itself.,1.0,,0.75,The razor stabbed the razor with the razor.,1.0,2.5,0.85
stab,hatchet,"The hatchet stabbed the tree, causing it to fall.",0.75,"The hatchet stabbed the man, causing him to bleed.",0.75,"The hatchet stabbed the woman, causing her to scream.",0.75,"The hatchet stabbed the child, causing him to cry.",0.75,"The hatchet stabbed the animal, causing it to die.",0.75,3.2,0.75
stab,nail,The nail stabbed the wall with a loud noise.,0.75,The nail stabbed the paper with a sharp point.,0.75,The nail stabbed the wound with a deep pain.,0.75,The nail stabbed the heart with a heavy blow.,0.75,The nail stabbed the soul with a sharp regret.,0.75,2.2,0.75
repair,hammer,The mechanic used a hammer to repair the car's engine.,0.75,,0.25,The mechanic used a hammer to fix the car's engine.,0.75,,0.25,The mechanic used a hammer to repair the car's engine problem.,0.75,6.7,0.55
repair,shoe,I will repair the shoe with a hammer.,0.75,The mechanic repaired the shoe with a wrench.,0.75,The shoe was repaired with a screwdriver.,0.75,The repairman fixed the shoe with a drill.,0.75,The shoe was repaired with a pliers.,0.75,1.5,0.75
repair,string,The mechanic repaired the string on my bike using a needle and thread.,0.75,,0.25,The electrician repaired the string on the violin using a soldering iron and wire.,0.75,The plumber repaired the string on the piano using a wrench and pipe fittings.,0.75,,0.25,3,0.55
repair,elastic,The elastic repair kit is perfect for fixing small tears in my favorite pair of jeans.,0.75,"The elastic repair in my socks is holding up well, thanks to the repair kit.",0.75,"I'm glad I have the elastic repair kit on hand, it's saved me from having to buy new socks so many times.",0.75,"The elastic repair in my shoelaces is holding up well, thanks to the repair kit.",0.75,"I'm so glad I have the elastic repair kit, it's saved me from having to buy new shoelaces so many times.",0.75,2.7,0.75
repair,glue,The mechanic used glue to repair the broken engine.,0.75,The carpenter used glue to repair the damaged furniture.,0.75,The plumber used glue to repair the leaking pipe.,0.75,The electrician used glue to repair the frayed wire.,0.75,The carpenter used glue to repair the broken window.,0.75,5.6,0.75
repair,saw,The mechanic repaired the saw with a new blade.,0.75,The carpenter repaired the saw with a new handle.,0.75,The electrician repaired the saw with a new motor.,0.75,The plumber repaired the saw with a new hose.,0.75,,0.75,4.4,0.75
repair,screwdriver,The screwdriver was used to repair the broken door.,0.75,The screwdriver was used to repair the damaged table.,0.75,The screwdriver was used to repair the leaky faucet.,0.75,The screwdriver was used to repair the loose screw.,0.75,The screwdriver was used to repair the broken window.,0.75,6.2,0.75
repair,wrench,The mechanic used a wrench to repair the car's engine.,0.75,The car's engine was repaired with a wrench by the mechanic.,0.75,The wrench was used to repair the car's engine by the mechanic.,0.75,The mechanic repaired the car's engine with a wrench.,0.75,The car's engine was repaired by the mechanic using a wrench.,0.75,5.8,0.75
repair,tape,The mechanic repaired the tape on the car with a specialized tool.,0.75,The repairman used a tape repair kit to fix the damaged tape on the bicycle.,0.75,The tape repairman fixed the broken tape on the skateboard with a new piece.,0.75,The tape repair service replaced the damaged tape on the motorcycle with a high-quality replacement.,0.75,The tape repair specialist used a specialized tape repair machine to fix the damaged tape on the golf cart.,0.75,5.8,0.75
wrap,bandage,The nurse wrapped the bandage around the patient's arm.,0.75,The doctor wrapped the bandage around the wound.,0.75,The patient wrapped the bandage around the wound.,0.75,The nurse wrapped the bandage around the patient's leg.,0.75,The doctor wrapped the bandage around the patient's leg.,0.75,5.4,0.75
wrap,blanket,The blanket wrapped around the cat's neck.,0.75,The cat wrapped the blanket around its body.,0.75,The blanket wrapped itself around the cat.,0.75,The cat wrapped the blanket around its legs.,0.75,The blanket wrapped itself around the cat's body.,0.75,5.2,0.75
wrap,tinfoil,The tinfoil wrapped the present.,0.75,The present was wrapped in tinfoil.,0.75,The tinfoil was used to wrap the present.,0.75,The present was wrapped with tinfoil.,0.75,The tinfoil was used to wrap the present tightly.,0.75,5.9,0.75
wrap,curtain,The curtain wrapped around the door to keep it closed.,0.75,The curtain wrapped itself around the rod to hang.,0.75,The curtain wrapped the present in a neat package.,0.75,The curtain wrapped the gift in a colorful ribbon.,0.75,The curtain wrapped the picture in a protective layer.,0.75,1.6,0.75
wrap,tape,The tape wrapped around the box.,0.75,The box was wrapped with tape.,0.75,The tape was wrapped around the box.,0.75,The box was wrapped by tape.,0.75,The tape wrapped the box.,0.75,5.6,0.75
