predicate,argument,actual_fit,exp_fit
applaud,theater,6.9,0.5
applaud,arena,6.3,0.5
applaud,stadium,6.7,0.5
applaud,convention,5.5,0.5
beg,school,3.8,0.5
beg,street,5.6,0.5
beg,prison,4.6,0.5
beg,court,5.3,0.5
beg,sidewalk,4.4,0.5
beg,church,2.9,0.5
beg,casino,3.5,0.5
testify,office,2.5,0.5
testify,courtroom,7,0.8
testify,police station,5.8,0.8
testify,classroom,2.5,0.5
testify,planetarium,1.4,0.5
testify,store,1.4,0.5
testify,jail,3.3,0.5
wait,hospital,6.3,0.8
wait,restaurant,6.2,0.5
wait,office,5,0.5
wait,school,3.5,0.5
wait,lineup,7,0.5
wait,bedroom,1.6,0.5
swim,bathtub,2.3,0.5
swim,lake,6.7,0.8
swim,pool,7,0.8
swim,puddle,1.2,0.5
swim,ocean,6.6,0.8
swim,beach,6.2,0.8
swim,desert,1,0.5
swim,swamp,1.5,0.5
swim,creek,2.9,0.5
pray,temple,6.8,0.5
pray,church,7,0.5
pray,casino,4.2,0.5
pray,school,4.1,0.5
pray,cemetery,6,0.5
pray,kitchen,2.2,0.5
pray,theatre,1.5,0.5
confess,church,6.9,0.5
confess,school,4.2,0.5
confess,court,6,0.5
confess,office,3,0.5
confess,studio,1.7,0.5
confess,hearing,5.3,0.5
confess,jail,3.8,0.5
sleep,bathtub,2.2,0.5
sleep,tent,5.9,0.5
sleep,bedroom,7,0.8
sleep,hotel,6.3,0.5
sleep,chair,4.6,0.5
sleep,car,4.1,0.0
sleep,trailer,5.6,0.5
sleep,concert,1.5,0.0
wash,lake,4,0.5
wash,bathroom,7,0.8
wash,laundromat,4.9,0.5
wash,puddle,1.2,0.8
wash,pool,2.5,0.8
wash,factory,2.5,0.5
wash,hospital,5.6,0.5
run,house,2.8,0.5
run,track,6.9,0.5
run,treadmill,6.8,0.5
run,gymnasium,6.4,0.5
run,sidewalk,5.5,0.8
run,road,5.2,0.8
run,restaurant,1.3,0.5
fish,ocean,6.4,0.8
fish,lake,6.8,0.8
fish,pool,1.1,0.8
fish,puddle,1,0.5
fish,pond,5,0.8
fish,river,6.2,0.8
fish,swamp,2.5,0.8
weigh,supermarket,6.7,0.5
weigh,bathroom,6.4,0.5
weigh,gymnasium,5.7,0.5
weigh,hospital,5.5,0.5
weigh,restaurant,3.6,0.5
weigh,sauna,2.5,0.5
weigh,bar,1.6,0.5
weigh,classroom,2.6,0.5
weigh,delicatessen,6.3,0.5
rescue,lake,5.9,0.5
rescue,tree,4.8,0.5
rescue,house,4.9,0.8
rescue,park,3.9,0.5
rescue,cave,3.8,0.8
rescue,mine,4.4,0.5
rescue,ocean,4.8,0.5
rescue,battlefield,6,0.5
rescue,prison,2.8,0.8
exercise,car,1.4,0.5
exercise,gymnasium,7,0.5
exercise,house,5.1,0.5
exercise,school,4.9,0.5
exercise,track,6.9,0.5
exercise,stadium,4.4,0.5
exercise,campground,3.5,0.5
study,mall,1.6,0.5
study,library,6.9,0.8
study,bank,1.5,0.5
study,gymnasium,2.1,0.5
study,car,2.5,0.5
study,office,4.4,0.5
study,bedroom,5.8,0.5
study,dormitory,5.7,0.5
study,classroom,6.2,0.8
escape,hospital,3.4,0.8
escape,prison,4.3,1.0
escape,school,3.5,0.5
escape,resort,2.7,0.5
escape,gymnasium,2.3,0.5
escape,campground,2.5,0.8
deposit,library,4.7,0.8
deposit,bank,7,1.0
deposit,hospital,3.4,0.8
deposit,store,3.2,0.8
deposit,instabank,6.2,0.5
deposit,hotel,4.2,0.8
deposit,kitchen,2.3,0.5
mourn,party,1.6,0.5
mourn,funeral,7,0.5
mourn,wedding,2.2,0.5
mourn,bank,1.8,0.5
mourn,cemetery,6.8,0.5
mourn,temple,5.6,0.5
mourn,theatre,2,0.5
worship,theater,1.6,0.5
worship,chapel,6.7,0.5
worship,school,2.9,0.5
worship,bar,1.4,0.5
worship,temple,6.8,0.8
worship,cemetery,4.3,0.5
eat,restaurant,7,0.5
eat,kitchen,7,0.5
eat,pub,4.9,0.5
eat,delicatessen,5.3,0.5
eat,stadium,4.7,0.5
eat,lobby,2.6,0.5
eat,bedroom,3.5,0.5
shower,gymnasium,4.8,0.5
shower,bathroom,6.9,0.8
shower,pool,2.3,0.5
shower,field,1.2,0.5
shower,sauna,2.2,0.5
shower,cottage,4.3,0.5
cook,kitchen,7,0.8
cook,restaurant,6.8,0.5
cook,trailer,5,0.5
cook,mall,3.2,0.5
cook,campground,4.9,0.5
cook,cabin,5.2,0.5
cook,tent,2.2,0.5
sell,store,7,0.8
sell,street,5.4,0.5
sell,market,6.6,0.5
sell,mall,6.9,0.5
sell,arena,4.9,0.5
sell,driveway,2.5,0.5
sell,pub,6.2,0.5
sell,desert,1.1,0.5
preach,ghetto,2.5,0.5
preach,airport,2.3,0.5
preach,church,7,0.5
preach,synagogue,6.7,0.5
preach,street,3.2,0.5
preach,classroom,4.8,0.5
preach,courtroom,4.4,0.5
skate,backyard,3,0.5
skate,park,4.8,0.8
skate,pond,4.4,0.8
skate,rink,7,0.8
skate,arena,7,0.8
skate,lake,4.3,0.8
skate,schoolyard,2.3,0.5
stroll,countryside,6.4,0.8
stroll,park,6.8,0.8
stroll,forest,5.6,0.8
stroll,highway,1.3,0.8
stroll,field,4.3,0.8
stroll,riverbank,4.9,0.8
stroll,bathroom,1.1,0.5
dance,auditorium,5.3,0.5
dance,bar,5.8,0.5
dance,ballroom,7,0.5
dance,kitchen,2.6,0.0
dance,stage,5.4,0.75
dance,gymnasium,4.4,0.5
dance,shower,2.2,0.0
urinate,backyard,3.3,0.5
urinate,bathroom,7,0.8
urinate,mall,4.1,0.0
urinate,forest,4.3,0.0
urinate,field,3.5,0.5
urinate,lobby,1.4,0.0
urinate,bank,1.4,0.5
draw,classroom,6.2,0.8
draw,museum,4.1,0.8
draw,park,3.8,0.5
draw,beach,3.7,0.5
draw,studio,6.5,0.5
draw,cliff,2.6,0.8
draw,lake,2.8,0.8
