predicate,argument,role_type,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
applaud,performance,ARG0,The audience applauded the performance.,The performers were applauded for their skillful performance.,The audience applauded the performers for their dedication to their craft.,The performers were applauded for their commitment to the art form.,The audience applauded the performers for their passion and dedication to their craft.
applaud,performance,ARG1,The audience applauded the performance.,The performers were applauded for their skillful performance.,The audience applauded the performers for their dedication to their craft.,The performers were applauded for their commitment to the art form.,The audience applauded the performers for their passion and dedication to their craft.
approve,candidate,ARG0,The board approved the candidate for the position.,The committee approved the candidate's application.,The employer approved the candidate's resume.,The jury approved the candidate's performance.,The audience approved the candidate's speech.
approve,candidate,ARG1,The board of directors approved the candidate for the position.,The hiring committee approved the candidate's application.,The candidate was approved for the job.,The candidate was approved by the board of directors.,The candidate was approved by the hiring committee.
approve,committee,ARG0,The committee approved the proposal.,The committee approved the decision.,The committee approved the plan.,The committee approved the budget.,The committee approved the report.
approve,committee,ARG1,The committee approved the proposal.,The committee approved the budget.,The committee approved the new policy.,The committee approved the new employee.,The committee approved the new project.
approve,contractor,ARG0,The client approved the contractor's proposal.,The board of directors approved the contractor's bid.,The project manager approved the contractor's work.,The customer approved the contractor's service.,The government approved the contractor's license.
approve,contractor,ARG1,The client approved the contractor's proposal.,The board of directors approved the new policy.,The jury approved the defendant's guilt.,The judge approved the plea bargain.,The company approved the new employee's contract.
approve,plan,ARG0,The board approved the plan.,The committee approved the proposal.,The team approved the strategy.,The company approved the budget.,The government approved the legislation.
approve,plan,ARG1,The board of directors approved the new plan.,The committee approved the proposal.,The team approved the strategy.,The council approved the budget.,The government approved the legislation.
approve,policy,ARG0,The board of directors approved the new policy.,The company's management team approved the new policy.,The employees approved the new policy.,The shareholders approved the new policy.,The government approved the new policy.
approve,policy,ARG1,The board of directors approved the new policy.,The company's management team approved the new policy.,The employees approved the new policy.,The shareholders approved the new policy.,The government approved the new policy.
arrest,cop,ARG0,The police arrested the suspect.,The suspect was arrested by the police.,The police arrested the suspect for the crime.,The suspect was arrested for the crime by the police.,The police arrested the suspect for the crime and took him to jail.
arrest,cop,ARG1,The police arrested the suspect for the crime.,The suspect was arrested by the police for the crime.,"The police arrested the suspect for the crime, and he was taken to jail.","The suspect was arrested by the police for the crime, and he was taken to jail.","The police arrested the suspect for the crime, and he was released on bail."
arrest,corporal,ARG0,The corporal arrested the suspect.,The corporal arrested the criminal.,The corporal arrested the perpetrator.,The corporal arrested the offender.,The corporal arrested the perpetrator of the crime.
arrest,corporal,ARG1,The corporal arrested the suspect.,The corporal arrested the criminal.,The corporal arrested the perpetrator.,The corporal arrested the offender.,The corporal arrested the perpetrator of the crime.
arrest,crook,ARG0,The police arrested the crook for the theft of the valuable jewels.,The crook was arrested by the police for the murder of the victim.,The crook was arrested by the police for the embezzlement of the company funds.,The crook was arrested by the police for the fraudulent activities.,The crook was arrested by the police for the illegal drug trafficking.
arrest,crook,ARG1,The police arrested the crook for the theft of the valuable jewels.,The crook was arrested by the police for the murder of the victim.,The crook was arrested by the police for the embezzlement of the company funds.,The crook was arrested by the police for the fraudulent activities.,The crook was arrested by the police for the illegal drug trafficking.
arrest,guard,ARG0,The guard arrested the suspect.,The suspect was arrested by the guard.,The guard arrested the suspect for theft.,The suspect was arrested by the guard for theft.,The guard arrested the suspect for disorderly conduct.
arrest,guard,ARG1,The guard arrested the suspect.,The suspect was arrested by the guard.,The guard arrested the suspect for theft.,The suspect was arrested by the guard for theft.,The guard arrested the suspect for disorderly conduct.
arrest,police,ARG0,The police arrested the suspect.,The suspect was arrested by the police.,The police arrested the suspect for the crime.,The suspect was arrested by the police for the crime.,The police arrested the suspect for the crime and took him to the station.
arrest,police,ARG1,The police arrested the suspect.,The suspect was arrested by the police.,The police arrested the suspect for the crime.,The suspect was arrested by the police for the crime.,The police arrested the suspect for the crime and took him to jail.
arrest,suspect,ARG0,The police arrested the suspect for the crime.,The suspect was arrested by the police for the crime.,The suspect was arrested for the crime by the police.,The suspect was arrested for the crime by the police at the scene.,The suspect was arrested for the crime by the police at the police station.
arrest,suspect,ARG1,The police arrested the suspect for the crime.,The suspect was arrested by the police for the crime.,The suspect was arrested for the crime by the police.,The suspect was arrested for the crime by the police at the scene.,The suspect was arrested for the crime by the police at the police station.
assist,employee,ARG0,The manager assisted the employee in completing the project.,The employee was assisted by the manager in the project.,The manager assisted the employee in understanding the project requirements.,The employee was assisted by the manager in meeting the project deadline.,The manager assisted the employee in overcoming the project challenges.
assist,employee,ARG1,The manager assisted the employee in completing the project.,The employee was assisted by the manager in the project.,The manager assisted the employee in understanding the project requirements.,The employee was assisted by the manager in meeting the project deadline.,The manager assisted the employee in overcoming the project challenges.
assist,grandmother,ARG0,The grandmother assisted the children with their homework.,The grandmother assisted the children in their studies.,The grandmother assisted the children in their daily chores.,The grandmother assisted the children in their extracurricular activities.,The grandmother assisted the children in their personal development.
assist,grandmother,ARG1,The grandmother assisted the children with their homework.,The grandmother assisted the elderly with their daily tasks.,The grandmother assisted the disabled with their mobility issues.,The grandmother assisted the sick with their medical care.,The grandmother assisted the lonely with their social interactions.
assist,host,ARG0,The host assisted the guests during the party.,The host assisted the guests in finding their seats.,The host assisted the guests in ordering their food.,The host assisted the guests in navigating the venue.,The host assisted the guests in finding the restrooms.
assist,host,ARG1,The host assisted the guest with their luggage.,The host assisted the guest in finding their way around the city.,The host assisted the guest in finding a good restaurant.,The host assisted the guest in finding a good hotel.,The host assisted the guest in finding a good tour guide.
assist,moron,ARG0,The moron assisted the teacher in grading the papers.,The teacher assisted the moron in understanding the concept of fractions.,The moron assisted the student in solving the math problem.,The student assisted the moron in understanding the definition of a verb.,The moron assisted the teacher in explaining the concept of causality.
assist,moron,ARG1,The doctor assisted the moron in understanding the medical procedure.,The teacher assisted the moron in completing the homework assignment.,The nurse assisted the moron in taking the medication.,The lawyer assisted the moron in understanding the legal document.,The chef assisted the moron in preparing the meal.
attack,boxer,ARG0,The boxer attacked the referee.,The referee was attacked by the boxer.,The boxer attacked the other boxer.,The other boxer was attacked by the boxer.,The boxer attacked the ring.
attack,boxer,ARG1,The boxer attacked the referee.,The referee was attacked by the boxer.,The boxer attacked the other boxer.,The other boxer was attacked by the boxer.,The boxer attacked the ring.
attack,fort,ARG0,The attack on the fort was fierce.,The fort was attacked by the enemy.,The fort was attacked by a group of soldiers.,The fort was attacked by a group of terrorists.,The fort was attacked by a group of rebels.
attack,fort,ARG1,The attack on the fort was fierce and intense.,The fort was attacked by the enemy.,The fort was the target of the attack.,The attack on the fort was a surprise.,The fort was the site of the attack.
attack,infantry,ARG0,The infantry attacked the enemy's position.,The enemy's infantry was attacked by the allies.,The infantry was attacked by the enemy's tanks.,The allies' infantry attacked the enemy's fortifications.,The enemy's infantry was attacked by the allies' artillery.
attack,infantry,ARG1,The infantry attacked the enemy's position.,The enemy's infantry was attacked by the allies.,The infantry was attacked by the enemy's tanks.,The allies' infantry attacked the enemy's fortifications.,The enemy's infantry was attacked by the allies' artillery.
attack,opinion,ARG0,The attack on the opinion was fierce.,The opinion was attacked by the other side.,The attack on the opinion was a surprise.,The opinion was attacked by the government.,The attack on the opinion was a controversial move.
attack,opinion,ARG1,The government's attack on the opposition's opinion was a misguided and unjustified assault.,The attack on the opposition's opinion by the government was a cynical and manipulative tactic.,The government's attack on the opposition's opinion was a reckless and irresponsible act.,The opposition's opinion was attacked by the government in a disingenuous and dishonest manner.,The government's attack on the opposition's opinion was a calculated and premeditated assault.
attack,pacifist,ARG0,The pacifist attacked the aggressor.,The aggressor was attacked by the pacifist.,The pacifist attacked the aggressor with a non-violent weapon.,The pacifist was attacked by the aggressor with a violent weapon.,The pacifist attacked the aggressor with a non-violent tactic.
attack,pacifist,ARG1,The pacifist attacked the aggressor.,The aggressor was attacked by the pacifist.,The pacifist attacked the aggressor with a non-violent weapon.,The pacifist was attacked by the aggressor with a violent weapon.,The pacifist attacked the aggressor with a non-violent tactic.
attack,troops,ARG0,The attacking troops were met with resistance from the defending forces.,The attacking troops were able to breach the enemy's defenses.,The attacking troops were able to capture the enemy's stronghold.,The attacking troops were able to destroy the enemy's weapons and equipment.,The attacking troops were able to capture the enemy's leaders and take them prisoner.
attack,troops,ARG1,The attack by the troops was fierce and intense.,The troops launched a fierce attack on the enemy.,The enemy was attacked by the troops with great force.,The troops attacked the enemy with all their might.,The troops were the ones who launched the attack.
audit,accountant,ARG0,The audit was conducted by the accountant.,The accountant conducted the audit.,The audit was conducted by the accountant in the company.,The accountant conducted the audit in the company.,The audit was conducted by the accountant for the company.
audit,accountant,ARG1,The audit team conducted a thorough examination of the accountant's financial records.,The audit team found several discrepancies in the accountant's financial statements.,The audit team discovered that the accountant had misappropriated funds from the company's accounts.,The audit team recommended that the accountant be fired for their unethical behavior.,The audit team concluded that the accountant's actions were a serious breach of trust and could result in legal consequences.
audit,businessman,ARG0,The audit of the businessman's financial records revealed a significant discrepancy in his accounts.,The audit team found that the businessman had misrepresented the true state of his finances during the audit process.,The audit of the businessman's business dealings revealed a pattern of unethical behavior and fraud.,The audit of the businessman's investment portfolio revealed a significant loss of value due to poor investment choices.,"The audit of the businessman's tax returns revealed a significant underpayment of taxes, which could result in legal consequences."
audit,businessman,ARG1,The audit team conducted a thorough review of the businessman's financial records.,The audit team found several discrepancies in the businessman's financial statements.,The audit team discovered that the businessman had been embezzling funds from the company.,The audit team recommended that the businessman be fired from his position.,The audit team concluded that the businessman's actions were unethical and illegal.
audit,citizen,ARG0,The audit committee will audit the citizen's financial records.,The audit committee will audit the citizen's tax returns.,The audit committee will audit the citizen's investment portfolio.,The audit committee will audit the citizen's business dealings.,The audit committee will audit the citizen's personal financial affairs.
audit,citizen,ARG1,The audit committee will audit the citizen's financial records.,The audit committee will audit the citizen's tax returns.,The audit committee will audit the citizen's investment portfolio.,The audit committee will audit the citizen's business dealings.,The audit committee will audit the citizen's personal financial affairs.
audit,corporation,ARG0,The audit of the corporation revealed significant financial irregularities.,The audit of the corporation found no evidence of fraud.,The audit of the corporation was conducted by an independent auditor.,The audit of the corporation was conducted in accordance with industry standards.,The audit of the corporation was completed within the required timeframe.
audit,corporation,ARG1,The audit of the corporation revealed significant financial irregularities.,The audit of the corporation found no evidence of fraud.,The audit of the corporation was conducted by an independent auditor.,The audit of the corporation was conducted in accordance with industry standards.,The audit of the corporation was conducted with the assistance of external experts.
audit,government,ARG0,The government audited the company's financial statements to ensure compliance with regulations.,The audit team reviewed the company's internal controls to identify any weaknesses.,"The audit found several discrepancies in the financial records, which led to a re-audit.","The audit revealed that the company had been hiding information from the auditors, which resulted in a fine.",The audit process helped the company to improve its financial reporting and internal controls.
audit,government,ARG1,The government audited the company's financial statements to ensure compliance with regulations.,The audit team reviewed the company's internal controls to identify any weaknesses.,"The audit found several discrepancies in the financial records, which led to a re-audit of the books.","The audit revealed that the company had been hiding assets and liabilities, which resulted in a fine and a change in management.","The audit process helped the company to improve its financial reporting and internal controls, leading to increased transparency and accountability."
audit,taxpayer,ARG0,The audit of the taxpayer's financial records was conducted by the IRS.,The audit of the taxpayer's tax return was conducted by the IRS.,The audit of the taxpayer's business operations was conducted by the IRS.,The audit of the taxpayer's investments was conducted by the IRS.,The audit of the taxpayer's charitable donations was conducted by the IRS.
audit,taxpayer,ARG1,The audit of the taxpayer's financial records was conducted by the IRS.,The audit of the taxpayer's tax return was conducted by the IRS.,The audit of the taxpayer's business operations was conducted by the IRS.,The audit of the taxpayer's investments was conducted by the IRS.,The audit of the taxpayer's charitable donations was conducted by the IRS.
beat,bully,ARG0,The bully was beaten by the police.,The bully was beaten by the victim.,The bully was beaten by the teacher.,The bully was beaten by the principal.,The bully was beaten by the school counselor.
beat,bully,ARG1,The bully was beaten by the police.,The bully was beaten by the victim.,The bully was beaten by the teacher.,The bully was beaten by the principal.,The bully was beaten by the school counselor.
beat,egg,ARG0,The egg beat the other egg in the race.,The egg was beaten by the other egg.,The egg was beaten by the other egg in the race.,The egg was beaten by the other egg in the race.,The egg was beaten by the other egg in the race.
beat,egg,ARG1,The egg beat the other egg in the race.,The egg was beaten by the other egg.,The egg was beaten by the other egg in the race.,The egg was beaten by the other egg in the race.,The egg was beaten by the other egg in the race.
beat,parent,ARG0,The parent beat the child.,The child was beaten by the parent.,The parent beat the child with a stick.,The child was beaten by the parent with a stick.,The parent beat the child with a whip.
beat,parent,ARG1,The parent beat the child.,The child was beaten by the parent.,The parent beat the child with a stick.,The child was beaten by the parent with a stick.,The parent beat the child with a whip.
beat,wimp,ARG0,The wimp beat the tough guy.,The wimp was beaten by the tough guy.,The wimp was beaten by the tough guy in a fair fight.,The wimp was beaten by the tough guy in a one-sided fight.,The wimp was beaten by the tough guy in a brutal fight.
beat,wimp,ARG1,The wimp beat the tough guy.,The wimp was beaten by the tough guy.,The wimp was beaten by the tough guy in a fair fight.,The wimp was beaten by the tough guy in a one-sided fight.,The wimp was beaten by the tough guy in a brutal fight.
betray,liar,ARG0,The liar betrayed the trust of the people.,The liar betrayed the trust of the government.,The liar betrayed the trust of the company.,The liar betrayed the trust of the family.,The liar betrayed the trust of the friend.
betray,liar,ARG1,The liar betrayed the trust of the people.,The liar betrayed the trust of the leader.,The liar betrayed the trust of the friend.,The liar betrayed the trust of the family.,The liar betrayed the trust of the nation.
betray,partner,ARG0,I betrayed my partner by cheating on her.,He betrayed his country by selling out to the enemy.,She betrayed her trust by lying to me.,The company betrayed its customers by selling defective products.,The politician betrayed the people by taking bribes.
betray,partner,ARG1,I betrayed my partner by cheating on her.,He betrayed his country by selling out to the enemy.,She betrayed her trust by lying to me.,The company betrayed its customers by selling defective products.,The politician betrayed the people by taking bribes.
betray,wife,ARG0,The husband betrayed his wife by cheating on her.,The wife betrayed her husband by having an affair.,The politician betrayed the people by taking bribes.,The doctor betrayed his patient by prescribing a dangerous drug.,The teacher betrayed her student by giving them a low grade.
betray,wife,ARG1,The husband betrayed his wife by cheating on her.,The wife betrayed her husband by having an affair.,The politician betrayed the people by taking bribes.,The doctor betrayed his patient by withholding treatment.,The teacher betrayed the student by giving them a low grade.
blame,skydiver,ARG0,The skydiver blamed the weather for the accident.,The skydiver blamed the equipment for the accident.,The skydiver blamed the training for the accident.,The skydiver blamed the instructor for the accident.,The skydiver blamed himself for the accident.
blame,skydiver,ARG1,The skydiver blamed the weather for the accident.,The skydiver blamed the equipment for the accident.,The skydiver blamed the training for the accident.,The skydiver blamed the instructor for the accident.,The skydiver blamed himself for the accident.
blame,student,ARG0,The teacher blamed the student for not completing the homework.,The student blamed the teacher for not providing enough resources.,The student blamed the school for not providing a good education.,The teacher blamed the student for not paying attention in class.,The student blamed the teacher for not explaining the material clearly.
blame,student,ARG1,The teacher blamed the student for not completing the homework.,The student blamed the teacher for not providing enough resources.,The student blamed the school for not providing a supportive learning environment.,The teacher blamed the student for not paying attention in class.,The student blamed the teacher for not explaining the material clearly.
blame,weatherman,ARG0,We blame the weatherman for the storm.,The weatherman blamed the storm on the weather.,The storm was blamed on the weatherman by the media.,The weatherman was blamed for the storm by the public.,The weatherman blamed the storm on the government's weather forecasting system.
blame,weatherman,ARG1,We blame the weatherman for the storm.,The weatherman blamed the storm on the weather.,The storm was blamed on the weatherman by the media.,The weatherman was blamed for the storm by the public.,The weatherman blamed the storm on his own mistake.
blame,writer,ARG0,The writer blamed the editor for the mistakes in the article.,The writer blamed the publisher for the poor quality of the book.,The writer blamed the reader for not understanding the story.,The writer blamed the critic for not appreciating the artwork.,The writer blamed the government for the lack of funding for the project.
blame,writer,ARG1,The writer blamed the editor for the mistakes in the article.,The writer blamed the publisher for the poor quality of the book.,The writer blamed the reader for not understanding the story.,The writer blamed the critic for not appreciating the artwork.,The writer blamed the government for the lack of funding for the project.
bother,mechanic,ARG0,The mechanic bothered me to fix the car.,The mechanic bothered me to get the car fixed.,The mechanic bothered me to get the car repaired.,The mechanic bothered me to get the car serviced.,The mechanic bothered me to get the car maintained.
bother,mechanic,ARG1,The mechanic bothered me to fix the car.,The mechanic bothered me to get the car fixed.,The mechanic bothered me to get the car repaired.,The mechanic bothered me to get the car serviced.,The mechanic bothered me to get the car maintained.
bother,receptionist,ARG0,The receptionist bothered me to ask for my ID.,The receptionist bothered me to ask for my name.,The receptionist bothered me to ask for my phone number.,The receptionist bothered me to ask for my address.,The receptionist bothered me to ask for my email address.
bother,receptionist,ARG1,The receptionist bothered me to ask for my ID.,The receptionist bothered me to ask for my name.,The receptionist bothered me to ask for my phone number.,The receptionist bothered me to ask for my address.,The receptionist bothered me to ask for my email address.
break,child,ARG0,The child broke the glass.,The glass broke under the child's weight.,The child broke the glass with a hammer.,The child broke the glass by accident.,The child broke the glass on purpose.
break,child,ARG1,The child broke the glass.,The glass broke under the child's weight.,The child broke the glass with a hammer.,The child broke the glass by accident.,The child broke the glass on purpose.
break,horse,ARG0,The horse broke the glass.,The glass broke under the horse's weight.,The horse was broken by the fall.,The horse was broken by the impact.,The horse was broken by the force of the fall.
break,horse,ARG1,The horse broke the glass.,The horse broke the window.,The horse broke the mirror.,The horse broke the vase.,The horse broke the pottery.
