predicate,argument,actual_fit,exp_fit
worship,bar,1.4,0.75
worship,temple,6.8,0.75
worship,cemetery,4.3,0.75
eat,restaurant,7,0.75
eat,kitchen,7,0.75
eat,pub,4.9,0.75
eat,delicatessen,5.3,0.75
eat,stadium,4.7,0.75
eat,lobby,2.6,0.75
eat,bedroom,3.5,0.75
shower,gymnasium,4.8,0.75
shower,bathroom,6.9,1.0
shower,pool,2.3,0.75
shower,field,1.2,0.75
shower,sauna,2.2,0.75
shower,cottage,4.3,0.75
cook,kitchen,7,0.75
cook,restaurant,6.8,0.75
cook,trailer,5,0.0
cook,mall,3.2,0.25
cook,campground,4.9,0.75
cook,cabin,5.2,0.75
cook,tent,2.2,0.25
sell,store,7,0.75
sell,street,5.4,0.75
sell,market,6.6,0.75
sell,mall,6.9,0.75
sell,arena,4.9,0.75
sell,driveway,2.5,0.75
sell,pub,6.2,0.75
sell,desert,1.1,0.75
preach,ghetto,2.5,0.75
preach,airport,2.3,0.75
preach,church,7,0.75
preach,synagogue,6.7,0.75
preach,street,3.2,0.75
preach,classroom,4.8,0.75
preach,courtroom,4.4,0.75
skate,backyard,3,0.75
skate,park,4.8,0.75
skate,pond,4.4,0.75
skate,rink,7,0.75
skate,arena,7,0.75
skate,lake,4.3,0.75
skate,schoolyard,2.3,0.75
stroll,countryside,6.4,0.75
stroll,park,6.8,0.75
stroll,forest,5.6,0.75
stroll,highway,1.3,0.75
stroll,field,4.3,0.75
stroll,riverbank,4.9,0.75
stroll,bathroom,1.1,0.75
dance,auditorium,5.3,0.75
dance,bar,5.8,0.75
dance,ballroom,7,0.75
dance,kitchen,2.6,0.75
dance,stage,5.4,0.75
dance,gymnasium,4.4,0.75
dance,shower,2.2,0.0
urinate,backyard,3.3,0.75
urinate,bathroom,7,0.75
urinate,mall,4.1,0.0
urinate,forest,4.3,0.75
urinate,field,3.5,0.75
urinate,lobby,1.4,0.0
urinate,bank,1.4,0.75
draw,classroom,6.2,0.75
draw,museum,4.1,0.75
draw,park,3.8,0.75
draw,beach,3.7,0.75
draw,studio,6.5,0.75
draw,cliff,2.6,0.75
draw,lake,2.8,0.75
