predicate,argument,role_type,reasons 1,reasons 2,reasons 3
gamble,casino,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'casino' has the property of being a location where the gambling is taking place.,The argument 'casino' fits the Location role for the predicate 'gamble' because it is a place where gambling activities are taking place.
gamble,hotel,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'hotel' has the property of being a location where the gambling is taking place.,The argument 'hotel' fits the Location role for the predicate 'gamble' because it is a place where the gambling is taking place.
gamble,party,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'party' has the property of being a social gathering or event where gambling is taking place.,The argument 'party' fits the Location role for the predicate 'gamble' because it is a place or location where gambling is taking place.
gamble,mall,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'mall' has the property of being a physical location where the gambling is taking place.,The argument 'mall' fits the Location role for the predicate 'gamble' because it is a physical location where the gambling is taking place.
gamble,airport,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'airport' has the property of being a location where the gambling is taking place.,The argument 'airport' fits the Location role for the predicate 'gamble' because it is a place where gambling activities can take place.
gamble,arena,Location,The Location role should have the property of being a place or a location where the gambling is taking place.,The argument 'arena' has the property of being a physical location where the gambling is taking place.,The argument 'arena' fits the Location role for the predicate 'gamble' because it is a physical location where the gambling is taking place.
drive,highway,Location,The Location role should have the properties of being a place or a location where the action of driving is taking place.,"The argument 'highway' has the property of being a path or route for travel, which is relevant to the predicate 'drive'.",  The argument 'highway' fits the Location role for the predicate 'drive' because it is a path or route for travel.
drive,racetrack,Location,The Location role should have the properties of being a place or a location where the action of driving is taking place.,The argument 'racetrack' has the properties of being a physical location where the action of driving is taking place.,  The argument 'racetrack' fits the Location role for the predicate 'drive' because it is a physical location where the action of driving is taking place.
drive,rink,Location,The Location role should have the properties of being a place or a location where the action of driving is taking place.,The argument 'rink' has the property of being a location where the action of driving is taking place.,The argument 'rink' fits the Location role for the predicate 'drive' because it is a place where the action of driving is taking place.
drive,sidewalk,Location,The Location role should have the properties of being a place or a location where the action of driving is taking place.,The argument 'sidewalk' has the property of being a physical location where the action of driving is taking place.,The argument 'sidewalk' fits the Location role for the predicate 'drive' because it is a physical location where the action of driving is taking place.
drive,ditch,Location,The Location role should have the properties of being a place or a location where the action of driving is taking place.,The argument 'ditch' has the property of being a location where the action of driving is taking place.,The argument 'ditch' fits the Location role for the predicate 'drive' because it is a location where the action of driving is taking place.
drive,field,Location,The Location role should have the properties of being a place or a location where the action of driving is taking place.,The argument 'field' has the property of being a location where the action of driving is taking place.,The argument 'field' fits the Location role for the predicate 'drive' because it is a location where the action of driving is taking place.
hunt,forest,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,The argument 'forest' has the property of being a location where the hunt takes place.,The argument 'forest' fits the Location role for the predicate 'hunt' because it is a place where the hunt takes place.
hunt,lake,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,The argument 'lake' has the property of being a location where the hunt takes place.,The argument 'lake' fits the Location role for the predicate 'hunt' because it is a place where the hunt takes place.
hunt,backyard,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,The argument 'backyard' has the property of being a location where the hunt takes place.,The argument 'backyard' fits the Location role for the predicate 'hunt' because it is a place where the hunt takes place.
hunt,ocean,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,The argument 'ocean' has the property of being a location where the hunt takes place.,The argument 'ocean' fits the Location role for the predicate 'hunt' because it is a location where the hunt takes place.
hunt,swamp,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,The argument 'swamp' has the property of being a location where the hunt takes place.,The argument 'swamp' fits the Location role for the predicate 'hunt' because it is a place where the hunt takes place.
hunt,meadow,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,"The argument 'meadow' has the properties of being a location, a place, and a natural environment where the hunt takes place.",The argument 'meadow' fits the Location role for the predicate 'hunt' because it is a place where the hunt takes place.
hunt,garden,Location,The Location role should have the properties of being a place or a location where the hunt takes place.,The argument 'garden' has the property of being a location where the hunt takes place.,The argument 'garden' fits the Location role for the predicate 'hunt' because it is a place where the hunt takes place.
browse,store,Location,The Location role should have the properties of being a place or a location where the action of browsing is taking place.,The argument 'store' has the properties of being a location where the action of browsing is taking place.,The argument 'store' fits the Location role for the predicate 'browse' because it is a location where the action of browsing is taking place.
browse,classroom,Location,The Location role should have the properties of being a place or a location where the action of browsing is taking place.,"The argument 'classroom' has the properties of being a physical location, a place where the action of browsing is taking place.",The argument 'classroom' fits the Location role for the predicate 'browse' because it is a physical location where the action of browsing is taking place.
browse,library,Location,The Location role should have the properties of being a place or a location where the action of browsing is taking place.,The argument 'library' has the properties of being a place or location where the action of browsing is taking place.,The argument 'library' fits the Location role for the predicate 'browse' because it is a place or location where the action of browsing is taking place.
browse,gallery,Location,The Location role should have the properties of being a place or a location where the action of browsing is taking place.,The argument 'gallery' has the property of being a location where the action of browsing is taking place.,The argument 'gallery' fits the Location role for the predicate 'browse' because it is a place where the action of browsing is taking place.
browse,museum,Location,The Location role should have the properties of being a place or a location where the action of browsing is taking place.,The argument 'museum' has the properties of being a place or location where the action of browsing is taking place.,The argument 'museum' fits the Location role for the predicate 'browse' because it is a place or location where the action of browsing is taking place.
browse,bar,Location,The Location role should have the properties of being a place or a location where the action of browsing is taking place.,The argument 'bar' has the property of being a place or location where the action of browsing is taking place.,The argument 'bar' fits the Location role for the predicate 'browse' because it is a place or location where the action of browsing is taking place.
bury,sandbox,Location,The Location role should have the properties of being a place or a location where the action of burying takes place.,The argument 'sandbox' has the property of being a place or location where the action of burying takes place.,The argument 'sandbox' fits the Location role for the predicate 'bury' because it is a place or location where the action of burying takes place.
bury,concrete,Location,The Location role should have the properties of being a place or a location where the action of burying takes place.,The argument 'concrete' has the property of being a material that can be used to construct a grave or a burial site.,The argument 'concrete' fits the Location role for the predicate 'bury' because it is a material that can be used to construct a grave or a burial site.
bury,ground,Location,The Location role should have the properties of being a place or a location where the action of burying takes place.,The argument 'ground' has the property of being a surface or a location where the action of burying takes place.,The argument 'ground' fits the Location role for the predicate 'bury' because it is a surface or location where the action of burying takes place.
bury,cemetery,Location,The Location role should have the properties of being a place or a location where the action of burying takes place.,The argument 'cemetery' has the property of being a place where the action of burying takes place.,The argument 'cemetery' fits the Location role for the predicate 'bury' because it is a place where the action of burying takes place.
bury,dump,Location,The Location role should have the properties of being a place or a location where the action of burying takes place.,The argument 'dump' has the property of being a location where the action of burying takes place.,The argument 'dump' fits the Location role for the predicate 'bury' because it is a location where the action of burying takes place.
bury,subway,Location,The Location role should have the properties of being a place or a location where the action of burying takes place.,The argument 'subway' has the property of being a location where the action of burying takes place.,The argument 'subway' fits the Location role for the predicate 'bury' because it is a place where the action of burying takes place.
mingle,party,Location,The Location role should have a property of 'social' or 'gathering' to indicate that the location is where people are coming together to socialize or mingle.,The argument 'party' has the property of 'social' and 'gathering' to indicate that it is a location where people are coming together to socialize or mingle.,The argument 'party' fits the Location role for the predicate 'mingle' because it is a location where people are coming together to socialize or mingle.
mingle,mall,Location,The Location role should have a property of 'social' or 'gathering' to indicate that the location is where people are coming together to socialize or mingle.,The argument 'mall' has the property of 'public' and 'social' to indicate that it is a place where people gather in a public setting for socializing.,The argument 'mall' fits the Location role for the predicate 'mingle' because it is a public place where people gather to socialize.
mingle,office,Location,The Location role should have a property of 'social' or 'gathering' to indicate that the location is where people are coming together to socialize or mingle.,The argument 'office' has the property of 'workplace' to indicate that it is a location where people are coming together to work or socialize.,"The argument 'office' fits the Location role for the predicate 'mingle' because it is a location where people are coming together to work or socialize, which is consistent with the meaning of the predicate 'mingle'."
mingle,bar,Location,The Location role should have a property of 'social' or 'gathering' to indicate that the location is where people are coming together to socialize or mingle.,The argument 'bar' has the property of 'social' and 'gathering' to indicate that it is a location where people come together to socialize or mingle.,The argument 'bar' fits the Location role for the predicate 'mingle' because it is a location where people come together to socialize or mingle.
mingle,graduation,Location,The Location role should have a property of 'social' or 'gathering' to indicate that the location is where people are coming together to socialize or mingle.,The argument 'graduation' has the property of 'celebration' to indicate that it is a celebratory event.,The argument 'graduation' fits the Location role for the predicate 'mingle' because it is a location where people gather to celebrate and socialize.
mingle,wedding,Location,The Location role should have a property of 'social' or 'gathering' to indicate that the location is where people are coming together to socialize or mingle.,The argument 'wedding' has the property of 'social' and 'gathering' to indicate that it is a social event where people come together to celebrate a marriage.,The argument 'wedding' fits the Location role for the predicate 'mingle' because it is a location where people come together to socialize and celebrate a marriage.
marry,house,Location,The Location role should have the properties of being a place where the marriage takes place.,The argument 'house' has the property of being a physical location where the marriage takes place.,The argument 'house' fits the Location role for the predicate 'marry' because it is a physical location where the marriage takes place.
marry,church,Location,The Location role should have the properties of being a place where the marriage takes place.,"The argument 'church' has the property of being a place of worship, which is relevant to the predicate 'marry' as it is a location where the marriage ceremony takes place.",The argument 'church' fits the Location role for the predicate 'marry' because it is a place where the marriage ceremony takes place.
marry,island,Location,The Location role should have the properties of being a place where the marriage takes place.,The argument 'island' has the property of being a location where the marriage takes place.,The argument 'island' fits the Location role for the predicate 'marry' because it is a place where the marriage takes place.
marry,backyard,Location,The Location role should have the properties of being a place where the marriage takes place.,The argument 'backyard' has the property of being a location where the marriage takes place.,The argument 'backyard' fits the Location role for the predicate 'marry' because it is a place where the marriage takes place.
marry,prison,Location,The Location role should have the properties of being a place where the marriage takes place.,The argument 'prison' has the property of being a place where the marriage takes place.,The argument 'prison' fits the Location role for the predicate 'marry' because it is a place where the marriage takes place.
marry,brewery,Location,The Location role should have the properties of being a place where the marriage takes place.,The argument 'brewery' has the property of being a location where the marriage takes place.,The argument 'brewery' fits the Location role for the predicate 'marry' because it is a place where the marriage takes place.
applaud,classroom,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'classroom' has the property of being a location where the applause is taking place.,The argument 'classroom' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,concert,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'concert' has the property of being a location where the applause is taking place.,The argument 'concert' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,restaurant,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'restaurant' has the property of being a location where the applause is taking place.,The argument 'restaurant' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,playground,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'playground' has the property of being a location where the applause is taking place.,The argument 'playground' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,theater,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'theater' has the property of being a location where the applause is taking place.,The argument 'theater' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,arena,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'arena' has the property of being a location where the applause is taking place.,The argument 'arena' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,stadium,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'stadium' has the property of being a location where the applause is taking place.,The argument 'stadium' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
applaud,convention,Location,The Location role should have the property of being a location where the applause is taking place.,The argument 'convention' has the property of being a location where the applause is taking place.,The argument 'convention' fits the Location role for the predicate 'applaud' because it is a location where the applause is taking place.
beg,school,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,The argument 'school' has the property of being a location where the action of begging takes place.,The argument 'school' fits the Location role for the predicate 'beg' because it is a place where begging takes place.
beg,street,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,The argument 'street' has the property of being a physical location where the action of begging takes place.,The argument 'street' fits the Location role for the predicate 'beg' because it is a physical location where the action of begging takes place.
beg,prison,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,The argument 'prison' has the property of being a location where the action of begging takes place.,The argument 'prison' fits the Location role for the predicate 'beg' because it is a place where the action of begging takes place.
beg,court,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,The argument 'court' has the property of being a place where the action of begging takes place.,The argument 'court' fits the Location role for the predicate 'beg' because it is a place where the action of begging takes place.
beg,sidewalk,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,The argument 'sidewalk' has the property of being a physical location where the action of begging takes place.,The argument 'sidewalk' fits the Location role for the predicate 'beg' because it is a physical location where the action of begging takes place.
beg,church,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,"The argument 'church' has the property of being a place of worship, which is relevant to the predicate 'beg' as it is a location where the action of begging takes place.",The argument 'church' fits the Location role for the predicate 'beg' because it is a place where the action of begging takes place.
beg,casino,Location,The Location role should have the properties of being a place or a location where the action of begging takes place.,The argument 'casino' has the property of being a location where the action of begging takes place.,The argument 'casino' fits the Location role for the predicate 'beg' because it is a place where begging is taking place.
testify,office,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'office' has the property of being a location where the event of testing took place.,The argument 'office' fits the Location role for the predicate 'testify' because it is a place where the event of testing took place.
testify,courtroom,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'courtroom' has the property of being a physical location where the event of testing took place.,The argument 'courtroom' fits the Location role for the predicate 'testify' because it is a physical location where the event of testing took place.
testify,police station,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'police station' has the properties of being a location where the event of testing took place.,The argument 'police station' fits the Location role for the predicate 'testify' because it is a place where a person can testify in a legal context.
testify,classroom,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'classroom' has the property of being a location where the event of testing took place.,The argument 'classroom' fits the Location role for the predicate 'testify' because it is a place where the event of testing took place.
testify,planetarium,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'planetarium' has the property of being a location where the event of testing took place.,The argument 'planetarium' fits the Location role for the predicate 'testify' because it is a place where the event of testing took place.
testify,store,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'store' has the property of being a location where the event of testing took place.,The argument 'store' fits the Location role for the predicate 'testify' because it is a place where the event of testing took place.
testify,jail,Location,The Location role should have the properties of being a place or a location where the event of testing took place.,The argument 'jail' has the property of being a location where the event of testing took place.,The argument 'jail' fits the Location role for the predicate 'testify' because it is a place where the event of testing took place.
wait,hospital,Location,The Location role should have the property of being a location or a place where the action of waiting is taking place.,The argument 'hospital' has the property of being a location or a place where the action of waiting is taking place.,The argument 'hospital' fits the Location role for the predicate 'wait' because it is a location where the action of waiting is taking place.
wait,restaurant,Location,The Location role should have the property of being a location or a place where the action of waiting is taking place.,The argument 'restaurant' has the property of being a location or a place where the action of waiting is taking place.,The argument 'restaurant' fits the Location role for the predicate 'wait' because it is a location where the action of waiting is taking place.
wait,office,Location,The Location role should have the property of being a location or a place where the action of waiting is taking place.,The argument 'office' has the property of being a location or a place where the action of waiting is taking place.,The argument 'office' fits the Location role for the predicate 'wait' because it is a location or a place where the action of waiting is taking place.
wait,school,Location,The Location role should have the property of being a location or a place where the action of waiting is taking place.,The argument 'school' has the property of being a location where the action of waiting is taking place.,The argument 'school' fits the Location role for the predicate 'wait' because it is a location where the action of waiting is taking place.
wait,lineup,Location,The Location role should have the property of being a location or a place where the action of waiting is taking place.,The argument 'lineup' has the property of being a location or a place where the action of waiting is taking place.,The argument 'lineup' fits the Location role for the predicate 'wait' because it is a location or a place where the action of waiting is taking place.
wait,bedroom,Location,The Location role should have the property of being a location or a place where the action of waiting is taking place.,The argument 'bedroom' has the property of being a location or a place where the action of waiting is taking place.,The argument 'bedroom' fits the Location role for the predicate 'wait' because it is a location where the action of waiting is taking place.
swim,bathtub,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.","The argument 'bathtub' has the property of being a container, which is relevant to the predicate 'swim'.",  The argument 'bathtub' will fit the Location role for the predicate 'swim' because it is a container that can be used for swimming.
swim,lake,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.","The argument 'lake' has the properties of being a body of water, which is relevant to the predicate 'swim'.",The argument 'lake' fits the Location role for the predicate 'swim' because it is a body of water that is suitable for swimming.
swim,pool,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.","The argument 'pool' has the properties of being a location, a body of water, and a place where one can swim.",The argument 'pool' fits the Location role for the predicate 'swim' because it is a location where one can swim.
swim,puddle,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.",The argument 'puddle' has the property of being a small body of water.,  The argument 'puddle' fits the Location role for the predicate 'swim' because it is a small body of water that can be used for swimming.
swim,ocean,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.","The argument 'ocean' has the properties of being a large body of water, a place where swimming is possible, and a location where the predicate 'swim' can be performed.",The argument 'ocean' fits the Location role for the predicate 'swim' because it is a location where the action of swimming can take place.
swim,beach,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.","The argument 'beach' has the property of being a location, which is relevant to the semantic role of 'Location' in the predicate 'swim'.",The argument 'beach' fits the Location role for the predicate 'swim' because it is a location where one can swim.
swim,desert,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.",The argument 'desert' does not have any relevant properties for the predicate 'swim'.,  The argument 'desert' does not fit the Location role for the predicate 'swim' because a desert is not a location where one can swim.
swim,swamp,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.","The argument 'swamp' has the property of being a location, which is relevant to the semantic role of 'Location' in the predicate 'swim'.",The argument 'swamp' fits the Location role for the predicate 'swim' because it is a location where one can swim.
swim,creek,Location,"The Location role should have the properties of being a location, such as a body of water, a pool, a beach, etc.",The argument 'creek' has the property of being a body of water.,The argument 'creek' fits the Location role for the predicate 'swim' because it is a body of water that is suitable for swimming.
pray,temple,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.","The argument 'temple' has the property of being a location, which is relevant for the predicate 'pray' as it requires a specific location to be specified.",The argument 'temple' fits the Location role for the predicate 'pray' because it is a location where one can pray.
pray,church,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.",The argument 'church' has the property of being a location.,  The argument 'church' fits the Location role for the predicate 'pray' because it is a physical location where one can pray.
pray,casino,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.","The argument 'casino' has the property of being a location, as it is a specific place where the action of praying is taking place.",The argument 'casino' does not fit the Location role for the predicate 'pray' because it is not a location where one would typically pray.
pray,school,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.",The argument 'school' has the property of being a location.,"  The argument 'school' does not fit the Location role for the predicate 'pray' because the verb 'pray' typically requires a location that is a place of worship or a place of spiritual significance, not a school."
pray,cemetery,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.","The argument 'cemetery' has the property of being a location, which is relevant for the predicate 'pray' as it requires a specific location to be specified.",The argument 'cemetery' fits the Location role for the predicate 'pray' because it is a location where one would typically pray.
pray,kitchen,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.",The argument 'kitchen' has the property of being a location.,  The argument 'kitchen' fits the Location role for the predicate 'pray' because it is a location where one might pray.
pray,theatre,Location,"The Location role should have the property of being a location or a direction, as the verb 'pray' typically requires a specific location or direction to be specified.",The argument 'theatre' has the property of being a location.,"  The argument 'theatre' does not fit the Location role for the predicate 'pray' because the verb 'pray' typically requires a specific location or direction to be specified, and 'theatre' is not a location or direction. Therefore, the argument 'theatre' does not fit the Location role for the predicate 'pray'."
confess,church,Location,The Location role should have the property of being a place or location where the confession is being made.,"The argument 'church' has the property of being a place of worship, which is relevant to the semantic role of 'Location' in the predicate 'confess'.",The argument 'church' fits the Location role for the predicate 'confess' because it is a place where one can confess their sins and seek forgiveness.
confess,school,Location,The Location role should have the property of being a place or location where the confession is being made.,The argument 'school' has the property of being a location where the confession is being made.,The argument 'school' fits the Location role for the predicate 'confess' because it is a place where the confession is being made.
confess,court,Location,The Location role should have the property of being a place or location where the confession is being made.,The argument 'court' has the property of being a place where a confession is being made.,The argument 'court' fits the Location role for the predicate 'confess' because it is a place where a confession is being made.
confess,office,Location,The Location role should have the property of being a place or location where the confession is being made.,The argument 'office' has the property of being a location where the confession is being made.,The argument 'office' fits the Location role for the predicate 'confess' because it is a place where the confession is being made.
confess,studio,Location,The Location role should have the property of being a place or location where the confession is being made.,The argument 'studio' has the property of being a location where the confession is being made.,The argument 'studio' fits the Location role for the predicate 'confess' because it is a place where the confession is being made.
confess,hearing,Location,The Location role should have the property of being a place or location where the confession is being made.,"The argument 'hearing' has the property of being a means of communication, which is relevant to the semantic role of 'confess'.",No
confess,jail,Location,The Location role should have the property of being a place or location where the confession is being made.,The argument 'jail' has the property of being a physical location where the confession is being made.,The argument 'jail' fits the Location role for the predicate 'confess' because it is a physical location where the confession is being made.
sleep,bathtub,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'bathtub' has the property of being a place where the subject can sleep.,The argument 'bathtub' fits the Location role for the predicate 'sleep' because it is a place where the subject can sleep.
sleep,tent,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'tent' has the property of being a place or location where the subject is sleeping.,The argument 'tent' fits the Location role for the predicate 'sleep' because it is a place or location where the subject is sleeping.
sleep,bedroom,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'bedroom' has the properties of being a place where the subject is sleeping.,The argument 'bedroom' fits the Location role for the predicate 'sleep' because it is a place where the subject is sleeping.
sleep,hotel,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'hotel' has the property of being a place where the subject is sleeping.,The argument 'hotel' fits the Location role for the predicate 'sleep' because it is a place where the subject is sleeping.
sleep,chair,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'chair' has the property of being a physical object that the subject can sleep on.,  The argument 'chair' will fit the Location role for the predicate 'sleep' because it is a physical object that the subject can sleep on.
sleep,car,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'car' does not have any relevant properties for the predicate 'sleep'.,  The argument 'car' does not fit the Location role for the predicate 'sleep' because a car is not a place or location where a person can sleep.
sleep,trailer,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'trailer' has the property of being a place or location where the subject is sleeping.,The argument 'trailer' fits the Location role for the predicate 'sleep' because it is a place or location where the subject is sleeping.
sleep,concert,Location,The Location role should have the properties of being a place or a location where the subject is sleeping.,The argument 'concert' does not have any relevant properties for the predicate 'sleep'.,  The argument 'concert' does not fit the Location role for the predicate 'sleep' because a concert is not a place where a person can sleep.
